MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
14,211,20,15,22,81,68,72,14,133
14,211,20,14,21,80,68,71,13,133
15,211,20,15,21,80,67,72,13,133
16,212,21,16,22,81,68,72,13,133
15,212,21,15,21,80,67,72,13,133
16,211,20,15,21,81,68,72,13,133
14,212,20,16,22,81,68,72,14,133
15,213,21,15,22,81,69,71,13,133
15,212,20,16,22,81,68,72,14,134
15,212,21,16,22,81,68,72,13,134
14,211,20,15,22,81,68,72,13,133
15,211,20,15,22,82,67,72,13,133
14,211,20,15,22,81,67,72,13,133
14,211,21,16,22,81,68,72,13,134
15,211,20,15,23,81,68,71,14,133
14,212,20,16,22,81,69,71,14,133
14,212,21,16,22,81,68,71,13,133
15,212,21,15,23,81,70,72,13,134
15,211,21,15,22,81,68,72,13,134
15,212,19,16,22,81,68,71,13,133
14,212,21,15,22,82,68,72,14,132
15,212,21,16,22,82,68,72,14,133
15,211,21,16,21,81,67,72,14,133
15,211,20,14,21,81,67,71,14,133
15,210,21,14,21,82,68,71,14,133
15,211,19,14,21,81,69,71,14,132
15,212,21,15,23,82,68,72,14,133
15,211,20,14,22,82,67,71,13,132
14,211,20,14,21,81,68,71,13,132
14,211,21,15,21,82,67,72,13,132
16,213,20,15,21,82,69,72,14,134
15,212,20,16,22,81,69,72,13,133
15,212,20,14,22,81,68,72,13,133
15,213,20,16,21,82,68,72,14,133
14,210,20,15,21,79,67,72,13,132
15,212,21,15,22,81,68,71,14,133
15,213,21,16,22,82,68,73,14,133
15,213,21,16,22,82,69,73,13,133
15,212,20,15,21,81,68,71,13,133
14,211,20,15,21,81,68,72,13,133
15,212,19,15,21,82,67,71,13,132
15,215,19,16,21,81,69,72,14,133
15,211,20,15,21,81,67,72,13,132
14,211,19,14,21,81,68,72,12,133
15,211,20,15,21,81,67,72,13,133
14,211,20,15,20,81,68,71,13,133
15,212,21,15,22,81,68,72,13,133
15,212,19,16,21,80,68,72,13,133
15,211,20,14,21,81,67,71,13,132
15,211,20,14,21,81,68,72,13,133
15,212,20,16,22,81,70,72,14,134
16,211,19,12,21,81,68,71,13,133
15,211,19,15,20,81,68,72,14,132
15,212,19,15,21,81,68,71,14,133
16,212,20,15,21,80,69,72,14,132
14,212,21,16,22,80,69,72,14,133
14,210,20,15,22,80,67,72,13,132
14,211,20,16,20,81,68,72,13,132
16,211,20,16,22,81,68,73,13,132
16,211,19,16,21,81,68,72,14,131
16,211,20,17,21,82,68,72,13,132
15,211,20,15,22,81,68,72,13,133
15,212,19,14,21,81,68,72,14,132
15,211,19,15,20,80,68,72,13,132
15,211,20,15,22,81,68,71,13,133
15,211,19,15,21,81,69,71,13,132
16,212,20,15,21,81,69,73,13,133
15,211,19,15,21,81,68,72,14,132
16,211,20,16,21,82,68,72,14,132
15,211,20,15,20,81,67,74,13,132
14,210,20,15,21,80,68,71,13,131
14,212,19,16,20,82,69,72,14,131
15,211,20,15,21,81,68,72,14,133
15,211,20,15,20,82,68,73,13,133
15,211,19,15,20,81,67,72,13,132
15,212,20,15,21,81,68,73,13,132
15,212,20,15,21,82,68,72,14,132
14,212,19,15,21,80,68,72,13,132
16,212,20,15,21,82,68,72,14,133
15,212,20,15,21,81,68,72,14,133
15,211,20,15,20,81,67,73,13,132
15,212,19,15,22,81,69,72,14,133
14,211,20,16,20,81,68,72,13,133
15,210,19,15,21,81,69,72,13,132
15,212,20,15,21,81,68,72,14,132
14,211,20,15,20,80,68,72,13,132
14,212,19,14,20,80,68,72,13,133
14,212,19,15,21,81,68,72,13,132
15,212,20,16,20,81,69,72,13,132
15,212,20,16,22,81,68,72,14,133
16,212,20,15,21,82,69,72,13,132
16,211,19,16,21,81,68,73,14,132
14,212,19,16,21,82,68,72,14,133
15,212,21,15,21,81,68,72,14,132
15,212,19,15,20,82,67,72,14,132
15,211,19,15,21,80,69,71,13,132
15,211,20,16,20,81,68,72,13,132
15,212,20,15,21,81,68,72,13,132
15,211,19,15,21,81,68,71,14,132
15,212,20,16,22,81,68,72,13,132
15,211,19,15,21,81,69,72,13,132
15,211,20,16,21,81,69,72,14,131
15,211,19,15,21,81,69,72,14,131
14,210,19,14,21,80,68,72,13,131
16,211,20,16,21,81,69,72,13,131
15,211,20,16,20,81,69,72,13,131
15,210,20,15,21,81,68,73,14,132
15,210,19,15,21,80,68,71,13,131
14,210,19,14,20,81,67,72,13,131
15,211,19,15,20,80,68,72,14,132
15,211,20,16,20,82,68,73,14,131
15,211,20,16,21,82,69,72,14,131
14,210,19,14,21,81,68,71,13,132
14,210,19,14,21,85,68,71,13,133
15,211,20,15,21,82,69,73,14,132
16,211,20,16,21,81,69,72,14,131
16,210,20,15,21,81,68,72,13,131
15,211,20,16,21,81,68,72,13,132
17,211,20,16,20,81,68,73,13,132
16,211,20,15,21,81,67,72,13,131
16,211,19,15,21,81,68,72,14,132
15,212,20,14,21,81,67,72,13,131
14,211,20,16,21,82,69,73,13,134
15,210,20,15,21,82,67,71,13,132
15,211,20,15,21,81,69,74,14,132
14,210,20,15,21,81,68,72,13,132
15,210,19,16,22,81,69,72,13,132
15,211,20,15,21,81,68,73,14,132
15,211,20,15,21,81,67,72,13,132
15,210,20,15,19,81,67,72,13,132
16,211,19,16,21,82,69,72,14,131
14,212,19,16,21,81,68,73,14,131
15,210,20,16,21,81,68,73,13,132
16,211,20,16,21,81,68,72,13,132
15,210,20,15,21,81,67,72,13,132
14,210,20,15,21,81,67,72,14,131
15,211,20,16,22,82,68,72,13,132
14,209,20,15,20,81,67,71,13,132
15,210,20,15,22,82,68,72,14,132
15,212,20,16,22,82,70,73,13,131
