MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
40,219,23,15,26,91,57,83,16,143
41,219,22,16,26,91,57,83,16,142
41,220,23,16,26,91,58,83,15,143
41,220,22,16,27,91,58,83,15,142
41,220,24,16,27,91,58,83,15,142
41,221,24,17,27,92,58,84,16,143
40,219,23,16,26,91,57,83,16,142
40,219,23,15,26,92,59,84,16,142
41,219,23,16,25,91,57,84,15,142
42,220,23,16,27,92,58,85,16,142
42,220,24,15,27,92,58,84,17,143
42,220,23,16,27,92,59,84,16,143
40,219,23,16,28,92,59,84,15,143
41,220,23,15,26,91,58,83,16,142
41,219,23,16,26,92,58,83,15,142
41,219,23,16,26,91,58,83,17,142
41,219,23,16,26,91,58,83,15,141
41,220,24,16,27,92,58,84,16,142
40,219,22,15,26,91,58,83,18,142
40,219,23,15,26,91,58,83,15,142
42,220,23,16,27,92,58,84,16,143
42,221,24,16,27,92,59,83,16,142
42,220,24,16,28,92,58,84,16,142
41,221,24,15,27,91,58,84,16,142
42,219,23,15,26,92,58,84,16,142
41,219,22,15,26,91,58,83,15,142
41,220,24,16,27,92,59,85,16,142
39,219,23,16,26,91,57,83,16,142
41,220,24,16,26,92,58,84,16,142
41,220,23,16,28,91,57,84,16,142
41,220,24,15,27,92,58,83,15,142
40,219,22,15,26,92,58,83,16,142
40,220,23,15,26,92,58,84,16,143
40,218,22,14,26,90,57,83,15,142
40,219,22,15,27,91,58,84,16,142
41,220,24,16,27,91,57,84,16,141
41,219,24,15,27,92,58,83,16,142
42,220,23,17,27,91,58,84,16,142
42,220,22,14,26,91,58,84,16,143
41,219,23,15,26,92,58,83,15,143
40,220,23,16,26,91,57,84,14,142
40,219,22,15,26,92,58,83,15,142
40,219,23,16,26,91,57,83,15,143
41,219,23,15,26,92,57,83,15,143
42,220,23,16,26,92,58,83,15,142
41,221,24,16,27,91,58,83,17,142
40,218,23,13,26,92,58,83,14,141
42,220,23,16,26,93,58,84,16,142
41,221,23,16,27,92,58,83,16,144
41,220,23,15,27,91,58,83,15,142
42,220,24,16,27,91,58,85,15,142
40,220,23,16,27,91,58,83,15,142
40,220,24,15,28,91,58,83,15,142
42,220,23,16,26,92,58,84,16,142
42,220,23,16,27,92,59,83,16,144
41,219,23,16,27,91,58,83,16,142
42,220,24,16,27,92,59,83,16,143
41,220,23,16,28,92,59,84,16,142
41,220,23,16,28,92,58,84,16,141
41,219,23,15,27,92,57,84,16,142
40,220,23,15,27,92,58,83,15,143
41,220,23,16,26,91,57,84,15,142
41,220,23,15,27,92,58,83,15,142
43,220,24,17,27,92,58,84,17,143
42,220,23,16,27,92,59,84,17,142
41,220,23,15,27,91,58,84,16,142
42,221,23,16,29,91,57,84,16,143
41,220,23,16,27,92,59,84,16,143
40,219,23,16,27,91,58,83,15,141
42,221,24,15,27,92,58,84,16,143
41,220,23,16,27,92,58,84,16,142
41,220,23,16,27,92,57,84,16,142
40,219,23,16,27,91,58,83,15,142
41,220,24,16,27,92,58,83,15,142
41,220,24,15,26,91,57,83,17,142
40,220,22,16,26,92,57,84,16,142
41,220,24,15,27,92,58,84,17,143
41,219,22,14,26,91,57,84,16,142
41,220,24,16,27,92,58,84,17,143
40,220,24,16,27,92,57,84,16,141
40,220,24,15,27,92,58,84,16,143
42,221,24,17,28,92,58,84,16,143
41,221,24,15,27,92,58,83,16,143
41,221,23,14,26,92,58,83,16,141
42,221,24,15,27,92,58,83,16,143
40,220,23,15,26,92,57,84,16,142
40,220,23,15,26,92,58,83,15,142
39,218,23,15,26,92,58,83,16,143
42,221,23,17,27,92,59,85,17,144
41,220,22,15,26,91,58,83,15,143
42,221,24,16,27,92,58,84,16,144
40,219,22,15,26,91,58,83,15,142
41,220,22,15,26,92,58,83,15,143
42,221,24,15,27,92,59,85,16,143
41,220,23,15,26,92,59,85,16,142
41,219,23,16,27,91,57,84,16,143
41,220,23,15,27,92,58,84,15,143
42,221,23,16,27,93,57,84,15,142
40,219,23,16,26,92,58,84,16,143
40,220,23,15,30,92,58,83,15,142
41,219,23,15,28,91,58,84,15,141
42,220,24,15,27,92,59,84,17,144
42,220,24,15,28,92,58,84,16,144
41,220,23,15,26,91,58,83,16,143
40,220,23,15,25,92,58,84,16,142
40,220,23,15,27,91,58,84,16,143
40,221,24,15,27,91,58,84,16,143
42,220,24,16,27,92,58,84,16,143
40,222,23,15,26,92,58,85,17,142
40,220,24,15,26,92,58,84,15,141
41,220,23,16,27,91,58,84,15,142
41,219,23,15,25,92,58,83,16,143
41,220,23,15,26,92,58,84,15,143
42,220,21,15,26,92,59,84,15,143
42,220,23,16,28,92,58,83,15,143
41,220,23,15,26,92,58,83,15,143
42,221,23,16,27,92,58,84,17,143
41,220,23,16,26,92,58,83,15,142
41,219,23,14,27,92,58,83,15,142
40,219,23,16,27,92,59,85,15,142
41,220,23,15,27,92,58,84,16,143
41,220,23,16,28,92,59,85,16,143
41,220,23,15,26,92,58,83,14,141
41,220,23,16,26,93,58,83,15,142
41,220,23,16,27,92,59,85,16,144
42,221,24,15,26,92,59,84,15,144
42,220,23,16,28,92,59,84,16,143
42,220,24,16,28,92,58,84,16,143
41,220,23,14,27,92,58,84,15,143
41,220,23,15,27,92,58,84,15,144
42,221,24,15,27,93,58,83,15,143
41,220,23,16,27,92,58,84,16,143
40,220,23,16,27,91,59,84,16,142
41,220,23,15,26,93,57,83,15,141
42,220,25,16,28,92,58,84,16,143
40,220,23,15,26,92,58,83,15,142
41,220,24,15,26,92,57,84,15,142
40,219,23,15,27,92,58,83,16,142
41,220,23,15,27,91,58,84,15,142
41,221,24,15,27,93,58,85,16,144
41,220,23,15,27,92,58,84,16,142
41,221,24,15,28,92,59,85,16,143
42,221,24,16,28,93,60,84,16,143
42,220,24,16,27,93,58,85,16,143
41,220,26,15,27,91,58,83,16,143
41,221,24,17,28,92,58,84,15,144
41,221,24,15,27,93,58,84,16,144
41,220,24,15,27,92,58,84,16,143
41,220,23,15,28,93,58,84,15,142
41,220,23,16,27,92,58,84,15,143
41,220,24,16,27,92,59,85,16,143
41,221,23,16,28,92,59,85,16,144
41,221,23,16,27,92,59,84,15,143
40,220,23,16,27,92,58,84,15,142
41,219,22,16,28,89,58,83,15,143
42,220,23,16,27,92,58,84,15,143
41,220,24,16,27,92,59,85,16,144
41,220,23,16,27,91,57,85,16,143
40,219,23,15,26,90,58,83,17,141
41,220,24,16,28,92,58,84,16,142
42,220,24,15,28,92,59,84,16,143
40,220,24,15,28,92,58,84,16,143
40,219,23,15,28,92,58,84,16,143
42,220,24,16,28,93,58,84,17,143
40,219,23,16,27,92,57,84,14,143
41,220,23,15,26,91,57,84,15,143
40,220,23,16,26,92,57,84,16,143
40,219,23,16,27,92,58,85,16,143
41,220,23,16,29,93,58,83,15,143
41,221,24,16,28,93,59,84,16,143
42,220,24,15,27,93,58,84,16,144
41,220,22,15,27,92,58,84,16,143
41,220,23,16,27,92,59,84,15,143
40,220,24,15,28,92,59,85,16,143
41,220,24,16,28,93,59,84,16,144
41,220,25,16,28,92,59,84,16,143
42,220,23,16,27,92,59,85,16,143
42,220,24,15,27,92,59,84,17,143
42,221,25,16,28,92,59,85,17,143
40,219,23,15,27,92,58,83,16,143
40,219,23,16,28,92,58,84,16,143
42,221,25,15,27,92,58,84,16,144
42,221,25,15,27,93,58,84,15,143
40,219,23,15,27,93,58,84,15,143
40,219,24,16,27,92,57,84,15,142
40,218,23,15,27,92,58,83,16,143
41,220,23,16,27,92,59,85,16,143
41,221,24,16,27,93,59,85,16,143
40,219,23,15,26,93,57,83,15,142
41,220,22,16,28,92,57,84,16,143
41,219,23,15,27,92,59,84,15,144
39,221,25,16,25,90,57,84,15,142
41,220,23,16,28,92,58,84,16,142
40,220,23,15,27,92,59,84,15,142
41,221,24,16,27,92,58,84,16,143
41,220,24,15,28,92,58,84,16,144
41,220,23,15,28,92,58,84,16,143
41,220,22,15,27,91,57,84,16,143
40,220,23,16,28,93,58,84,15,142
41,221,23,16,28,92,59,85,16,144
42,221,23,16,28,92,58,85,15,144
40,219,23,15,27,92,58,84,15,142
41,221,24,15,27,92,57,84,16,143
41,220,23,15,28,93,59,85,16,144
40,220,24,15,27,92,58,84,16,143
42,220,24,16,27,92,59,85,16,143
41,220,23,15,28,92,57,84,15,143
41,220,22,16,28,92,58,84,15,143
41,221,24,15,28,93,60,85,16,143
40,220,24,15,27,92,58,84,16,144
40,220,23,16,27,92,57,84,16,143
41,221,23,16,27,92,58,84,17,144
42,221,24,15,27,92,60,84,16,144
41,221,24,15,28,93,58,84,16,143
41,220,23,15,27,92,58,83,15,144
40,221,23,16,28,92,58,84,16,144
40,220,23,16,28,92,59,84,16,143
41,220,23,15,27,92,59,84,16,144
41,221,24,15,28,93,59,85,15,143
41,220,24,15,27,92,58,84,16,143
40,220,23,15,28,92,58,83,16,143
42,221,24,15,28,93,59,84,16,144
40,220,23,16,28,93,58,85,16,144
40,221,23,16,28,93,58,84,16,143
40,219,23,16,27,92,58,85,15,143
41,220,24,15,27,92,58,84,15,143
41,220,24,15,27,93,58,84,16,143
41,220,24,15,27,92,57,85,16,143
41,220,24,16,29,93,58,84,16,143
42,220,24,15,27,92,59,85,17,144
40,220,24,15,27,92,58,84,16,143
41,221,24,16,27,92,59,84,17,143
41,221,23,16,27,92,57,84,15,143
42,220,24,16,29,93,63,85,16,144
40,219,23,16,27,91,58,84,15,143
40,220,24,15,27,92,58,84,15,143
41,219,23,16,27,92,58,84,15,143
41,221,24,15,28,93,58,84,15,144
42,221,23,16,28,92,58,85,16,144
40,220,23,15,27,93,56,84,14,142
42,220,23,15,28,93,59,84,16,143
41,220,23,16,27,92,58,85,16,144
42,221,23,15,27,92,58,84,16,144
41,220,23,16,27,92,58,83,16,143
41,221,24,16,28,93,59,84,16,144
41,220,23,16,28,92,58,85,16,144
42,221,23,16,28,93,58,85,16,144
42,220,23,15,27,93,58,84,16,144
40,220,23,15,27,92,58,84,15,143
42,220,24,15,28,93,59,85,16,143
41,220,23,16,28,93,56,84,16,144
40,220,23,16,28,91,59,84,16,143
41,220,24,15,29,92,58,84,16,143
41,221,24,15,28,92,58,85,16,143
41,221,24,16,27,93,59,85,16,143
41,220,24,15,30,93,58,85,16,144
41,218,23,15,27,92,58,84,16,143
41,221,24,15,28,92,58,84,15,143
42,221,23,16,28,93,60,85,16,144
41,220,24,15,27,92,58,84,16,143
41,220,23,15,27,92,58,84,16,144
40,219,23,15,27,92,58,85,16,142
41,221,24,16,27,92,59,84,17,143
42,221,24,18,28,93,59,85,17,143
42,220,24,15,28,93,60,85,16,143
42,221,24,14,28,93,60,85,16,144
40,219,24,16,28,93,58,84,16,144
42,222,24,16,28,93,58,85,16,144
41,221,24,15,28,92,59,84,15,144
42,220,23,16,27,92,58,84,16,144
41,221,25,15,28,93,58,84,16,144
40,220,23,16,27,92,59,84,16,143
42,221,23,16,29,92,59,85,16,143
40,220,24,15,26,91,59,85,16,143
40,219,24,16,28,92,58,84,16,144
37,221,24,15,26,92,58,84,16,142
42,221,24,15,28,93,59,85,16,144
42,221,24,15,28,93,59,84,17,143
40,219,23,16,28,92,57,84,14,142
40,220,24,15,27,92,58,84,15,143
42,221,23,16,28,94,59,84,16,144
41,220,23,16,28,92,58,84,16,143
43,221,24,16,29,94,59,85,16,143
41,221,24,15,28,93,60,85,15,143
41,220,23,14,28,92,58,84,16,143
40,220,24,15,27,92,58,83,15,144
42,221,24,16,28,93,59,85,16,144
40,220,24,15,28,93,59,84,14,148
41,220,23,15,27,92,58,84,16,143
40,221,24,15,27,92,58,85,16,144
41,220,23,16,27,92,58,84,17,144
40,220,23,16,27,92,59,84,15,143
42,221,24,16,28,93,59,85,17,144
