MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,225,22,17,26,95,62,87,16,142
17,224,21,16,26,95,61,87,16,141
19,226,22,16,26,95,62,87,16,142
19,225,22,17,27,94,62,87,16,142
18,225,22,17,26,96,62,87,16,141
17,224,21,16,25,94,62,86,15,141
18,224,21,16,26,96,62,86,17,143
19,225,21,16,26,96,62,88,16,141
18,225,22,16,26,96,62,88,16,141
17,224,21,16,25,94,62,87,16,141
19,225,22,16,26,96,62,87,16,142
19,225,22,16,26,95,62,87,16,142
18,224,22,17,27,95,62,87,17,141
18,225,21,17,26,95,62,87,17,141
19,225,21,16,27,96,64,86,16,141
19,226,22,16,26,96,63,87,17,142
18,225,21,17,27,96,62,86,16,142
18,225,22,16,26,95,61,87,16,142
18,225,21,16,26,95,62,86,16,142
20,225,22,16,27,96,62,88,16,142
17,224,21,16,26,95,61,87,16,141
18,224,21,16,25,95,61,87,15,142
19,225,22,17,26,96,62,87,16,141
18,224,21,15,27,94,61,87,16,141
18,225,22,16,27,96,61,87,16,141
18,225,22,16,26,95,62,86,16,141
17,224,21,16,26,95,62,86,16,141
17,226,22,16,27,95,62,87,17,142
19,225,22,16,26,95,63,87,16,141
17,224,22,16,26,95,61,87,16,140
18,225,21,16,25,96,61,86,16,141
18,225,21,16,26,95,61,86,16,141
19,225,22,16,26,96,62,88,16,142
17,224,22,15,26,95,61,87,16,142
17,225,23,16,26,95,62,87,16,141
18,224,21,16,26,95,60,87,16,141
19,224,22,15,26,95,61,87,16,142
18,224,20,16,26,96,61,86,16,142
17,224,22,15,25,95,60,86,16,141
18,224,21,16,26,95,62,86,16,142
17,224,21,15,26,96,61,85,16,141
19,224,22,15,26,95,61,88,15,141
18,224,21,16,26,96,61,86,16,141
18,224,22,16,26,95,61,87,14,142
18,224,22,16,26,96,62,87,16,142
18,224,21,16,26,95,61,86,16,141
18,224,21,16,26,95,61,86,16,141
18,224,21,15,26,95,61,86,16,141
18,225,22,16,27,96,62,87,16,142
18,225,21,17,26,95,62,86,17,142
19,224,23,16,26,95,61,88,17,142
18,224,22,16,26,96,62,87,16,142
18,224,21,16,25,96,61,86,16,142
18,224,22,16,26,95,62,86,17,142
19,224,22,15,26,95,61,87,16,141
19,224,22,16,26,96,61,88,16,141
19,225,22,16,26,96,62,87,16,142
18,224,21,16,26,96,62,87,17,142
19,225,22,16,27,96,62,88,16,142
19,225,22,16,26,96,61,87,16,142
17,224,22,16,25,96,61,87,16,144
18,223,23,16,25,95,60,87,16,141
19,225,22,17,26,95,61,87,16,142
17,224,22,15,25,95,62,86,16,141
18,224,21,17,26,96,61,88,16,141
19,224,22,16,26,96,62,88,16,141
17,224,22,15,26,95,61,86,15,142
18,225,21,16,26,95,61,87,16,142
18,223,21,16,25,95,61,86,17,141
18,224,23,15,26,95,61,87,16,142
19,224,22,15,25,96,62,87,17,141
18,224,22,17,27,95,62,87,16,142
19,225,22,16,27,96,62,87,15,141
18,224,21,16,26,95,62,87,16,142
18,223,22,16,25,95,62,87,16,141
19,224,22,15,26,95,61,86,15,141
18,223,21,16,26,95,61,86,15,141
18,224,22,16,26,96,61,87,17,142
18,224,22,16,26,95,62,87,16,141
18,225,22,16,26,97,62,86,17,142
19,224,21,17,26,96,61,87,17,141
18,224,22,16,27,95,62,86,17,142
18,224,21,16,26,96,61,86,16,141
18,224,22,15,25,95,61,87,16,141
18,224,21,16,24,95,61,86,15,141
18,224,22,16,26,96,61,87,16,141
18,226,22,16,26,95,62,87,16,142
18,225,21,16,26,95,62,87,16,141
19,225,22,16,26,96,61,87,17,141
18,224,22,15,28,95,62,87,16,142
18,224,21,16,27,95,61,87,16,142
18,224,21,16,25,96,62,87,16,141
18,224,21,16,25,95,61,86,16,141
17,223,21,14,24,95,61,86,16,141
18,224,22,16,27,95,62,87,16,142
18,223,22,16,26,96,60,87,16,142
19,224,22,16,26,96,61,86,17,141
