MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,253,14,16,17,89,64,82,14,130
19,254,15,16,17,88,66,82,14,129
20,255,16,16,17,88,65,83,14,130
19,254,14,16,17,88,65,82,13,130
19,252,15,16,17,89,64,82,13,130
19,253,13,16,17,89,65,81,14,130
20,253,14,16,18,89,65,82,13,130
19,254,14,16,17,89,66,82,15,130
19,253,15,16,17,89,65,82,14,130
20,254,14,16,18,89,65,82,14,130
18,254,14,16,17,89,65,82,14,130
19,253,15,16,17,89,64,82,14,130
19,254,15,16,17,89,65,81,14,130
19,255,15,17,18,89,65,83,13,130
19,254,15,17,17,88,65,82,13,129
20,255,15,15,18,89,65,83,13,130
20,253,15,16,17,89,65,81,13,129
19,254,15,17,17,89,65,82,13,130
19,253,14,17,18,89,65,82,14,129
18,255,15,16,18,89,65,82,13,129
19,254,15,17,18,89,65,83,14,130
20,254,14,17,18,90,65,82,14,130
19,254,14,16,17,89,65,81,14,129
19,253,15,16,18,88,64,82,13,130
19,253,15,16,17,88,64,82,14,130
19,256,14,17,18,89,65,82,14,131
19,254,14,17,18,88,66,81,14,130
19,253,14,17,16,89,65,82,13,129
19,253,15,16,18,89,65,82,13,130
19,253,14,16,17,89,65,81,13,129
20,254,14,17,17,88,65,82,13,130
20,254,14,16,17,89,65,81,13,130
18,253,14,15,18,88,66,82,13,131
19,253,14,16,17,88,64,82,14,130
19,254,15,17,18,89,64,83,13,130
19,254,14,16,17,89,65,81,14,129
20,253,14,16,18,88,64,81,14,129
19,253,14,16,17,89,64,82,14,129
19,254,14,16,17,88,64,82,13,131
20,254,15,16,17,89,64,83,14,132
20,255,14,16,17,88,65,82,14,130
19,253,14,16,17,89,65,82,14,131
20,254,14,16,17,89,65,82,14,129
20,254,15,16,17,88,65,82,13,130
19,253,15,17,16,89,65,82,13,130
19,253,14,17,17,89,64,81,14,129
19,254,14,16,18,88,65,83,13,129
19,255,14,16,18,89,65,81,14,129
19,254,15,16,18,88,65,82,13,130
19,253,14,16,17,90,65,82,14,130
20,252,16,16,17,89,65,82,13,130
19,254,13,16,17,88,65,82,14,130
19,252,14,16,17,88,65,82,13,130
20,255,14,17,17,89,65,83,14,130
19,254,14,16,17,89,65,83,13,130
20,254,16,17,18,89,65,82,14,130
20,254,15,17,18,88,69,83,14,130
20,254,14,16,18,88,65,82,14,130
20,254,14,17,18,89,65,79,13,130
19,255,14,16,17,90,65,82,13,130
19,253,14,16,17,89,65,81,13,129
19,255,15,16,18,88,65,82,13,130
19,254,14,16,17,89,65,82,14,130
20,255,14,17,17,90,65,82,15,130
