MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
75,96,94,41,169,131,305,146,122,162
74,95,93,41,169,131,306,147,122,163
74,95,94,41,169,132,306,146,124,171
75,95,93,40,169,130,305,146,123,164
76,96,93,42,169,132,306,146,124,170
75,96,94,41,168,131,306,147,123,174
75,95,94,41,169,131,306,147,123,177
75,95,93,41,168,132,305,147,123,162
75,95,94,41,169,131,305,147,123,162
75,94,94,40,169,130,305,147,122,165
75,96,94,41,170,132,307,148,124,212
74,95,93,40,169,131,305,145,122,163
75,95,94,40,170,131,306,147,123,162
75,96,94,40,170,132,307,147,123,173
75,97,97,41,171,132,307,147,124,185
75,96,94,41,170,132,307,148,124,188
75,96,95,41,170,132,307,146,124,183
76,96,94,41,170,132,305,148,123,162
75,95,95,41,170,132,306,148,124,163
75,95,95,40,170,131,306,146,122,162
76,96,95,42,170,132,305,146,123,162
76,96,94,42,169,132,305,147,124,162
75,95,93,41,169,131,306,147,123,161
76,96,95,41,169,132,306,147,123,162
75,94,94,40,170,131,306,146,123,161
75,95,93,40,170,131,306,146,123,161
76,96,94,41,169,132,306,147,123,161
76,95,94,40,169,132,305,147,123,162
76,95,94,41,169,132,305,147,123,161
75,95,94,41,169,132,306,147,123,160
75,95,94,41,169,131,306,147,123,162
75,96,94,41,171,132,306,147,124,160
75,95,95,41,170,132,306,146,122,160
75,95,95,41,170,131,306,147,123,161
75,95,94,41,170,131,307,147,122,161
76,96,94,41,170,132,307,147,123,161
75,95,93,41,169,131,306,147,123,161
76,95,94,41,169,131,305,148,122,162
75,96,94,40,171,131,306,147,123,161
75,95,93,41,169,132,306,146,124,161
75,96,95,41,170,132,307,147,123,162
76,96,94,41,170,133,306,147,123,161
76,96,95,41,170,132,306,147,123,162
75,95,95,40,170,131,307,147,122,162
75,94,95,42,169,131,306,147,123,163
75,95,94,41,170,131,305,147,123,162
76,96,95,41,170,132,306,147,123,162
76,96,96,41,170,132,307,148,124,163
75,94,94,40,170,131,306,147,122,162
75,96,95,40,170,132,307,147,124,163
76,95,95,41,170,132,306,146,123,163
76,95,94,40,170,132,306,146,123,162
76,95,95,41,170,132,307,147,123,163
76,95,94,41,170,132,306,148,123,165
76,95,95,40,170,132,306,147,123,164
76,95,94,40,171,132,306,147,123,165
76,97,95,42,172,133,308,147,125,166
76,96,94,41,171,133,307,148,123,168
76,96,95,40,172,134,308,148,124,191
75,95,95,41,170,132,306,147,123,164
77,97,95,41,170,132,307,148,123,164
75,95,95,40,170,131,306,147,123,163
76,96,96,41,171,131,307,147,123,162
76,95,94,41,170,132,307,146,124,161
77,96,94,40,170,131,307,147,123,162
75,96,95,42,170,132,307,147,124,163
76,96,95,42,171,132,307,147,124,163
76,96,95,41,171,132,307,148,123,162
76,96,95,41,170,133,307,148,123,163
77,96,96,41,171,132,307,148,123,162
75,93,94,40,170,132,307,147,122,161
76,96,95,41,171,131,307,148,123,162
76,96,96,41,171,131,307,147,123,162
76,96,95,40,171,132,307,147,124,161
76,96,94,42,170,132,306,146,124,161
76,95,94,42,170,132,307,147,123,162
75,96,96,40,171,132,307,147,124,162
76,97,95,42,171,132,307,148,124,163
76,96,95,42,170,132,306,147,123,162
76,96,95,41,170,132,306,147,123,162
76,96,95,41,171,132,307,147,124,163
76,96,93,40,170,132,306,147,123,163
76,96,96,40,170,132,307,147,123,163
76,95,96,41,170,133,306,147,124,163
76,96,95,41,171,132,307,148,123,163
75,96,94,41,171,132,307,146,124,163
76,96,95,41,171,132,307,147,124,164
76,96,96,42,169,132,307,148,123,164
76,95,95,41,171,132,306,146,124,164
76,96,95,41,171,132,306,147,124,165
75,96,95,41,170,132,307,147,123,166
76,96,95,42,171,132,308,147,124,170
76,97,94,42,171,132,307,147,124,165
76,96,95,42,171,133,307,147,124,163
76,95,95,41,170,132,307,148,123,164
77,97,96,41,172,131,307,148,124,165
75,95,95,41,171,132,307,147,123,163
75,95,95,40,171,131,307,147,124,164
76,96,95,41,171,133,308,147,124,164
75,96,96,41,170,132,306,147,123,163
76,95,95,40,170,132,306,148,123,164
76,96,95,41,171,132,306,148,123,165
75,96,95,40,171,132,307,147,124,165
77,96,96,41,172,132,308,148,125,181
75,96,96,41,172,132,308,147,124,218
76,97,95,42,171,133,308,147,124,167
76,96,95,41,171,132,307,148,124,163
75,96,95,41,171,132,306,148,123,163
76,96,96,41,171,132,307,147,124,164
75,96,95,40,171,132,306,147,123,163
76,95,95,41,171,132,307,147,124,163
77,97,96,41,171,132,307,148,123,165
76,96,95,41,170,132,307,148,124,167
