MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
70,118,89,41,154,154,317,163,135,179
70,118,88,40,154,154,317,163,135,179
70,117,89,41,153,155,317,162,134,178
70,118,90,40,154,154,318,163,135,179
70,117,89,40,154,154,318,163,134,178
70,118,89,40,154,153,318,163,134,178
69,117,89,40,154,154,317,162,134,179
70,118,89,40,154,155,318,163,136,176
69,118,88,41,154,155,317,163,134,179
70,117,89,41,153,155,318,163,135,179
70,117,88,41,154,154,317,162,135,179
70,117,88,40,153,155,317,163,134,179
70,118,89,42,154,155,318,163,135,179
71,118,89,41,154,155,318,164,134,180
70,117,89,41,154,154,318,163,134,179
70,116,87,40,153,155,318,163,134,178
70,119,89,41,154,155,318,163,135,179
70,117,87,42,153,155,318,162,136,177
69,117,88,40,153,154,317,161,135,179
69,117,88,41,153,154,318,162,134,179
70,117,88,40,153,154,318,162,134,179
69,117,88,40,153,154,318,163,134,179
70,117,88,41,151,155,317,162,134,178
70,118,89,41,153,154,318,162,135,179
70,117,88,41,152,154,317,164,135,179
70,119,89,41,152,154,317,163,135,180
69,118,89,41,153,154,317,163,134,178
70,118,89,40,153,154,318,162,134,179
70,117,88,41,153,154,318,162,134,179
69,118,89,42,152,155,318,163,135,179
70,117,89,41,152,154,317,163,135,180
70,118,89,41,152,154,317,163,135,179
69,117,88,40,152,154,317,163,134,179
70,117,89,40,152,154,317,162,135,178
69,117,88,41,153,154,318,163,134,179
70,118,89,41,153,154,317,163,135,179
69,118,88,41,152,155,318,163,135,179
69,116,88,41,152,154,318,163,135,179
70,118,89,41,152,155,318,163,136,179
69,118,88,41,152,154,318,162,135,179
70,118,88,40,152,153,318,163,135,179
69,118,88,41,152,154,317,163,134,179
69,117,88,40,151,154,318,163,134,179
70,117,87,41,152,154,317,163,134,179
69,117,87,41,152,154,318,162,134,179
70,117,89,40,152,154,317,163,135,179
69,118,88,41,151,154,318,163,134,179
68,117,88,41,151,154,317,163,134,179
70,118,88,41,152,154,317,163,134,180
69,118,89,40,152,155,318,163,134,180
69,118,88,40,151,154,316,162,134,179
69,117,88,41,151,154,318,162,134,178
69,118,89,41,151,154,317,162,134,179
69,118,88,41,151,154,317,163,134,179
70,118,88,42,152,154,317,162,133,180
70,118,88,41,152,154,318,163,134,180
69,117,88,41,152,154,318,163,134,179
69,118,89,41,151,154,317,162,134,180
69,118,88,40,152,154,318,163,134,179
69,118,88,42,151,154,319,163,135,180
69,117,89,40,151,154,318,163,135,179
69,117,88,41,151,154,318,163,134,179
69,118,88,41,152,154,318,163,135,179
69,117,88,41,151,154,318,162,134,179
70,118,89,42,151,154,318,163,136,181
69,118,88,42,152,155,318,162,135,179
70,118,88,41,151,154,318,163,135,179
70,118,88,41,152,154,318,163,135,179
70,117,88,41,152,154,318,162,134,179
68,117,88,41,152,154,317,163,134,179
69,118,89,41,152,154,317,163,134,180
69,117,88,41,152,153,317,162,134,179
69,118,88,41,152,154,318,163,134,179
70,118,89,41,152,153,318,163,135,179
68,117,88,41,152,154,316,162,135,179
69,118,88,41,152,153,318,163,135,179
69,117,88,40,152,154,318,162,134,179
69,118,88,41,152,153,318,163,135,179
69,118,88,41,151,154,318,163,136,179
69,118,88,39,151,153,318,162,134,179
69,118,89,41,152,154,317,162,134,179
69,117,88,40,152,154,318,163,134,179
69,119,88,40,152,153,317,163,134,179
69,118,89,41,152,153,318,163,134,179
69,119,89,41,152,154,318,163,135,180
69,117,88,41,151,154,318,162,134,179
68,118,88,41,151,154,317,162,134,179
69,117,89,41,151,154,318,163,133,180
69,116,88,41,152,154,318,162,134,179
69,118,89,42,152,154,318,163,135,179
69,118,88,41,151,154,318,162,134,179
69,117,88,41,151,154,318,162,134,178
69,118,88,42,152,154,318,162,135,179
69,117,87,41,151,153,318,163,134,179
70,118,88,41,152,154,318,164,134,179
69,118,89,41,150,154,318,164,134,179
69,119,89,41,152,153,319,163,136,180
69,118,89,41,152,153,318,163,134,180
70,118,88,41,152,153,318,163,134,180
69,118,87,40,151,155,317,163,134,179
68,118,88,40,151,154,318,162,134,179
69,117,88,41,151,154,318,162,134,179
69,118,87,40,151,153,318,163,134,179
68,117,89,41,151,153,318,163,134,179
69,117,88,41,151,154,317,162,135,179
70,119,88,41,152,155,318,163,135,180
69,118,87,40,150,154,317,163,135,179
69,117,88,41,150,154,318,163,134,179
70,117,86,42,151,153,317,163,135,179
69,118,88,42,151,154,318,163,135,179
69,117,88,41,151,154,318,163,136,179
68,117,87,41,150,154,317,162,134,178
69,118,88,42,151,154,319,163,135,179
69,117,88,41,150,154,318,163,134,179
69,118,88,42,151,153,318,163,135,179
69,117,87,41,148,154,318,162,134,179
69,119,88,42,151,155,318,163,135,179
68,118,87,40,150,153,318,163,134,179
68,118,87,42,150,154,318,163,134,179
68,117,87,41,150,154,318,163,134,179
69,118,88,40,150,154,319,162,134,179
68,117,88,42,150,154,317,162,133,178
69,117,88,41,151,154,318,164,134,177
68,116,87,41,151,154,317,162,134,179
69,119,88,41,150,154,318,164,134,180
69,117,87,41,149,154,318,163,135,180
68,116,88,41,150,153,318,163,135,179
69,119,88,42,150,153,318,164,135,180
69,119,88,42,150,154,319,163,134,180
68,118,87,41,150,154,318,163,136,179
69,119,88,43,150,154,318,163,135,179
68,117,87,41,149,153,317,163,134,180
69,118,87,41,150,154,318,163,135,180
69,118,89,41,150,154,318,163,134,180
69,118,88,41,149,154,318,162,134,180
69,118,88,41,150,153,318,163,134,179
69,118,88,42,150,154,318,163,135,179
68,117,87,42,149,153,317,163,134,180
69,118,88,41,150,154,318,163,134,179
68,119,87,42,150,154,318,163,135,179
68,118,87,41,149,153,319,163,134,179
68,118,88,41,150,153,318,163,134,180
70,117,88,41,150,153,318,164,134,180
69,118,88,41,150,154,318,163,133,180
69,117,88,41,150,154,318,164,135,180
69,118,88,41,150,153,319,163,134,179
68,117,87,41,150,154,318,163,134,179
70,118,87,40,151,154,319,163,134,179
69,119,88,42,150,153,318,163,136,180
69,117,88,41,150,154,318,162,135,179
69,118,88,41,151,153,317,162,134,180
69,118,89,42,151,154,319,163,135,180
69,117,86,41,151,153,318,163,134,179
69,118,88,42,151,154,318,163,134,180
