MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
69,102,90,44,168,143,311,151,119,169
69,102,91,44,168,143,311,151,121,170
69,103,91,44,168,144,311,151,121,170
69,102,90,43,168,144,311,150,120,170
69,102,91,44,168,143,311,151,119,171
68,102,91,44,167,143,311,151,120,170
69,102,91,43,168,143,311,152,119,170
68,102,92,44,168,143,311,151,120,171
68,103,90,43,168,143,311,151,120,171
68,103,91,44,168,142,311,151,120,171
69,103,92,44,169,144,311,152,120,171
69,102,91,43,168,143,311,151,119,170
69,103,91,44,168,143,311,151,120,169
69,103,91,44,168,143,311,152,120,170
69,103,91,43,168,143,311,152,119,171
69,103,91,43,168,143,312,151,120,172
69,103,91,44,169,143,311,151,120,171
69,102,90,44,168,143,311,151,120,170
69,103,92,44,169,144,311,151,120,170
69,101,90,43,169,143,310,151,119,171
70,103,91,44,168,143,311,152,120,171
69,102,91,44,168,142,311,150,119,170
69,102,91,44,168,142,310,152,120,171
69,103,91,45,169,144,311,152,121,171
68,103,91,44,169,143,311,151,120,171
69,102,91,44,169,143,311,151,120,171
68,102,91,44,169,143,311,150,120,171
69,104,91,44,169,144,311,151,120,171
69,103,91,44,168,143,311,151,120,171
69,102,90,43,169,143,311,152,120,172
69,103,91,43,168,143,311,152,120,170
69,103,92,43,169,143,311,151,121,171
70,103,91,44,168,143,311,151,119,171
69,101,91,43,169,143,311,151,120,170
70,103,92,43,168,144,312,151,120,172
69,103,92,44,169,144,311,152,120,172
69,103,91,44,169,143,311,151,120,170
69,103,92,44,168,144,311,152,120,171
68,102,91,43,168,143,311,150,120,171
69,104,92,43,169,144,312,152,120,172
69,101,91,43,168,143,310,151,120,170
69,103,91,43,168,144,311,151,120,171
69,102,91,44,168,143,311,150,120,171
69,102,91,43,169,143,311,151,119,171
69,102,92,43,168,143,311,151,119,171
69,101,90,43,168,143,310,152,119,170
69,103,91,44,168,143,311,152,120,170
69,102,91,44,169,143,311,151,119,171
69,103,91,44,169,143,311,151,120,171
69,102,91,43,168,143,309,151,120,170
69,103,91,43,169,144,311,151,120,171
69,101,91,43,168,143,311,150,120,171
69,102,92,44,170,144,312,151,120,171
69,102,91,43,168,143,311,152,120,171
69,102,90,43,168,143,310,151,119,171
69,103,92,44,168,143,311,152,120,172
68,103,92,44,168,143,311,151,120,172
69,102,91,43,169,144,311,150,120,171
69,101,91,42,168,143,310,151,120,170
69,102,91,43,169,143,312,151,120,171
69,102,91,43,169,143,311,151,120,171
70,103,91,44,169,144,311,152,120,172
69,103,91,44,168,143,311,151,120,172
69,102,91,43,168,142,311,151,120,171
69,104,91,44,169,144,311,151,120,171
68,102,90,44,169,143,311,151,120,171
69,102,91,44,168,143,311,151,120,171
69,102,91,43,168,143,311,151,120,171
69,102,91,42,168,143,311,152,120,170
69,102,90,43,168,143,311,151,120,170
69,102,91,43,169,142,312,151,120,170
69,102,91,44,169,143,311,151,120,172
69,102,92,43,169,144,312,152,120,171
68,102,91,44,168,142,310,151,119,171
68,103,91,44,168,144,311,151,120,171
69,103,91,43,169,143,311,151,120,171
69,103,90,44,168,143,311,151,119,171
69,102,91,43,169,143,311,151,120,171
70,101,90,43,168,143,310,151,119,170
68,102,90,43,168,143,311,151,120,170
70,103,91,44,169,143,311,152,120,172
68,103,91,43,168,142,310,151,120,169
69,102,91,43,168,143,311,151,119,170
69,102,91,44,169,142,311,152,120,171
69,102,91,44,169,143,311,151,120,172
69,102,91,44,168,143,311,151,120,171
69,103,91,43,168,143,311,151,120,171
69,103,91,44,169,143,310,152,120,171
69,102,91,43,168,143,311,151,119,170
69,102,90,43,168,143,311,152,119,170
69,103,91,44,169,143,311,151,120,171
70,103,92,44,169,143,311,152,120,172
70,103,91,44,169,144,311,151,120,171
69,101,91,43,169,143,311,152,119,170
69,102,91,43,169,143,311,151,119,171
70,102,91,43,169,143,310,152,120,171
70,103,92,44,170,144,311,151,121,171
70,103,92,44,170,144,312,151,120,171
71,102,93,44,170,143,312,151,120,172
71,102,92,44,169,144,310,151,119,171
70,102,91,44,169,142,311,151,119,171
70,103,92,44,170,143,311,151,120,171
70,102,91,44,169,141,311,153,119,171
71,102,92,44,170,144,311,151,119,171
70,102,92,44,170,143,311,151,119,172
71,103,93,44,170,143,311,151,121,172
71,102,93,44,170,143,311,151,120,173
70,102,92,44,170,143,310,151,120,173
72,103,93,44,171,144,311,152,120,173
72,102,93,44,171,143,311,152,121,173
72,103,93,44,170,143,311,152,120,173
72,102,93,44,170,143,312,151,120,174
71,102,93,43,170,143,311,152,119,172
72,102,93,44,169,143,311,151,120,173
71,102,91,43,171,143,312,151,120,173
71,102,93,43,172,144,311,151,119,176
71,102,93,43,170,143,311,152,120,174
72,102,92,43,171,141,310,151,119,174
72,103,93,44,170,143,311,151,120,175
72,103,93,44,171,143,311,152,120,175
73,103,94,44,171,143,311,151,121,175
72,103,93,43,170,143,310,150,119,175
72,103,93,44,170,143,310,150,120,175
71,102,94,44,172,144,311,151,120,175
73,102,93,44,171,143,311,152,119,174
72,102,93,44,170,143,311,151,120,173
73,103,93,44,170,142,311,151,119,173
73,103,94,44,171,143,310,151,120,175
73,103,94,45,171,144,311,152,120,175
73,103,94,44,170,144,311,152,120,174
