MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
60,93,84,39,155,130,308,147,121,166
60,94,83,39,156,130,308,146,121,166
60,94,84,40,155,130,309,147,121,166
61,94,85,40,155,131,309,146,121,166
60,94,84,39,156,131,309,146,121,166
60,94,83,39,154,131,309,147,121,166
60,94,84,39,156,130,308,147,121,166
59,94,84,39,155,130,309,147,121,166
60,94,84,39,156,130,309,147,121,166
60,96,84,39,155,130,309,146,122,165
60,94,83,39,155,131,310,147,122,166
60,94,84,38,155,130,308,146,121,166
61,94,84,39,155,130,309,146,120,167
60,94,83,39,154,130,308,146,121,165
60,94,83,38,154,129,308,147,121,167
60,93,84,39,155,130,309,147,121,166
60,94,84,39,155,131,308,148,121,166
60,94,83,39,154,131,308,146,121,166
59,94,85,40,156,131,309,147,121,166
60,94,84,38,155,131,308,147,121,166
60,94,84,39,154,130,308,147,121,166
60,94,84,39,156,131,308,147,121,166
60,94,83,39,154,131,309,146,120,166
59,93,83,38,155,130,310,146,121,166
60,94,84,39,156,131,310,147,121,166
59,94,83,39,155,130,310,146,121,165
60,93,83,38,154,130,309,147,121,167
60,93,83,38,155,130,310,147,121,166
60,94,84,40,155,130,311,147,121,166
60,94,84,39,155,131,309,147,119,165
60,94,83,39,155,131,309,147,121,166
60,94,83,39,155,130,309,146,121,166
60,93,83,39,155,129,310,147,120,165
60,94,84,39,155,131,310,147,121,166
59,93,83,39,155,130,309,147,120,165
60,93,83,38,154,130,309,147,120,165
59,94,84,38,156,131,310,147,121,167
60,93,84,39,155,130,310,147,121,166
60,94,83,39,155,130,309,146,121,166
60,94,84,39,154,131,309,147,121,166
60,94,83,38,155,130,310,146,122,166
60,93,83,39,155,130,311,147,121,166
61,93,84,39,156,131,310,148,120,166
60,94,84,39,155,130,310,147,121,166
60,93,84,39,154,130,309,146,120,165
60,95,84,39,156,131,309,147,120,166
60,93,82,39,155,130,309,147,121,165
59,94,83,38,155,130,309,147,121,166
60,94,83,39,155,130,310,147,120,165
61,94,84,39,156,130,309,148,119,166
60,93,84,39,155,130,309,146,121,166
60,93,84,38,156,131,309,146,121,165
61,94,85,39,156,130,310,147,122,166
61,94,84,40,156,131,310,147,120,166
61,93,84,39,156,130,310,147,121,166
61,93,83,38,155,130,309,146,121,166
61,93,84,38,156,130,309,146,121,166
61,94,84,39,155,130,310,147,121,165
62,94,84,39,157,130,310,147,120,167
62,93,84,39,156,131,310,147,121,166
61,93,84,38,156,130,309,146,121,166
62,94,84,38,156,130,310,146,121,166
61,93,85,38,157,131,309,146,121,166
62,93,84,39,157,131,308,146,120,166
62,94,85,40,158,131,309,147,121,166
61,94,85,39,157,131,310,147,121,167
62,92,84,39,156,130,310,146,120,166
62,94,85,39,157,130,309,147,122,170
62,94,85,40,157,131,310,146,121,167
62,93,84,39,156,131,309,146,120,165
63,93,85,38,157,129,309,146,121,165
62,94,85,39,155,130,310,147,121,164
63,93,84,38,157,131,309,146,120,166
63,94,86,39,159,130,309,146,121,166
64,94,86,40,158,130,310,147,121,166
63,94,84,38,157,130,309,146,120,166
63,93,85,39,157,130,309,146,120,166
63,94,86,39,158,130,310,148,121,168
63,93,85,38,157,131,310,146,120,169
64,94,84,40,158,130,310,147,122,168
64,94,85,40,158,130,309,147,121,168
64,93,86,39,158,131,308,147,120,167
63,93,85,38,158,130,309,146,120,167
63,94,85,40,158,131,310,146,120,168
64,95,85,39,157,130,309,146,121,168
64,94,86,39,159,131,309,147,121,168
64,95,86,40,159,132,311,148,121,168
63,94,85,38,158,131,308,147,120,168
64,94,85,39,159,130,309,146,121,167
64,94,85,38,158,129,308,147,120,168
64,94,86,40,158,130,309,146,120,167
64,93,85,39,158,131,309,146,121,168
64,93,86,39,158,131,309,147,121,168
64,94,86,39,158,130,309,148,121,168
62,94,85,38,158,130,309,147,121,168
64,94,85,39,159,129,310,147,121,167
63,93,84,39,158,130,309,147,121,166
63,94,85,39,158,131,308,146,121,168
64,94,85,39,158,131,309,146,120,168
64,94,85,40,159,129,308,146,120,167
64,94,86,39,159,130,309,147,121,167
64,94,86,40,159,131,309,146,121,167
64,94,85,39,158,130,309,146,120,167
64,93,85,39,160,130,309,147,120,167
