MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
81,122,100,43,175,158,321,167,139,183
78,122,101,44,175,158,321,167,140,183
81,121,100,44,175,158,321,167,140,183
82,122,101,44,178,159,321,167,141,184
81,121,100,43,175,158,321,167,140,184
81,121,101,44,176,158,321,168,140,184
81,121,100,44,175,159,321,167,140,184
81,121,101,43,175,158,320,167,140,184
81,122,101,43,175,158,321,168,141,184
80,121,99,44,175,158,320,166,140,183
81,122,100,43,175,158,321,167,140,184
80,121,100,43,175,158,320,167,140,184
81,121,100,43,175,158,320,167,141,184
81,121,100,44,174,158,320,167,140,184
80,122,99,44,176,158,321,166,140,184
80,122,100,44,174,158,320,166,140,183
81,122,100,43,175,158,321,166,141,183
80,122,101,44,176,159,320,167,141,184
81,122,100,44,175,158,321,167,140,183
81,122,100,43,175,158,321,167,140,183
80,122,101,44,176,158,321,167,141,183
80,122,100,44,175,158,321,168,140,183
80,122,100,43,175,158,320,167,140,183
80,120,99,44,175,158,321,166,140,184
81,122,101,43,175,159,321,167,141,184
80,121,99,43,176,158,321,167,140,184
81,122,100,44,174,159,321,167,140,183
81,122,100,44,175,158,321,167,140,184
80,121,99,42,175,158,320,166,140,184
81,122,100,43,176,158,320,167,140,184
80,121,101,44,175,158,321,167,140,184
80,121,100,44,175,158,321,167,140,183
80,122,100,44,176,158,320,167,139,184
81,122,100,44,175,158,320,168,140,184
80,122,100,43,175,158,320,167,140,184
82,122,100,43,176,158,321,167,140,184
80,121,100,43,174,158,321,167,140,183
81,122,101,43,176,159,321,167,141,184
81,122,101,44,175,158,321,167,141,184
81,123,100,44,175,158,321,167,141,183
80,122,100,44,175,158,321,167,140,183
81,122,100,44,175,158,321,167,141,184
80,123,101,44,175,158,322,167,140,184
80,122,99,43,175,157,320,167,140,183
81,123,101,44,175,158,321,167,141,183
80,121,99,44,175,158,321,166,140,183
81,121,100,43,175,158,321,167,141,183
80,122,101,44,175,158,321,167,140,184
81,121,101,44,175,158,321,167,140,184
81,123,101,44,175,158,320,167,141,184
81,121,100,44,176,159,321,167,140,184
81,122,101,44,175,158,321,167,140,184
81,122,102,43,175,159,321,167,140,184
82,123,100,43,176,159,321,168,141,185
80,122,100,43,176,159,320,167,141,184
81,122,100,44,173,158,320,166,140,183
80,122,100,44,174,158,320,166,141,184
81,123,101,44,175,159,321,167,141,183
