MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
78,115,98,41,172,148,315,164,129,180
79,115,98,42,172,150,314,164,128,180
79,114,98,42,172,149,315,165,129,181
79,115,98,42,172,149,315,165,129,181
79,115,98,43,172,149,315,165,129,181
77,115,98,42,173,150,315,164,129,181
79,114,98,42,172,150,315,165,129,180
79,115,98,43,172,149,315,164,130,180
79,115,98,42,171,150,314,163,129,180
78,114,98,42,171,148,315,163,128,179
79,114,97,42,172,149,315,164,129,180
79,114,99,43,172,150,315,164,129,181
79,115,98,42,172,150,315,164,129,180
78,116,98,42,172,149,314,164,129,180
79,115,98,43,172,149,315,164,130,180
79,115,98,42,171,149,314,163,129,181
78,115,98,42,172,149,314,164,129,180
79,115,98,42,173,149,315,165,129,181
79,115,98,42,172,149,315,164,129,180
79,116,99,41,173,149,315,165,129,181
78,115,98,42,172,149,314,164,128,180
79,116,99,42,172,149,315,164,128,180
78,115,98,42,172,149,314,164,129,181
79,115,98,43,172,149,314,165,129,180
79,115,99,43,173,150,313,164,128,179
79,115,98,42,172,150,314,164,129,180
79,116,98,42,172,149,315,164,130,180
80,114,98,43,173,149,315,164,129,180
79,115,98,42,171,150,313,164,129,179
78,114,98,42,172,149,314,163,129,180
79,115,97,43,172,149,314,165,129,180
80,116,98,43,173,149,315,165,130,180
78,114,98,42,171,149,314,165,129,181
79,115,98,42,172,149,315,164,129,181
78,115,98,42,171,149,315,164,129,180
80,116,98,42,172,149,315,164,130,180
79,115,98,42,172,149,314,164,129,179
79,115,98,43,171,149,314,164,130,180
79,115,98,42,172,149,315,165,130,181
79,115,99,42,172,149,315,165,129,181
80,115,99,42,171,149,315,163,128,180
78,114,98,42,171,149,314,164,129,179
79,115,98,43,172,150,315,165,129,181
78,114,98,43,171,149,314,164,128,180
79,115,99,43,172,150,315,165,130,181
80,115,98,42,173,149,315,164,128,180
79,115,97,43,171,149,315,164,128,180
79,115,97,42,171,149,315,164,129,180
79,115,99,42,172,149,314,164,129,181
78,115,99,42,171,149,315,164,130,180
79,116,98,42,172,149,315,165,129,180
79,115,98,42,171,149,314,164,129,181
79,114,98,43,172,149,315,164,128,180
78,114,97,42,172,150,315,163,129,180
79,114,99,42,172,149,314,164,128,180
78,115,99,43,172,149,314,164,129,181
79,115,98,42,171,149,314,163,129,179
80,116,98,42,172,149,315,165,129,180
79,115,98,43,172,149,315,164,129,181
79,116,98,42,172,149,315,165,129,180
78,114,98,42,173,149,314,165,127,182
79,114,99,42,172,149,314,164,128,180
79,114,98,42,172,149,314,164,128,180
79,116,99,41,172,149,315,165,129,181
79,115,100,43,172,149,314,164,129,180
78,114,98,42,171,148,314,164,130,179
80,116,99,43,172,149,315,164,129,181
79,116,98,43,172,149,314,164,129,181
79,115,99,43,172,150,314,165,129,181
78,115,98,42,171,149,314,164,129,180
79,114,99,42,172,149,315,164,128,180
79,115,99,42,172,149,315,164,129,180
78,115,98,42,173,148,314,164,128,181
79,115,99,42,172,148,314,164,129,181
