MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
25,252,24,15,22,95,150,87,19,178
24,250,24,15,22,94,150,88,19,178
23,251,25,16,23,95,151,89,20,179
25,251,25,15,23,95,150,88,19,178
24,251,25,15,22,94,149,89,17,178
24,251,24,15,22,94,150,88,20,178
24,250,24,15,23,94,150,89,18,178
23,250,25,14,22,93,150,88,19,178
24,251,25,15,22,95,149,88,19,178
24,250,25,15,24,96,150,90,18,179
24,251,25,15,22,95,150,90,18,178
24,251,26,15,23,95,150,88,18,178
23,250,25,14,23,94,150,89,19,179
24,252,25,15,23,94,150,88,19,178
24,251,25,15,23,95,150,89,19,178
23,251,25,15,23,94,151,89,19,179
23,252,25,16,22,94,150,88,20,179
25,251,25,14,23,95,152,89,20,179
25,251,25,15,23,95,150,89,19,178
25,252,26,16,23,94,150,89,19,179
23,251,25,15,22,93,150,88,18,178
24,251,25,15,22,95,150,89,19,178
25,250,25,15,22,96,151,89,19,179
23,250,25,14,22,95,149,88,19,178
24,251,25,15,21,94,149,88,19,178
25,251,25,14,22,94,150,88,19,178
25,250,24,14,22,95,149,89,19,178
24,251,25,14,23,95,150,89,20,179
24,251,24,15,22,94,151,88,20,179
24,251,24,15,22,94,151,88,20,178
24,251,25,15,23,95,151,89,19,179
24,251,25,15,22,95,150,89,19,178
23,251,25,15,24,95,151,89,19,178
24,251,25,15,22,94,150,89,20,179
24,252,26,15,22,95,150,88,20,179
24,251,24,14,22,94,150,88,19,178
24,251,25,15,22,94,150,89,20,179
23,251,25,16,22,94,151,92,20,179
24,251,25,16,23,95,150,88,20,178
24,251,24,15,22,94,151,89,20,178
24,252,25,15,23,94,150,88,20,177
24,251,25,15,22,95,151,88,20,178
23,251,24,15,22,95,149,88,19,178
24,252,25,15,22,95,150,88,20,179
24,251,25,15,23,94,150,88,20,178
25,252,26,15,23,95,150,90,20,178
24,252,24,15,22,94,151,89,20,179
22,251,24,15,22,95,149,89,19,178
25,252,25,15,23,94,151,88,20,179
25,252,24,15,22,95,150,88,20,178
23,251,25,14,24,95,152,90,19,179
24,251,24,15,23,95,151,88,20,179
25,252,25,16,22,95,150,90,19,178
25,251,26,16,24,95,151,90,19,178
24,252,25,14,23,95,152,89,19,179
23,251,25,16,22,94,150,89,19,179
24,251,25,16,23,95,151,89,20,179
24,252,24,14,22,94,150,88,20,179
24,250,25,15,22,95,150,88,19,179
25,251,26,16,23,96,151,89,19,179
24,252,26,16,23,94,152,89,20,179
24,252,25,15,23,94,150,88,19,179
23,252,25,15,23,94,150,89,20,178
24,251,25,15,22,95,151,89,20,178
24,251,25,15,23,95,151,89,19,179
25,251,25,15,22,95,151,90,20,179
24,251,25,15,22,95,151,89,19,179
25,252,25,15,23,95,151,89,19,179
24,251,25,15,22,94,149,88,19,178
24,252,25,15,23,94,150,88,20,179
24,252,25,15,22,94,150,89,20,178
25,251,25,15,24,95,150,89,19,178
24,252,25,16,23,94,151,89,20,179
