MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,231,16,16,20,99,74,88,15,117
20,230,16,18,20,100,74,88,14,117
19,231,16,17,20,98,74,87,14,118
20,232,17,17,21,99,74,87,13,117
19,231,16,17,20,99,75,88,15,117
19,231,16,16,20,98,74,87,14,118
20,231,16,17,20,99,75,88,14,117
19,230,16,17,20,99,75,87,14,117
19,231,16,17,21,99,73,87,13,118
20,232,16,18,21,99,75,87,15,117
19,231,17,17,20,99,74,88,15,117
20,232,17,16,20,99,75,87,14,117
20,232,16,18,20,98,75,87,14,117
20,231,16,17,21,99,74,87,14,117
19,232,17,18,20,99,75,87,14,117
20,231,14,17,20,98,75,87,14,116
19,232,16,16,20,99,75,87,14,118
20,231,16,17,20,100,74,88,15,117
20,231,16,17,21,99,75,88,14,117
19,232,16,17,21,99,75,87,14,117
20,231,16,17,20,99,75,88,15,117
19,231,17,17,20,99,75,87,15,117
20,231,16,18,21,99,75,88,14,118
19,232,17,17,21,99,75,87,14,117
20,231,16,17,20,99,74,87,15,117
19,231,16,17,21,99,75,87,14,117
20,232,16,18,20,99,75,88,14,117
20,232,16,18,21,99,75,88,13,118
20,231,17,17,21,99,75,88,14,117
20,231,16,18,20,98,75,87,15,117
19,231,17,17,20,99,75,88,14,117
20,232,17,17,21,99,76,87,14,117
20,232,16,18,21,99,75,88,15,117
19,232,17,17,20,100,75,88,15,117
19,231,17,17,20,99,74,87,13,117
20,232,17,18,21,99,75,87,14,117
20,232,16,17,20,99,75,88,14,117
19,232,16,17,21,99,75,87,14,117
20,233,17,18,20,99,75,88,14,117
19,231,15,17,20,99,75,87,14,118
19,231,16,18,20,98,75,88,15,117
19,232,17,18,21,99,75,88,14,117
19,231,17,17,20,99,75,88,14,118
20,231,16,18,20,99,74,88,15,118
19,232,17,17,22,99,76,88,14,117
21,232,16,18,21,100,75,88,15,117
19,231,17,17,20,99,75,88,15,118
19,231,16,17,20,98,75,87,14,117
20,231,16,17,19,99,74,87,14,116
19,231,15,17,20,99,75,87,14,118
20,231,16,17,20,99,74,87,14,117
20,231,16,18,20,99,75,87,11,117
20,232,17,18,20,100,75,88,14,118
19,232,16,17,21,99,76,88,14,117
20,233,16,18,20,100,75,87,14,117
20,233,17,17,21,99,75,88,14,117
20,231,16,17,20,99,74,87,15,118
20,232,16,17,21,99,76,87,14,117
19,231,16,18,20,100,75,88,15,116
20,231,16,17,20,99,75,87,15,117
20,232,17,17,21,99,75,88,15,117
20,233,17,17,21,99,75,88,15,117
19,232,16,15,20,99,75,87,14,117
20,231,16,18,20,97,75,87,14,117
20,232,16,17,20,99,75,88,15,117
19,232,16,17,21,98,75,87,16,118
18,232,16,18,21,98,75,87,15,117
20,232,16,18,20,100,75,88,15,117
19,232,16,17,21,99,76,88,14,117
19,231,16,15,19,99,74,87,14,117
20,231,18,17,20,99,75,88,14,117
19,231,15,17,20,98,75,87,14,117
20,231,16,17,20,99,75,88,14,117
20,232,16,17,20,99,74,87,14,117
20,232,16,17,20,99,75,88,14,117
20,232,16,18,20,99,75,87,14,117
20,231,17,17,20,98,74,88,14,118
20,232,16,18,21,99,75,88,15,117
19,232,16,16,20,99,75,88,14,117
20,232,17,17,20,99,75,88,14,117
20,233,17,17,20,99,75,87,14,117
20,232,17,17,21,99,75,87,14,118
19,232,16,17,21,99,76,87,15,117
19,232,16,18,19,98,75,87,15,118
20,231,13,17,20,99,75,88,15,117
20,232,17,17,20,99,75,87,13,118
19,232,16,17,20,99,75,88,15,117
20,231,17,17,20,100,75,88,15,117
20,232,16,18,21,100,75,88,15,117
20,232,17,17,21,99,75,87,14,117
20,232,16,18,20,99,75,88,14,117
20,231,16,17,20,99,75,87,14,117
20,231,17,17,21,99,75,87,15,118
20,232,16,17,21,99,78,88,15,117
20,231,16,18,21,99,75,87,16,117
20,232,16,17,20,98,75,88,14,117
20,232,16,17,20,99,75,87,15,117
20,232,16,18,21,99,75,88,15,117
20,232,16,17,20,99,75,86,14,117
20,232,17,18,21,100,75,88,14,117
20,232,16,18,21,99,75,88,15,117
20,232,16,17,20,99,75,89,13,117
19,231,16,16,20,99,75,88,14,117
20,232,16,18,21,100,75,88,15,117
19,231,16,17,20,98,75,87,15,118
20,233,16,18,20,99,75,88,15,117
19,231,16,18,20,99,75,87,15,117
20,231,16,18,20,99,75,88,15,117
20,232,16,18,19,100,75,88,14,116
20,232,16,17,20,98,75,87,14,117
20,232,16,17,20,99,75,88,14,117
20,232,17,18,20,99,75,88,14,117
20,232,16,17,20,98,75,87,14,118
20,232,16,17,20,100,75,87,15,117
21,232,16,17,20,99,75,87,14,117
20,232,17,17,21,99,76,88,14,118
19,232,16,17,21,99,75,87,15,117
20,232,16,17,20,98,75,88,14,117
19,232,17,17,21,99,75,88,14,118
20,232,17,18,20,100,75,88,15,117
19,232,17,17,20,99,74,87,14,117
20,231,16,17,20,99,75,87,14,117
20,231,16,17,20,99,75,87,15,117
20,231,16,17,20,99,74,87,14,118
20,233,16,18,20,99,75,87,14,117
20,232,16,18,20,100,75,88,15,117
20,232,17,17,21,99,75,88,14,117
20,231,16,17,20,99,75,88,14,117
20,232,16,18,20,100,75,88,15,118
20,231,16,17,20,99,74,88,14,117
20,232,17,17,21,99,75,87,12,117
20,232,16,17,20,99,74,88,13,117
19,231,16,17,20,98,75,87,14,117
20,231,16,18,20,99,75,87,15,117
20,231,16,17,20,99,75,88,15,117
20,232,17,17,20,99,74,87,14,118
20,232,17,17,21,99,76,87,15,117
19,232,17,17,20,99,75,87,14,118
20,232,16,18,21,99,75,88,14,114
19,232,17,17,21,99,76,88,13,117
20,232,17,18,20,99,75,88,14,117
20,231,16,18,20,98,74,87,15,117
20,231,16,17,20,99,74,88,15,116
20,232,17,17,20,99,75,87,14,118
20,232,17,17,20,99,75,89,14,117
20,232,17,17,21,99,75,88,15,118
19,231,16,18,19,98,74,87,15,117
19,230,16,17,20,98,75,87,14,118
20,231,16,18,20,99,75,88,15,117
20,232,17,17,21,99,75,87,14,117
20,231,16,16,20,99,75,88,15,117
20,231,16,17,20,99,74,87,14,118
19,231,17,17,20,98,75,87,15,117
20,232,16,17,20,98,75,87,14,117
20,231,16,17,20,99,74,88,15,117
20,232,17,18,20,99,75,88,15,116
19,231,16,17,20,99,75,88,14,117
20,231,16,17,20,99,75,88,14,118
