MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
18,250,24,16,22,100,128,94,19,188
19,250,25,18,22,100,126,93,19,188
18,249,24,16,22,100,127,93,20,188
18,248,24,16,22,100,127,94,19,187
19,250,24,16,22,101,128,93,19,187
20,250,25,16,22,102,127,94,19,186
18,250,24,16,22,101,128,93,20,187
18,250,25,17,22,101,126,94,19,186
18,250,25,16,22,101,128,93,20,188
19,251,26,16,22,101,128,94,18,188
17,250,25,16,23,100,128,94,20,187
19,250,24,16,22,101,126,94,18,188
18,250,24,16,22,101,127,93,19,187
19,250,26,16,22,101,126,93,19,186
18,250,25,16,22,101,127,93,19,187
18,250,24,16,22,100,127,93,19,187
19,249,25,16,22,101,128,94,18,188
18,251,24,16,21,100,126,93,19,186
19,250,26,16,22,100,126,90,19,186
18,250,25,16,22,100,128,93,20,187
19,250,24,18,23,101,126,93,19,187
19,251,25,16,23,101,126,94,19,187
18,250,25,17,22,100,126,93,19,187
19,251,25,17,23,101,128,93,19,187
20,250,26,17,22,101,126,94,19,187
18,250,25,16,23,101,127,93,19,186
18,249,25,16,23,100,127,94,18,187
19,250,26,16,23,101,128,93,18,187
19,251,25,16,23,101,128,94,20,187
19,250,25,16,23,102,126,93,19,186
18,250,25,16,23,101,128,94,19,187
18,251,25,17,22,101,126,93,20,186
18,250,25,16,23,101,126,93,19,185
19,250,25,16,23,102,127,94,19,187
16,250,26,16,24,101,127,94,19,187
18,250,25,16,24,101,127,94,18,188
18,250,25,16,23,100,127,93,20,187
20,250,26,18,23,101,127,94,19,186
19,249,27,16,22,100,126,94,18,186
19,250,26,16,23,101,126,94,19,187
19,250,26,15,23,100,126,95,19,187
18,250,25,17,23,100,126,93,16,187
19,250,25,17,24,102,126,94,19,187
19,249,26,16,24,101,125,94,18,186
19,250,25,16,23,101,126,93,18,187
19,250,25,17,23,101,125,93,19,186
19,250,26,14,24,100,125,94,18,187
18,250,25,16,23,100,126,93,20,187
20,249,26,16,22,101,125,94,19,186
19,250,26,16,23,101,126,94,19,187
18,250,26,16,23,100,126,93,18,187
19,250,25,17,23,101,124,93,19,186
20,249,26,17,24,101,126,94,19,187
19,250,27,16,24,100,125,93,18,187
18,250,25,16,24,101,126,93,19,187
19,249,26,16,23,100,125,93,19,187
19,250,25,16,23,100,125,93,19,187
19,250,25,16,23,100,126,94,19,187
19,250,26,16,23,101,126,93,19,186
19,249,26,16,24,101,125,93,18,186
19,250,26,16,24,101,126,94,19,187
19,250,25,16,23,100,125,93,18,185
18,249,25,16,24,101,125,93,19,186
18,250,26,16,23,101,126,93,18,187
18,249,25,16,23,101,126,93,20,187
19,250,25,18,24,101,126,94,19,187
19,249,25,16,24,101,125,94,18,186
19,250,27,19,24,101,126,94,19,187
19,250,25,17,23,100,125,93,17,186
19,249,26,16,24,101,126,94,18,187
19,250,26,17,23,101,125,93,18,186
18,250,25,15,23,100,124,93,19,186
19,249,26,17,24,101,126,93,19,186
19,249,25,17,24,100,125,93,18,186
18,248,25,16,24,100,124,93,19,185
17,248,26,16,24,100,124,93,18,187
18,247,25,16,24,100,124,93,19,182
18,247,26,16,24,100,124,93,19,186
19,248,26,16,24,99,122,93,17,185
19,248,26,16,24,99,124,93,17,185
19,248,26,16,24,100,124,93,18,185
18,249,25,16,25,100,124,92,19,185
19,248,26,17,24,100,124,93,18,185
18,248,26,16,24,100,125,93,19,186
19,248,25,16,24,100,124,92,18,185
19,248,26,16,24,101,124,93,18,185
19,247,25,16,22,100,123,92,18,185
18,247,26,16,24,100,125,93,20,185
18,248,25,17,24,100,123,92,18,184
18,248,26,17,24,99,124,93,18,186
19,248,26,16,24,99,123,93,18,185
19,248,27,16,24,99,124,93,18,185
19,246,26,16,24,100,123,93,18,185
18,247,25,16,23,100,124,92,19,185
18,248,26,16,24,100,124,93,18,186
19,247,26,16,24,100,124,93,18,187
18,247,25,15,24,99,124,93,19,185
20,247,26,17,25,100,124,93,19,184
19,247,26,16,24,100,124,93,19,185
18,247,25,16,24,99,124,92,19,184
18,247,25,16,23,100,124,93,19,185
18,247,26,17,25,101,124,93,19,184
19,247,26,16,25,100,124,92,18,184
19,248,26,16,25,100,124,92,18,185
19,248,25,17,23,100,124,93,20,184
19,248,26,17,24,100,123,93,18,184
19,247,26,16,24,99,123,93,18,185
18,248,25,16,25,100,124,92,20,185
19,247,26,16,24,100,123,92,18,184
19,247,26,17,24,100,123,92,17,184
19,247,26,17,24,100,123,93,19,184
18,248,26,16,23,99,123,93,18,185
18,247,25,16,23,100,124,92,19,184
19,247,26,16,25,100,123,93,18,184
19,248,27,17,24,100,123,93,19,185
18,247,26,16,24,100,124,92,18,185
18,247,25,16,24,100,124,92,18,185
17,246,25,16,23,99,124,93,18,186
19,247,26,16,24,100,123,93,18,185
19,246,26,16,24,100,123,93,19,185
18,247,25,16,25,99,124,93,19,184
18,249,26,16,24,100,123,93,18,184
18,247,25,16,25,99,124,93,19,185
19,247,26,17,25,100,123,93,18,184
18,248,27,16,25,100,124,93,18,184
18,248,26,16,24,99,123,92,19,185
19,247,25,15,24,99,123,92,18,184
20,247,26,16,24,100,122,92,19,183
18,247,25,18,25,100,122,92,18,184
18,247,25,16,24,100,122,92,18,183
18,247,25,16,24,99,122,91,18,183
18,246,26,16,24,100,122,92,17,183
19,246,26,16,24,99,122,92,18,184
18,247,25,16,25,99,124,92,18,184
18,247,26,16,25,99,124,93,18,185
19,247,26,16,24,100,123,93,19,183
18,246,25,16,23,99,123,92,19,183
18,246,25,17,24,100,123,92,19,184
18,247,25,16,23,100,123,92,20,184
19,246,26,16,24,98,122,92,17,184
18,247,25,16,25,100,124,93,18,184
20,247,26,16,24,100,123,92,18,184
19,247,26,16,23,99,124,92,18,184
18,247,25,16,23,99,124,92,19,184
18,247,25,16,23,99,123,92,19,183
18,247,25,16,23,100,120,92,18,183
19,247,25,15,24,99,121,92,19,183
18,246,25,16,22,100,123,92,18,184
19,247,26,16,24,99,123,92,18,184
19,247,26,17,24,100,123,93,19,184
19,248,25,16,23,99,121,92,18,184
18,246,25,16,23,99,122,92,18,184
17,247,25,16,23,100,122,91,18,183
18,247,26,16,22,100,122,92,18,183
19,246,25,16,24,99,122,93,19,184
18,246,24,16,23,98,122,92,18,183
19,247,25,17,23,100,122,91,18,183
18,246,25,16,23,99,122,91,18,183
18,246,25,16,23,99,121,92,19,183
19,247,25,17,23,99,121,92,17,184
19,246,25,17,23,100,122,93,19,184
18,247,24,16,22,100,122,93,19,183
18,246,25,16,22,100,121,92,19,184
18,247,25,16,23,99,122,92,19,188
18,247,25,16,23,100,121,91,19,182
18,246,26,16,24,100,123,92,18,185
19,246,25,16,23,100,122,92,18,183
19,246,25,16,23,100,122,92,18,183
18,246,24,16,22,99,121,92,18,183
19,246,26,16,23,100,122,92,19,183
19,246,24,16,22,100,122,92,18,183
19,246,25,16,22,99,121,92,18,183
19,246,24,16,22,99,122,92,18,183
23,246,25,16,23,98,121,91,18,182
20,246,25,17,22,99,122,93,18,183
19,246,26,17,23,99,122,92,18,183
18,246,24,16,23,99,123,92,19,184
18,246,25,16,22,99,122,93,18,183
18,247,25,16,23,99,122,92,18,183
20,246,25,16,21,100,121,92,19,183
19,246,24,16,22,99,121,92,18,183
