MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,209,20,16,18,93,57,85,14,126
17,208,19,16,18,92,56,84,13,126
17,207,19,16,17,92,56,83,13,126
18,208,20,16,18,93,57,83,13,127
18,208,20,15,18,93,56,83,13,127
18,208,19,16,17,93,56,84,14,127
18,210,20,16,17,93,56,84,13,126
17,208,20,16,17,92,55,84,13,126
18,209,20,16,17,94,57,84,14,127
17,208,19,16,17,92,56,83,13,127
18,207,19,15,18,93,56,83,12,126
18,208,20,16,18,93,57,84,14,126
18,208,20,16,17,93,57,84,13,126
19,208,20,16,17,93,56,84,13,126
18,209,21,15,18,92,56,83,13,126
18,208,19,15,17,93,56,84,14,127
18,209,20,17,18,93,57,84,14,127
17,209,20,16,17,93,56,84,13,126
17,208,21,15,18,92,57,83,14,126
18,209,19,16,17,93,57,84,14,126
18,208,19,17,17,92,56,83,13,126
19,209,21,16,18,93,56,84,13,126
18,209,20,17,17,93,56,83,14,126
17,208,20,16,17,93,56,84,13,126
18,208,20,17,17,95,57,84,14,128
19,209,20,16,17,93,57,83,13,127
19,209,20,16,17,93,57,85,14,126
18,208,20,16,18,93,56,84,13,126
18,208,20,15,17,93,57,84,14,126
18,209,20,17,17,93,56,84,14,127
18,208,20,16,17,93,56,84,14,126
17,210,20,16,18,93,57,84,14,128
18,208,20,16,17,93,55,84,14,126
18,208,20,16,17,95,56,83,13,126
18,209,20,16,17,93,56,84,14,125
17,210,20,16,17,93,57,84,15,126
17,208,20,16,18,93,56,84,13,126
19,209,20,16,17,94,57,85,14,127
19,209,20,16,17,93,56,84,13,126
18,209,20,16,17,93,56,84,13,127
18,209,21,16,17,93,57,84,13,126
18,208,20,16,18,93,56,84,13,126
18,208,20,16,17,93,56,84,13,127
18,209,20,16,17,94,57,85,14,127
19,210,21,17,17,93,57,84,13,126
18,209,21,16,18,94,57,85,14,126
18,209,20,17,17,93,57,84,14,126
19,210,19,16,18,92,57,84,14,127
18,209,20,16,18,93,56,83,13,128
19,210,20,17,17,93,57,84,13,126
17,209,19,16,16,93,56,84,14,127
17,209,20,16,17,93,57,83,14,127
18,209,20,16,17,94,56,84,14,127
18,209,19,16,18,93,56,84,14,128
18,209,21,16,17,93,56,84,14,126
18,210,19,16,17,93,57,84,14,125
17,209,20,16,17,93,56,84,13,126
17,208,20,16,18,92,56,83,10,125
17,209,20,16,18,93,57,84,14,127
17,209,20,16,18,93,56,84,13,127
18,208,19,16,19,93,56,84,13,128
18,209,24,17,18,93,57,84,14,127
18,209,20,17,18,94,57,84,15,127
18,209,20,16,17,92,57,84,14,127
18,210,21,17,17,93,57,83,13,126
18,209,20,16,17,93,56,84,14,128
18,209,20,16,17,93,57,84,13,126
18,209,20,16,17,93,56,84,13,126
18,209,20,16,17,94,56,83,13,127
18,210,20,16,18,93,57,84,13,126
18,209,19,16,17,93,56,84,14,127
18,209,20,16,18,92,57,84,13,126
18,209,20,17,18,93,56,85,13,127
17,209,20,16,17,93,57,84,14,127
18,209,20,16,18,93,55,84,14,126
18,208,20,17,17,93,56,84,13,127
18,209,20,16,17,93,56,84,13,127
18,209,20,17,17,93,57,84,15,126
18,209,20,16,18,92,56,84,13,128
18,209,20,16,17,93,56,84,13,126
18,210,20,16,17,93,56,84,14,126
18,209,19,16,18,93,57,84,13,124
18,208,20,16,17,93,57,84,13,128
18,208,20,16,17,93,57,84,14,126
19,208,21,17,17,93,57,85,14,126
17,209,19,16,17,93,57,83,14,126
17,209,21,16,17,94,57,84,13,127
19,210,20,16,18,94,57,85,14,126
18,209,20,16,17,93,56,84,13,125
18,210,21,17,18,93,57,85,14,126
19,209,20,16,17,92,56,84,14,126
18,210,21,16,17,94,57,84,14,126
19,210,20,17,17,94,57,84,15,127
19,210,20,16,18,93,56,84,13,128
19,209,20,17,17,94,56,84,13,127
18,209,20,16,17,93,56,84,14,127
17,209,20,16,18,93,57,84,14,127
19,209,21,16,17,93,57,85,14,126
18,210,21,15,17,93,56,84,14,126
19,210,22,17,17,94,57,84,14,128
19,210,26,17,19,94,56,85,15,129
18,209,25,16,17,93,57,84,14,128
18,209,24,17,18,94,57,85,15,129
18,210,24,17,17,93,57,85,14,128
18,210,30,16,17,93,56,84,14,129
19,207,20,17,17,94,57,85,15,126
18,205,19,16,17,93,55,84,14,126
18,206,20,17,18,93,57,84,14,126
18,205,19,16,17,92,55,83,14,126
18,206,19,16,17,92,57,83,14,126
18,207,19,16,18,93,58,84,13,126
18,200,19,16,18,92,55,84,13,125
19,202,20,16,18,92,56,83,13,125
20,200,20,16,18,94,56,84,14,125
18,200,18,16,18,92,56,83,14,124
20,201,19,17,17,93,56,84,15,125
19,201,19,16,17,93,55,84,14,125
19,201,18,16,18,93,56,84,14,125
18,201,19,16,18,92,55,83,15,124
18,200,18,15,18,92,56,84,14,125
19,200,17,16,18,93,55,83,13,125
18,201,18,17,18,93,55,83,14,125
18,200,18,16,18,92,56,84,12,124
20,201,18,14,17,93,55,84,14,125
20,201,18,17,18,93,56,84,14,125
18,201,19,16,18,92,55,84,14,125
17,200,19,16,18,93,56,83,13,125
18,200,19,16,18,93,55,83,14,125
