MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,219,15,15,18,93,73,86,12,130
21,220,16,15,18,94,73,85,14,130
20,220,16,15,17,94,72,85,13,129
21,220,16,16,18,96,74,85,13,129
20,220,16,16,18,95,73,86,12,130
20,220,15,16,18,94,73,85,14,130
21,219,16,16,17,95,73,86,13,130
21,220,15,16,18,95,73,86,13,130
20,219,15,16,17,95,73,86,13,129
20,219,16,16,17,94,73,85,13,129
20,219,14,16,18,95,73,85,13,128
20,219,15,16,17,94,73,86,13,130
20,219,15,17,17,95,73,86,13,129
20,219,16,16,18,94,73,85,14,130
21,220,16,16,18,95,73,86,14,129
20,218,15,16,17,94,72,84,13,129
20,219,15,16,17,95,73,85,14,129
19,219,15,16,21,94,73,85,14,129
20,218,15,15,18,94,72,85,13,129
19,219,15,16,19,94,73,85,13,129
20,220,16,16,17,94,74,85,13,130
20,218,15,15,17,94,73,86,12,128
18,219,15,16,18,95,72,85,12,130
19,218,15,16,18,92,73,85,13,130
20,219,15,16,18,95,73,86,13,129
21,219,15,16,18,95,74,86,13,129
20,218,15,16,17,94,73,85,13,129
20,219,15,16,18,94,72,85,13,129
21,218,15,16,17,94,72,85,12,129
20,218,15,16,18,95,72,86,13,130
20,219,14,12,17,95,72,86,12,129
20,219,15,16,17,94,73,85,14,129
20,218,15,16,17,94,73,85,13,128
20,219,15,16,18,95,74,85,13,129
19,219,15,16,17,94,74,85,13,130
20,219,15,14,18,94,73,86,13,130
19,218,14,16,17,96,73,85,12,129
20,220,15,15,18,95,72,86,14,129
19,219,15,16,17,94,72,86,13,129
21,219,14,16,18,93,72,84,13,130
19,218,15,16,17,95,72,85,13,130
19,218,15,16,18,94,74,86,13,129
20,219,15,17,18,94,72,86,13,129
20,218,15,16,17,94,72,86,13,128
20,218,15,15,17,94,73,85,13,130
19,218,15,16,18,94,72,86,13,129
20,219,15,16,17,94,73,86,14,130
20,219,15,16,18,95,72,85,13,129
20,219,15,15,18,95,73,86,13,129
20,219,15,16,17,95,72,86,14,129
19,218,15,16,18,94,73,86,12,130
19,218,15,15,17,93,72,85,13,130
20,219,16,15,18,95,73,85,12,130
20,219,15,16,18,94,72,85,13,129
20,219,15,16,18,95,73,85,13,129
21,219,16,16,17,94,73,86,13,129
20,220,15,15,18,94,73,86,14,130
20,219,15,17,18,94,73,86,13,129
20,219,15,15,17,94,71,86,13,129
19,219,13,15,18,94,72,85,13,129
19,218,15,16,17,94,74,85,12,130
20,218,14,15,18,94,73,86,14,130
20,219,14,16,17,95,72,86,13,130
21,219,15,16,18,95,73,85,14,130
19,219,15,15,18,94,73,85,13,130
20,218,15,16,17,95,73,86,12,129
20,219,15,16,17,95,74,85,13,129
20,219,14,15,18,94,73,85,13,130
19,220,15,16,18,94,73,86,13,129
19,218,15,16,17,94,73,86,12,130
20,218,15,15,18,94,73,86,13,130
19,218,15,16,18,94,72,85,12,129
20,219,15,16,17,94,73,85,14,129
20,219,16,16,17,95,73,87,13,129
20,218,14,16,19,94,72,85,13,129
20,218,15,15,17,94,73,85,14,129
20,218,15,16,17,95,72,85,14,129
20,218,14,16,17,94,72,85,13,129
20,219,15,16,17,94,73,85,14,129
20,218,15,15,18,94,71,85,13,129
20,219,16,16,17,95,73,85,13,129
21,219,15,15,18,94,73,85,13,129
19,217,14,16,17,95,72,86,13,129
20,219,16,16,17,95,73,86,14,129
20,218,15,16,18,94,72,85,14,129
19,218,14,15,18,94,72,86,13,129
20,219,16,16,17,95,74,86,14,129
20,219,15,16,17,95,74,86,12,129
20,218,14,16,18,94,72,85,14,129
20,218,15,16,16,96,73,85,13,128
20,220,15,16,18,94,74,85,13,133
20,218,15,16,17,95,72,85,13,133
20,219,15,16,17,94,72,85,13,132
20,219,15,16,17,95,74,85,13,133
19,218,15,15,18,94,73,85,14,133
21,219,16,16,18,96,73,86,13,134
22,220,15,16,18,96,76,86,15,137
21,219,15,17,18,95,73,86,14,133
20,220,14,16,18,96,74,87,14,134
21,220,14,16,18,95,75,87,14,133
19,219,15,16,18,94,74,87,13,134
18,219,14,16,18,94,74,87,13,133
21,218,15,16,17,94,74,86,14,133
20,219,14,16,17,95,73,87,13,133
21,218,14,16,18,95,74,86,13,133
21,219,15,16,18,95,74,87,14,133
21,219,14,16,18,95,75,86,14,133
21,219,13,16,18,94,74,87,14,131
20,220,14,17,18,95,75,87,14,132
21,220,14,17,18,95,74,87,14,132
21,218,14,16,18,95,74,87,13,133
21,219,14,15,17,94,73,87,13,132
21,219,15,16,19,95,75,88,14,132
21,219,15,16,18,95,74,87,14,132
21,219,15,15,18,95,74,87,14,132
21,219,15,17,17,95,74,87,13,132
20,219,15,16,17,94,71,86,14,131
19,219,15,16,18,94,74,87,14,131
21,219,15,16,18,93,74,87,13,131
21,218,15,16,17,95,73,86,13,131
20,219,14,16,17,95,74,86,13,132
21,219,15,16,18,95,74,87,13,132
20,218,15,16,17,95,74,88,13,132
21,219,15,16,18,95,74,87,13,131
20,219,15,16,19,95,74,87,14,131
19,219,15,16,18,94,74,86,14,130
19,218,15,15,18,95,76,87,13,131
