MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
21,238,15,17,17,94,77,84,13,130
20,238,16,17,18,94,77,83,13,130
21,238,15,16,18,94,77,83,13,130
20,237,15,16,17,94,76,82,13,129
21,237,16,17,18,94,77,83,13,130
21,237,16,16,18,93,76,84,13,128
21,237,16,17,18,93,76,83,13,129
20,237,15,17,18,93,77,83,14,129
20,238,16,17,18,94,76,83,14,130
21,237,16,17,17,94,76,83,13,129
22,237,16,17,17,94,76,83,13,129
20,238,16,17,19,94,76,83,13,129
20,237,16,16,18,93,76,81,14,129
21,236,15,16,18,94,77,84,14,130
20,237,16,16,16,93,75,83,13,129
21,238,15,17,17,94,77,84,13,129
20,238,16,16,18,93,77,83,13,129
20,236,16,17,18,93,76,83,13,129
21,237,16,16,18,93,76,83,14,129
20,236,16,15,19,93,76,83,13,129
21,236,15,16,18,93,76,83,13,128
21,237,15,16,18,93,76,84,13,129
20,238,15,16,17,94,76,83,13,130
21,238,15,18,17,94,76,83,13,129
21,236,15,16,18,93,76,82,13,129
21,237,16,17,18,93,76,82,14,129
20,236,14,16,18,93,76,83,13,129
21,237,15,16,17,94,76,82,13,129
21,238,15,16,18,93,77,84,13,129
21,237,15,16,17,93,76,83,13,129
20,237,15,17,18,93,76,83,13,128
20,238,16,17,18,93,77,84,13,129
20,237,16,16,17,94,76,82,12,128
21,237,16,16,18,93,77,84,13,130
21,237,16,17,18,93,77,83,14,129
20,237,14,16,17,94,76,83,13,130
20,236,15,16,18,94,76,83,13,129
21,237,16,16,18,94,77,84,13,129
21,238,15,17,18,93,77,83,14,129
21,238,14,16,18,93,76,83,13,129
21,238,16,17,18,93,76,84,13,130
21,238,15,16,18,93,77,83,13,129
20,238,14,17,18,94,77,84,13,129
21,237,16,16,18,93,76,83,14,129
20,236,16,16,18,93,77,82,13,128
22,237,16,17,18,94,76,83,13,129
21,237,16,16,17,93,76,83,12,129
21,238,16,17,18,94,77,83,14,129
20,236,15,16,18,93,76,83,13,129
20,236,15,16,18,93,77,83,14,129
21,238,16,17,17,93,76,83,13,130
20,236,16,16,18,93,75,82,13,129
20,236,15,16,18,93,75,83,12,128
21,237,16,17,18,93,75,83,13,129
20,237,15,17,17,94,75,83,12,129
20,237,16,16,18,94,75,82,13,129
21,237,16,16,17,93,76,83,14,129
21,237,15,17,17,93,76,84,14,129
21,238,15,16,18,93,76,83,13,128
21,237,15,17,17,93,76,83,13,129
22,237,16,16,18,94,75,83,13,129
20,236,15,16,17,93,76,84,12,129
21,237,15,17,18,94,77,82,14,129
20,236,15,16,17,94,76,82,13,128
20,237,16,16,18,93,76,83,13,129
21,237,16,17,18,93,77,84,14,129
20,236,16,16,17,93,76,83,13,129
21,237,16,17,18,94,77,82,14,129
21,236,15,16,18,94,76,83,13,130
20,237,15,16,18,93,77,80,14,129
21,236,15,16,17,93,75,83,13,129
20,237,16,16,18,93,75,84,12,128
20,237,15,16,18,93,76,83,13,129
21,237,16,17,18,93,77,84,14,129
22,235,15,16,17,92,75,83,13,129
21,237,16,17,18,94,76,83,13,129
21,237,16,17,18,93,77,84,14,128
20,238,16,16,18,94,76,84,13,129
21,237,15,16,18,93,76,83,13,130
21,237,16,17,18,94,76,83,13,130
21,237,15,16,17,94,76,83,13,130
22,238,15,17,18,94,76,83,14,129
21,237,15,16,18,93,77,82,14,129
21,238,15,17,18,93,77,83,14,129
21,237,16,17,18,94,76,83,13,129
20,235,15,16,18,93,76,83,13,129
20,236,16,16,17,94,76,83,12,129
20,237,16,17,18,94,76,83,13,129
21,237,16,16,19,93,77,83,13,129
21,238,16,16,18,93,77,83,14,129
20,237,16,17,18,93,76,83,13,129
21,238,15,16,17,94,76,83,13,129
21,237,15,16,18,93,77,84,13,129
21,237,16,16,18,93,76,83,13,129
22,237,16,17,18,93,77,83,14,129
21,237,16,17,18,93,76,83,13,129
20,237,15,16,17,94,76,84,13,128
20,238,15,17,17,94,76,83,13,129
20,236,15,16,17,94,75,83,13,129
21,236,16,17,18,93,76,83,13,129
19,236,13,17,18,93,76,82,12,129
21,236,15,17,17,94,76,83,13,131
22,237,16,17,18,93,77,83,13,130
20,236,16,17,18,93,75,82,13,129
20,236,15,16,18,93,75,83,13,129
21,236,15,16,18,94,76,83,13,129
21,235,15,17,17,93,76,83,13,129
20,236,15,16,17,94,75,82,12,128
20,236,16,17,18,93,76,83,13,128
21,237,16,17,18,94,76,83,12,129
20,236,15,16,18,94,75,83,13,129
20,237,15,16,18,94,77,83,14,129
21,236,15,16,17,93,75,83,12,129
21,237,15,17,19,94,77,84,14,129
21,235,16,16,18,93,75,84,13,128
21,237,15,17,18,94,76,84,13,128
21,236,15,16,18,94,77,84,13,129
21,236,15,17,18,93,75,83,13,128
21,237,15,16,17,94,75,83,14,128
21,236,15,16,17,94,77,84,13,128
21,238,16,17,18,93,77,83,14,128
21,237,15,17,18,94,76,83,13,129
21,237,17,16,18,94,76,84,14,129
20,236,16,16,18,93,76,84,14,129
21,238,16,16,18,93,76,83,14,128
21,237,16,16,18,94,76,83,13,128
19,235,16,16,18,93,75,82,14,128
21,236,16,16,18,93,76,83,13,128
21,237,16,16,18,95,77,83,14,129
20,235,15,16,17,94,75,83,13,128
20,235,16,16,17,94,76,83,13,128
20,236,15,16,18,93,76,83,13,128
21,237,16,16,19,94,77,83,13,128
20,236,16,16,18,94,76,83,13,128
21,236,15,16,17,94,75,84,13,128
21,236,15,16,18,93,76,83,13,129
20,235,15,16,18,95,76,83,13,128
20,237,17,17,18,95,77,84,13,129
21,237,16,17,18,95,76,84,13,128
20,236,16,16,18,94,76,83,12,128
21,236,15,16,17,95,76,82,14,128
21,236,16,17,18,94,79,83,14,128
20,236,16,17,17,94,75,83,13,129
22,236,16,16,17,94,76,83,13,128
21,236,16,17,18,95,77,83,13,128
21,237,16,17,18,95,77,83,14,129
21,236,16,16,17,94,76,83,13,128
21,236,16,16,18,94,76,83,13,128
20,236,16,16,17,94,75,83,13,128
21,236,15,16,18,95,76,83,13,129
21,236,16,17,18,95,77,84,13,128
20,237,16,16,19,95,76,83,13,128
20,234,16,16,17,94,75,83,13,128
21,237,16,17,18,95,77,83,14,129
20,236,16,16,18,94,76,83,13,128
21,236,16,16,18,95,75,83,12,128
20,236,16,16,17,95,76,84,13,128
21,236,16,16,17,95,76,83,13,128
20,237,17,16,17,95,76,84,13,129
21,238,16,17,18,95,76,83,13,129
21,237,16,17,18,94,76,82,13,129
21,237,16,16,18,95,75,83,13,128
21,237,16,17,18,94,77,84,14,129
21,236,16,16,18,95,76,84,14,128
20,235,16,16,17,95,75,84,13,129
21,236,15,16,18,95,75,83,12,128
21,237,16,17,19,96,76,84,14,128
20,236,15,16,18,95,76,83,12,128
20,236,16,16,18,95,76,83,13,129
20,236,16,16,18,95,76,83,13,128
20,235,16,16,18,95,76,83,12,129
20,236,16,16,18,94,75,83,13,129
22,237,16,17,20,95,76,83,13,129
20,237,17,17,18,95,76,84,13,129
20,236,16,16,18,95,76,84,13,129
21,236,16,17,17,96,76,83,13,129
20,236,16,16,19,95,76,84,14,129
20,235,15,17,17,95,75,82,13,128
20,235,16,16,17,95,76,83,14,128
21,236,16,16,19,95,75,83,13,128
21,237,17,17,18,95,76,83,13,128
21,236,16,16,18,94,75,84,13,128
21,236,17,16,18,95,76,83,13,128
21,236,17,16,18,95,76,84,14,128
20,236,16,16,18,96,77,84,14,130
21,236,16,16,18,95,76,83,13,129
21,236,16,16,18,95,75,83,14,129
21,235,16,15,18,95,76,83,13,133
21,237,16,16,19,95,76,83,14,141
21,236,17,17,18,96,76,83,12,145
20,235,17,17,17,96,76,83,14,145
21,236,16,16,18,96,76,84,13,145
21,236,17,16,18,95,76,83,13,144
20,236,16,16,18,96,76,84,13,145
21,237,16,17,18,96,77,83,13,145
21,237,16,16,19,95,76,84,14,144
21,236,16,17,19,96,76,84,14,144
20,236,16,17,18,95,76,82,12,143
21,237,17,17,17,95,77,84,13,145
21,236,16,17,18,95,76,83,12,143
20,236,16,16,17,95,76,83,14,144
20,237,17,17,18,96,77,84,13,145
20,236,15,16,18,95,75,84,13,144
21,237,16,17,18,96,76,83,13,145
21,237,17,16,19,95,76,84,14,143
21,237,17,17,18,96,76,84,13,144
20,236,16,18,18,96,76,84,13,144
21,237,16,16,18,96,76,84,12,144
21,237,16,17,19,96,76,84,13,136
20,235,16,16,18,95,76,84,14,140
21,236,16,17,18,96,76,84,14,140
20,236,16,17,18,95,76,84,13,140
21,236,17,17,18,95,75,84,13,139
20,236,16,17,17,95,75,83,12,139
20,237,16,16,18,95,75,83,14,139
21,236,18,17,18,95,75,84,13,141
22,236,17,17,18,95,76,85,14,137
