MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
17,247,32,18,25,101,126,92,21,177
17,247,32,17,24,101,126,92,21,177
16,247,31,16,25,100,126,91,20,176
17,248,32,16,25,101,125,91,20,174
16,247,32,16,24,100,127,91,20,176
17,248,32,16,25,101,125,92,20,176
17,248,32,17,25,101,125,91,20,176
17,247,32,18,24,102,127,92,21,176
17,247,32,16,23,101,126,91,20,176
17,247,32,16,25,102,126,93,21,177
17,248,32,16,24,101,123,91,21,176
17,248,32,17,23,101,126,92,20,177
16,247,31,17,24,101,126,92,19,176
17,247,32,18,24,102,127,92,21,177
17,246,32,17,24,102,126,92,21,177
16,247,32,18,24,101,125,91,21,177
16,247,32,17,25,101,125,92,19,177
17,248,32,17,24,100,125,92,20,176
17,248,32,17,25,101,126,91,21,177
17,246,31,17,24,101,125,92,20,176
17,248,32,17,26,101,126,92,20,178
18,247,31,17,24,100,124,92,20,176
17,248,32,17,25,101,126,91,20,176
17,248,33,17,24,101,125,92,19,177
18,247,31,16,24,100,125,92,19,177
16,247,32,17,25,102,127,92,21,177
16,247,32,16,24,100,126,92,21,178
18,247,32,18,24,101,125,92,21,176
17,246,32,17,23,102,125,92,20,176
16,248,32,17,25,102,125,91,20,176
16,247,32,17,24,101,125,92,20,177
16,247,32,18,24,101,125,90,20,176
18,248,32,18,25,101,126,92,21,176
17,248,33,18,25,102,126,92,21,175
17,248,32,18,25,101,124,92,21,176
18,247,32,17,25,102,125,92,20,177
18,247,32,17,25,102,125,92,22,177
17,247,32,17,25,102,127,92,21,176
17,248,32,17,24,101,125,91,20,176
17,248,32,18,25,101,125,92,20,176
18,247,31,17,24,101,126,92,20,176
17,247,32,17,25,101,125,91,20,176
16,247,31,16,24,100,125,91,20,177
17,247,32,17,24,101,126,91,21,177
16,247,31,18,25,101,126,92,21,176
17,248,33,17,25,101,125,91,20,176
17,247,32,18,24,102,126,92,21,176
17,247,31,17,25,101,126,92,21,177
16,247,32,17,24,100,126,91,20,177
16,247,32,17,24,98,125,91,21,176
17,248,33,18,24,101,126,92,22,177
17,246,32,16,24,101,125,92,20,177
17,247,32,17,24,100,126,91,22,177
18,247,31,17,24,101,125,92,20,176
17,248,32,17,25,101,126,92,20,176
16,247,32,17,25,102,126,92,20,177
17,247,31,16,24,100,126,91,21,176
17,246,31,17,24,101,126,92,21,176
17,248,32,18,25,101,126,92,20,176
16,247,31,17,24,101,125,92,21,176
17,247,32,17,25,101,125,91,20,176
17,247,32,16,24,101,126,92,21,177
18,246,31,16,24,101,125,92,20,177
17,247,32,17,25,101,124,92,20,176
17,247,32,18,25,101,126,92,22,176
18,247,33,17,25,102,125,92,23,176
17,247,31,16,23,101,126,92,21,176
17,248,32,16,24,102,125,92,21,176
16,247,31,17,24,102,126,92,20,177
16,247,32,17,25,102,126,92,21,176
17,248,32,17,24,102,126,92,21,177
16,247,31,16,24,100,125,93,20,177
16,247,31,18,24,101,126,92,21,176
17,247,32,18,25,102,126,92,22,176
16,247,32,17,24,102,127,93,21,178
17,247,32,17,24,101,126,92,21,178
17,248,32,17,22,101,125,92,20,177
16,247,32,17,24,101,125,92,21,176
17,247,32,17,25,101,128,91,21,177
18,247,32,17,24,102,125,92,21,176
17,247,32,18,25,102,125,92,20,176
16,247,32,17,24,101,127,91,21,177
17,245,32,17,24,102,125,91,21,176
17,248,32,17,25,102,129,91,21,176
16,247,32,17,25,100,124,92,20,176
16,246,31,17,24,100,126,92,21,177
16,247,31,13,25,100,126,91,21,176
16,248,32,17,25,102,125,92,21,176
16,247,31,17,24,101,127,92,21,177
17,247,31,18,25,101,126,92,21,176
16,247,31,17,25,101,126,91,20,177
18,247,32,17,24,102,126,92,21,177
17,248,33,17,25,101,126,92,20,177
17,247,32,17,25,102,127,92,21,177
17,247,32,16,24,101,125,92,20,176
17,247,31,16,24,100,126,92,20,177
17,247,31,17,24,101,126,92,20,177
17,247,32,17,24,102,126,92,20,176
17,247,32,16,25,101,126,93,20,176
17,247,32,17,24,102,126,92,21,176
17,247,32,16,24,101,126,92,21,177
16,247,32,17,24,101,125,91,20,176
18,247,32,17,25,101,125,92,20,178
17,247,33,18,25,101,126,92,17,176
17,247,32,17,25,101,126,91,21,176
17,247,33,17,25,101,126,92,21,177
16,248,32,16,24,101,126,91,20,176
17,247,32,17,25,101,126,93,21,177
17,246,32,16,24,100,125,92,20,177
17,248,32,17,25,101,125,91,20,176
17,247,31,17,24,101,124,91,20,176
17,247,32,17,26,101,126,92,20,176
16,247,32,16,24,101,125,92,20,177
16,247,32,16,24,101,123,92,20,176
17,247,32,17,25,101,126,93,21,177
17,248,32,18,25,102,125,92,20,176
17,247,31,18,24,101,125,92,21,176
16,246,32,17,24,101,126,92,20,177
17,247,32,17,24,101,126,92,21,176
17,248,31,16,23,101,125,92,21,176
16,248,31,16,24,101,125,92,21,176
16,247,32,18,24,101,127,91,20,177
17,247,32,17,25,100,127,92,22,176
18,247,32,17,24,102,126,92,21,177
17,247,32,18,25,102,126,92,21,176
17,246,32,17,26,101,127,92,21,177
17,247,32,17,25,102,125,92,20,176
16,247,32,17,25,101,126,92,21,177
16,248,32,17,25,101,124,91,21,176
17,247,32,17,25,101,124,92,20,175
18,247,32,17,24,100,125,91,20,176
17,247,32,17,24,101,126,92,20,176
17,247,32,18,25,101,127,91,21,177
16,247,32,17,24,101,126,92,20,176
17,247,31,17,24,100,125,91,20,177
17,246,31,17,24,100,123,90,20,176
17,247,31,17,24,100,125,91,21,177
17,247,32,17,24,102,125,92,20,176
17,248,32,17,25,102,125,92,21,177
18,248,33,17,25,101,126,91,21,176
17,247,31,17,25,101,126,92,20,176
18,247,32,17,24,101,126,92,21,177
17,248,32,17,25,101,127,92,21,177
17,248,32,17,25,101,128,92,20,177
17,247,31,17,24,102,126,92,21,177
17,247,32,17,24,101,126,92,20,177
17,248,32,16,24,100,125,92,19,176
17,247,32,17,24,101,126,91,19,176
17,247,32,17,24,100,125,92,20,177
17,247,32,17,24,101,127,92,21,176
17,248,32,18,25,102,126,92,21,177
17,248,32,17,25,101,126,92,21,177
17,247,32,18,24,101,126,91,21,177
17,247,32,17,24,101,128,93,21,177
18,247,31,17,24,101,125,93,21,176
16,247,32,16,26,101,126,92,21,178
17,248,32,18,25,101,126,91,20,176
18,248,32,17,24,102,125,92,21,176
17,248,32,17,25,101,125,92,20,176
16,248,32,18,25,102,125,92,21,176
17,247,31,17,24,101,125,92,21,176
