MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
14,212,18,15,39,85,64,73,15,120
15,213,20,16,40,84,65,74,15,120
15,213,19,14,41,85,64,74,16,120
14,213,20,15,40,84,65,74,16,120
15,213,19,14,39,85,64,73,15,121
15,214,19,15,40,85,64,75,16,121
14,214,19,15,40,85,65,74,16,120
15,213,20,14,41,84,64,75,16,121
14,212,19,15,39,85,65,74,16,121
14,212,19,14,40,85,65,74,15,121
14,215,19,14,40,84,64,73,16,120
15,214,20,15,40,85,65,74,15,120
15,214,19,16,40,85,65,73,16,120
15,212,20,15,40,86,65,73,16,121
14,212,19,15,41,85,64,73,16,121
14,213,20,15,40,85,65,74,16,120
15,213,18,15,40,85,64,74,16,120
14,214,19,14,39,85,66,74,15,121
14,213,19,15,41,85,65,74,16,120
15,212,20,15,40,85,65,74,16,119
15,213,18,15,40,85,64,74,15,120
14,211,17,14,39,85,64,73,15,120
16,212,20,15,40,85,64,74,16,120
15,212,18,14,38,85,64,73,15,120
15,212,19,15,39,84,64,73,15,120
15,211,20,13,38,84,64,73,16,119
14,214,19,15,40,85,65,74,16,121
14,213,19,15,40,84,64,73,16,120
14,212,19,14,40,83,65,74,16,119
14,213,20,15,40,85,65,74,15,120
14,213,19,15,39,85,64,74,16,120
15,212,19,16,40,84,64,74,15,120
15,213,19,15,40,85,65,74,16,120
14,214,19,15,40,84,65,74,16,120
15,214,19,15,41,85,66,74,14,120
14,213,19,15,39,84,64,73,16,120
15,212,21,14,40,85,65,74,16,120
14,212,19,15,39,85,65,74,16,120
15,213,20,16,40,85,65,74,16,120
14,213,19,14,39,84,64,73,16,119
15,213,21,15,40,85,64,75,17,121
14,212,19,14,39,83,63,74,15,121
15,213,19,15,39,85,64,74,15,120
15,213,19,15,41,83,65,74,16,120
15,213,20,15,40,85,65,75,16,120
14,214,20,15,40,85,65,74,16,120
13,213,19,15,39,84,65,74,16,119
14,212,20,14,39,85,64,73,15,120
15,213,19,15,39,84,64,73,14,119
13,211,19,15,39,84,63,73,15,120
15,212,19,14,40,85,63,73,14,120
15,213,19,15,39,85,65,74,16,120
15,213,18,15,40,85,65,74,16,124
15,213,19,15,39,84,65,74,16,121
15,212,19,14,39,84,65,74,15,120
14,212,18,16,40,84,65,74,14,120
14,212,19,14,40,84,64,73,15,120
15,212,20,15,41,85,64,74,16,120
14,213,19,15,41,84,65,74,16,122
15,213,19,16,40,85,66,74,16,121
14,213,19,14,39,84,64,73,15,120
14,213,18,14,40,84,64,73,16,121
14,213,19,15,40,84,64,73,15,121
15,213,19,15,39,84,65,73,15,120
14,212,18,15,40,84,66,75,14,119
13,212,19,15,39,84,65,74,15,120
14,212,19,14,39,84,64,73,14,120
15,213,19,14,40,84,65,73,17,121
15,213,19,15,40,84,64,74,16,121
14,213,19,14,40,85,65,74,15,122
14,212,19,14,39,84,64,73,16,120
15,213,19,14,38,84,64,73,16,120
15,213,20,15,41,84,65,74,15,120
14,212,20,14,40,83,65,74,16,120
14,212,19,15,39,84,64,73,15,120
14,212,19,14,40,85,65,74,15,121
14,214,19,16,40,83,65,74,15,119
15,212,18,15,39,85,64,73,15,119
15,212,20,15,40,86,64,74,16,120
14,213,19,15,40,84,65,74,16,119
14,211,19,15,39,84,64,73,15,120
15,213,19,14,40,84,65,75,16,120
14,212,19,15,39,85,64,72,15,119
15,211,20,14,39,85,64,74,15,119
15,212,19,16,39,84,65,73,15,120
14,211,18,16,38,84,63,73,15,119
14,212,20,15,40,84,64,74,15,120
14,212,18,14,39,84,64,73,16,120
15,212,19,15,41,84,64,75,16,120
14,212,19,15,39,84,64,73,15,120
16,211,18,15,39,84,64,73,15,119
14,211,19,14,39,84,64,74,15,120
14,211,18,14,40,84,63,73,15,120
15,213,20,15,40,85,64,73,15,120
14,212,19,14,39,84,64,73,16,119
14,212,18,15,41,85,65,74,16,120
14,211,18,14,40,85,66,74,14,120
15,212,19,14,39,84,64,73,16,120
15,213,19,15,39,85,65,73,16,120
14,211,19,15,39,85,63,74,15,120
13,213,19,14,40,84,65,74,16,120
15,213,19,15,39,84,65,74,16,119
14,211,20,15,40,85,64,74,15,120
15,213,19,14,41,84,65,73,15,119
15,212,20,15,40,85,64,74,15,120
14,212,19,15,39,85,64,74,15,119
15,213,19,15,40,84,64,74,17,122
14,212,19,14,40,84,62,74,16,120
14,212,19,15,39,84,65,73,15,120
18,211,19,15,38,84,64,73,15,119
14,213,20,16,39,85,65,74,15,120
14,211,18,15,40,84,64,74,15,120
15,212,19,15,38,86,64,72,15,119
14,211,16,15,39,85,64,73,16,120
15,212,19,15,41,84,65,74,16,119
14,211,19,15,38,83,64,72,15,119
15,213,20,15,40,84,64,74,16,120
15,211,19,15,38,84,64,74,16,120
14,213,19,15,39,84,64,73,16,120
14,212,18,15,39,84,64,73,16,119
14,212,19,15,38,84,64,73,14,120
15,213,19,15,40,85,64,75,15,120
14,209,18,14,39,84,63,74,15,119
14,213,19,15,39,84,65,74,16,120
13,212,19,14,39,84,64,73,16,119
14,211,18,15,38,84,64,74,14,119
15,213,19,15,40,84,65,74,15,120
14,211,18,13,39,84,64,73,15,119
13,212,19,14,39,84,64,74,16,120
12,212,19,14,38,84,64,73,16,119
15,212,18,14,40,84,65,73,15,120
14,212,19,14,40,85,64,75,16,120
13,212,18,14,40,85,64,73,14,119
14,212,19,14,40,84,65,74,16,120
13,212,18,14,38,83,64,74,15,119
15,213,19,16,39,84,65,73,16,120
14,212,18,14,38,83,64,74,16,120
14,212,19,14,39,85,64,74,15,120
15,212,19,15,40,84,64,74,16,120
14,211,18,14,39,84,63,73,15,118
15,212,18,15,39,85,64,73,15,120
11,212,18,13,40,84,64,74,14,120
14,212,19,15,38,84,63,73,16,120
15,212,19,14,39,85,64,74,15,120
15,212,20,14,39,85,65,74,17,120
15,213,19,15,40,86,66,76,17,121
14,213,19,14,39,85,64,73,18,120
14,213,19,14,40,84,66,73,17,120
13,212,19,14,40,84,66,73,17,121
15,213,20,15,40,85,66,74,17,121
14,213,19,15,39,85,65,73,17,121
16,214,20,14,40,85,65,74,18,121
15,212,19,14,39,84,66,73,17,120
14,212,19,14,40,85,65,74,17,120
14,213,19,14,38,86,64,74,17,121
14,213,19,15,39,85,63,73,17,120
14,213,20,15,40,86,65,74,17,121
14,212,19,15,40,84,65,74,17,122
15,213,20,14,40,85,65,74,13,120
14,213,19,15,40,85,64,73,14,121
15,213,18,16,40,87,64,73,16,120
15,214,20,15,39,86,64,73,15,120
14,213,18,15,40,86,65,73,15,120
15,213,18,15,39,86,64,73,14,120
14,214,19,15,39,85,65,74,14,120
14,213,19,14,39,86,64,73,15,121
14,212,18,14,38,86,64,73,15,120
15,214,20,15,40,86,66,74,15,121
15,212,18,15,39,86,64,73,15,120
15,214,19,15,39,86,65,74,15,121
15,214,19,15,40,86,65,74,14,121
15,214,19,16,40,86,65,75,14,121
15,215,19,14,39,86,65,74,15,120
14,214,19,15,40,86,64,73,14,120
15,215,19,16,40,85,65,74,14,120
15,214,19,14,39,84,65,74,14,120
15,214,19,14,39,86,65,74,15,122
15,214,19,14,39,86,64,73,14,120
21,211,19,16,39,87,75,72,16,119
16,213,19,15,41,85,70,72,13,121
17,213,19,16,41,85,70,70,14,120
16,214,19,15,41,85,70,74,14,121
17,213,19,15,41,85,69,73,13,121
16,213,18,15,40,84,68,73,14,120
17,212,18,15,40,84,69,72,13,120
16,212,19,15,40,86,69,73,13,120
16,211,18,13,40,85,69,73,14,121
17,212,20,15,40,84,69,74,14,120
16,212,18,14,40,85,70,73,14,120
16,213,19,15,41,86,69,72,14,120
17,214,19,15,41,86,69,73,14,120
16,212,19,15,40,85,68,73,13,121
16,211,18,14,40,85,68,73,14,120
17,213,20,15,40,85,70,74,15,120
16,213,20,15,42,85,69,74,14,121
17,213,19,16,41,86,70,73,15,121
16,212,19,14,39,84,69,72,14,120
16,213,20,16,40,84,69,72,14,120
16,212,19,14,40,85,69,72,13,120
16,212,19,14,40,84,69,73,14,120
15,212,19,15,40,84,68,72,13,120
16,212,18,14,42,85,70,73,14,120
17,212,19,15,42,84,68,73,14,121
17,213,20,16,40,85,69,73,13,120
16,212,19,15,40,84,68,73,14,121
17,213,19,15,40,85,69,73,14,120
17,213,20,15,40,85,69,72,14,120
16,214,20,15,42,85,69,73,13,121
17,214,19,15,41,85,70,73,14,121
16,212,19,15,40,84,69,72,14,120
16,214,20,15,42,86,69,73,15,120
17,213,20,15,41,85,69,72,13,120
16,212,20,15,40,84,68,72,13,120
16,212,20,15,39,85,69,73,14,120
17,213,20,14,41,85,69,73,14,120
16,213,20,15,41,84,69,74,13,121
17,213,19,16,41,85,70,72,15,120
17,214,20,14,41,84,69,73,14,122
16,212,18,14,41,84,69,73,13,120
16,213,19,15,41,85,69,73,14,120
17,213,19,15,40,84,69,73,13,120
16,213,19,15,41,85,69,72,15,121
16,212,19,15,39,84,70,71,14,121
16,214,19,15,41,84,69,72,13,121
17,213,19,15,40,85,70,72,14,121
16,212,19,15,40,85,68,72,13,121
16,214,19,16,40,84,69,72,14,121
16,214,19,15,42,84,70,72,14,121
16,212,21,15,40,84,68,72,14,120
16,213,19,15,40,84,69,72,13,121
16,213,19,15,40,85,69,73,14,120
16,212,19,15,40,85,69,72,13,120
15,213,19,15,39,84,68,73,13,120
16,213,19,14,40,85,69,73,14,120
16,213,19,15,40,85,69,73,14,121
15,213,19,15,41,84,69,72,14,120
16,214,20,15,41,85,69,73,14,121
17,212,18,15,40,84,68,72,14,118
16,213,20,15,40,85,69,73,13,121
17,213,18,14,40,85,68,72,13,120
17,213,20,15,40,83,69,73,15,121
16,213,19,14,40,84,68,73,14,120
16,212,19,14,41,84,68,72,13,120
16,213,20,14,41,85,69,73,14,120
16,212,19,14,40,84,68,72,13,121
16,213,19,13,39,84,69,71,13,120
16,212,19,14,40,84,68,73,13,120
16,212,19,14,40,84,69,72,14,120
15,212,19,14,40,84,68,71,13,120
16,213,19,15,40,84,68,71,13,121
17,213,20,16,41,85,69,73,15,122
15,213,19,14,40,84,68,72,13,121
16,213,19,14,40,84,69,73,14,121
15,212,19,15,39,83,68,72,13,120
15,211,19,15,40,84,67,72,15,121
16,212,19,14,40,84,68,72,13,121
16,213,19,14,40,84,69,73,13,121
17,214,19,15,42,84,69,73,14,121
17,214,19,14,42,83,70,73,15,122
16,212,19,14,40,83,68,71,13,121
16,214,20,16,40,84,70,73,14,121
16,212,19,15,40,84,69,73,14,120
16,213,20,15,41,84,68,73,13,121
16,212,19,14,41,84,69,73,14,121
16,212,19,14,40,85,68,73,14,120
16,212,20,15,40,85,68,74,13,121
16,212,18,15,39,85,68,72,13,120
16,213,20,16,41,85,68,73,15,120
16,212,20,16,40,85,68,73,14,120
17,213,20,15,41,85,69,74,14,121
16,213,20,15,40,86,69,72,14,121
16,212,17,15,39,84,68,72,14,120
16,213,19,15,40,84,68,71,14,120
16,213,19,14,40,85,70,73,14,120
16,214,20,16,41,84,69,72,14,121
17,213,19,15,41,85,69,73,14,121
16,213,18,14,39,85,68,72,14,121
16,212,19,15,40,84,69,73,15,120
16,213,20,15,40,85,69,72,15,120
17,213,19,15,40,84,68,73,14,121
16,212,19,15,42,84,69,72,14,121
17,213,19,15,40,84,70,73,13,121
17,212,19,14,39,84,68,72,14,119
15,212,19,16,40,85,69,73,13,120
16,213,19,14,40,84,68,73,13,121
16,213,19,14,40,84,69,72,14,121
15,212,19,13,41,84,68,73,13,121
16,213,19,14,40,83,68,72,14,121
16,212,19,14,39,85,69,72,13,121
18,212,20,15,40,86,69,74,14,121
16,213,19,15,39,84,68,73,14,121
16,212,19,14,39,85,68,72,13,121
16,212,19,15,39,83,68,72,14,120
17,213,20,15,40,85,69,72,14,120
17,213,20,15,41,85,69,72,14,121
16,213,19,15,40,85,68,73,14,121
17,213,19,15,40,84,69,73,15,121
16,214,19,15,40,85,69,73,14,121
17,213,19,14,39,84,68,72,12,120
16,213,19,15,39,84,68,72,13,121
16,212,19,14,40,85,68,71,13,120
17,213,19,16,40,85,68,72,14,121
16,212,18,14,40,85,68,73,14,122
15,213,19,14,39,85,69,72,14,122
16,213,20,16,40,85,68,73,13,121
16,212,20,14,40,84,68,72,13,121
16,211,19,15,40,85,68,72,15,120
16,212,20,14,40,84,68,73,14,121
16,213,19,14,40,85,69,74,14,121
16,212,19,14,40,84,68,73,14,121
17,214,19,15,40,84,68,72,14,121
16,213,19,15,39,84,68,73,14,121
16,212,19,14,41,85,70,72,14,122
15,212,18,14,39,84,68,72,14,121
16,213,18,15,40,84,68,72,13,120
16,212,19,14,39,84,69,72,14,121
16,212,19,15,39,84,68,72,13,120
16,212,20,16,40,84,68,72,14,121
16,213,20,14,40,83,68,73,13,121
16,212,19,15,38,84,68,72,14,121
16,212,18,15,39,84,68,72,14,120
17,212,19,16,40,85,69,72,14,122
16,213,19,15,40,85,68,73,14,121
16,212,20,15,41,85,69,73,14,122
15,212,19,16,38,84,69,72,14,121
16,212,19,14,39,84,69,72,13,120
16,213,20,15,40,85,68,72,13,121
15,212,19,15,40,85,68,72,14,121
16,213,19,15,40,85,69,73,13,121
16,212,18,15,39,84,68,72,14,122
16,213,19,15,40,84,69,72,14,121
16,213,19,14,40,85,68,72,14,121
16,213,19,15,40,84,69,73,14,122
17,212,20,15,41,85,69,73,13,121
16,211,18,14,40,85,69,73,13,121
15,212,19,15,40,85,69,73,15,121
16,212,20,15,40,85,68,73,14,121
16,211,19,14,40,84,69,72,15,122
16,212,19,14,40,84,70,73,13,120
16,212,18,15,40,84,69,73,14,121
15,212,18,15,41,84,69,73,14,120
16,213,19,16,39,85,68,72,15,121
14,212,19,14,39,85,69,72,14,122
16,213,20,15,39,84,68,73,14,122
15,212,19,14,39,84,69,73,13,122
17,213,20,15,40,85,68,73,14,121
16,213,19,15,41,85,70,73,14,122
16,214,20,15,40,84,69,74,15,121
16,213,19,15,41,85,70,73,14,121
16,212,18,14,40,84,68,72,13,120
15,212,18,14,39,83,68,73,13,122
16,213,19,15,40,86,69,74,15,122
16,213,20,15,40,86,68,73,13,121
16,212,18,15,38,84,67,72,14,121
17,213,20,15,40,84,69,73,14,122
16,213,20,15,40,84,69,73,14,120
15,210,20,14,39,85,69,72,14,121
16,213,19,16,41,84,70,73,13,121
17,213,20,16,40,85,68,73,14,122
15,212,19,15,40,84,68,73,13,121
15,213,19,15,41,85,69,73,15,121
16,213,18,15,40,85,69,72,14,121
16,212,19,15,40,84,68,72,14,121
16,212,19,15,40,84,68,73,14,122
16,212,19,15,42,84,69,73,14,121
16,213,20,15,40,85,68,73,14,122
16,211,18,14,39,85,68,72,14,121
15,211,18,14,39,84,68,72,14,121
16,213,20,15,40,84,69,72,14,120
16,213,19,16,40,84,69,73,15,122
16,212,19,15,40,84,68,73,16,122
16,212,19,15,40,84,67,73,13,122
16,211,19,15,39,84,69,72,14,121
16,213,19,16,40,85,68,72,15,121
16,212,19,14,39,84,69,72,14,121
16,212,19,15,40,83,69,73,14,121
16,211,20,15,40,84,68,72,14,120
16,213,19,14,39,85,68,72,13,121
16,212,19,15,40,84,69,72,14,122
16,213,18,16,40,85,69,73,13,122
16,212,20,15,40,84,69,72,14,121
16,213,19,15,40,84,68,74,15,121
16,212,18,15,39,84,69,73,13,121
16,211,19,15,39,84,69,72,14,121
16,213,19,15,40,85,69,73,14,121
16,212,20,15,40,84,69,72,15,121
16,212,19,14,40,85,69,73,13,122
16,211,20,15,37,85,69,73,14,122
16,211,19,15,39,83,68,72,13,122
16,213,19,15,40,85,69,73,13,121
16,213,20,16,40,86,69,72,15,121
16,212,19,15,39,85,69,73,13,122
16,212,19,14,40,85,69,73,13,122
16,211,19,15,40,84,68,72,14,121
16,212,20,15,39,85,68,72,14,121
16,213,19,15,40,84,70,73,14,123
16,213,19,14,40,85,70,73,15,122
16,212,19,15,40,85,69,73,14,122
15,212,19,15,39,84,68,72,15,122
16,212,19,15,39,84,69,73,13,121
16,212,19,15,40,85,69,72,14,121
16,212,19,14,39,84,69,72,14,121
15,211,18,15,40,85,69,72,13,121
16,211,19,15,40,85,69,72,14,122
16,212,18,15,39,84,66,73,13,121
16,211,19,15,40,85,69,73,13,122
16,213,19,15,40,85,68,72,13,121
16,213,19,15,39,85,70,72,15,121
16,212,19,14,39,85,70,72,15,121
16,214,19,15,41,85,69,73,14,122
16,212,19,15,39,84,69,72,13,123
16,212,19,14,40,85,69,72,14,122
16,212,19,15,40,85,68,73,13,122
15,212,19,14,40,84,68,73,15,122
16,213,19,16,40,85,69,73,14,122
16,212,19,14,39,83,68,72,13,122
16,212,19,14,39,84,68,72,14,122
16,213,19,16,40,85,69,73,13,122
15,211,19,14,40,84,68,73,13,122
17,212,19,14,40,85,68,73,13,122
16,211,19,15,38,83,68,72,14,121
16,213,20,15,41,85,69,73,13,122
17,213,20,16,41,85,69,73,14,122
16,213,20,15,40,85,68,73,14,121
15,212,19,15,40,84,69,73,14,122
16,212,18,14,39,84,68,73,14,122
17,213,19,15,41,84,70,73,15,122
17,213,20,15,40,85,69,73,15,121
16,213,20,15,40,84,69,73,14,121
15,212,19,15,40,84,70,73,14,122
16,211,19,14,40,84,69,73,14,122
17,213,20,15,40,85,68,73,14,122
16,211,19,16,39,85,68,73,14,122
16,212,19,15,40,85,69,72,13,122
16,211,20,15,40,86,68,73,13,122
16,212,18,14,38,84,68,72,14,121
16,213,19,15,40,85,69,72,13,122
16,212,19,14,39,84,68,71,14,122
16,212,19,14,40,84,69,73,14,122
16,212,18,14,40,85,69,73,14,122
16,212,17,15,39,84,68,72,14,121
16,213,19,16,41,85,70,73,14,122
16,213,19,15,39,85,69,73,15,122
16,212,19,15,39,84,68,72,14,121
16,213,20,16,40,85,69,74,14,122
16,213,19,15,41,85,69,73,14,122
15,211,18,15,40,85,68,72,13,122
16,212,19,16,39,85,70,73,14,122
15,212,20,15,40,85,69,74,15,123
16,212,19,16,40,86,68,73,14,122
16,212,19,14,40,85,69,73,14,122
16,213,19,14,40,85,68,73,14,122
16,213,19,15,39,84,69,73,14,121
16,213,19,15,41,85,70,73,13,123
16,212,19,15,40,85,69,73,13,121
16,212,18,15,39,85,69,73,14,122
17,213,19,16,40,84,69,73,14,123
16,211,19,15,40,84,69,72,14,122
16,213,20,16,40,84,69,73,14,122
16,212,18,15,40,85,69,72,14,121
16,212,19,14,39,84,68,71,13,121
16,213,19,15,39,84,69,72,14,122
16,212,19,15,40,84,69,73,15,121
16,213,19,15,40,84,69,73,14,122
17,213,19,15,40,85,69,73,14,123
16,212,19,15,40,84,69,72,13,122
16,213,19,15,39,86,70,73,15,123
16,212,19,15,40,85,69,73,14,122
16,213,19,16,40,85,69,73,14,122
16,212,18,15,40,86,69,73,15,122
16,212,20,14,39,85,68,72,13,122
16,212,20,14,40,84,69,72,14,121
16,212,19,15,38,85,67,72,15,122
16,214,19,15,39,84,70,73,14,122
15,212,18,15,38,84,69,73,14,122
16,212,19,14,39,85,69,72,14,122
15,212,19,14,39,84,68,72,13,122
16,213,18,15,39,84,67,73,13,122
16,212,19,15,39,85,70,73,14,122
16,211,19,15,39,85,68,73,14,122
16,213,19,15,39,85,69,73,14,123
16,213,19,15,39,85,69,73,15,122
16,213,20,16,40,85,70,73,13,122
16,212,19,15,40,84,69,73,15,123
16,213,19,15,40,85,70,73,14,122
16,213,20,15,40,85,69,72,14,122
16,211,18,14,38,85,70,72,15,123
15,212,18,14,39,85,68,72,13,123
16,212,19,15,40,84,68,71,13,122
16,213,20,15,40,85,69,74,15,122
16,213,19,15,41,84,70,73,14,122
16,212,18,15,40,85,68,72,14,122
17,212,19,14,39,85,69,72,14,123
17,213,19,14,40,84,69,73,14,122
16,213,20,15,40,85,70,73,15,122
15,213,20,15,41,85,70,74,14,123
16,212,19,15,40,85,68,73,14,122
15,212,20,14,40,85,70,73,15,122
15,214,19,16,39,85,69,73,14,122
16,212,19,14,40,84,68,73,13,122
16,211,19,15,40,84,69,73,13,123
15,212,18,16,39,84,69,72,14,123
15,211,18,13,39,84,68,73,14,122
16,212,19,16,41,85,69,73,14,123
16,212,20,14,40,85,69,73,14,123
16,212,19,14,39,84,69,73,13,123
16,212,20,16,40,85,69,73,14,122
16,212,18,14,38,84,69,73,14,123
16,213,20,15,40,85,69,73,15,123
16,213,18,15,40,85,70,74,15,123
16,212,19,15,40,85,69,74,14,123
16,213,20,16,41,85,70,73,14,122
16,214,19,16,39,85,70,73,13,122
16,212,19,16,40,86,70,74,14,122
17,213,20,15,40,85,70,74,15,122
16,212,19,15,41,85,68,73,14,121
16,213,19,16,40,85,69,73,13,123
16,213,19,15,40,86,70,73,14,122
16,213,19,14,40,85,70,73,14,123
16,213,20,15,40,85,69,74,15,122
16,212,18,15,39,84,69,72,14,123
16,213,19,15,40,84,69,73,14,123
15,212,19,14,40,85,69,72,14,122
16,212,19,15,39,85,69,73,15,123
16,211,18,15,39,85,69,73,14,122
16,212,18,15,40,84,69,72,15,122
17,214,19,16,40,85,70,73,14,123
16,211,20,15,38,85,69,72,14,122
16,213,19,15,39,84,70,73,14,122
16,212,20,15,40,85,69,73,13,123
16,213,20,14,39,84,68,72,13,124
17,212,20,14,40,85,68,74,13,123
16,213,19,15,40,85,70,73,15,123
16,213,20,14,40,85,69,73,14,123
17,213,20,15,39,86,69,73,14,123
16,213,19,15,40,85,69,73,14,123
14,213,20,15,40,85,69,73,14,124
16,212,18,15,37,85,69,72,13,122
16,212,18,14,39,84,68,73,14,123
16,212,18,15,40,86,70,74,14,123
16,214,19,15,40,84,70,73,14,123
16,212,19,14,39,85,69,73,13,123
16,212,18,15,39,85,69,73,14,123
16,212,19,15,39,85,68,73,14,122
16,212,19,14,39,85,69,73,14,122
16,213,19,16,41,85,70,73,14,123
16,212,18,16,35,85,68,72,13,123
17,213,19,15,40,85,69,74,13,123
16,212,19,15,41,85,68,73,14,122
16,212,19,15,39,84,69,72,14,123
16,211,18,15,40,85,69,73,13,123
16,213,19,16,40,85,69,73,14,123
16,212,19,15,38,84,69,73,15,121
16,212,18,14,40,85,70,73,14,123
16,213,19,14,40,84,70,73,15,123
17,212,19,15,40,84,69,75,13,123
15,211,19,15,39,84,68,73,13,122
17,213,19,16,40,85,70,73,14,123
16,212,19,15,40,86,69,74,15,123
16,213,19,15,40,85,70,73,13,123
17,213,19,15,41,85,70,73,15,123
16,211,19,14,38,84,69,73,14,122
16,212,19,15,40,85,69,72,14,123
15,212,19,14,38,85,69,73,15,123
15,213,19,15,40,85,69,74,15,123
15,212,19,14,39,85,70,72,14,123
16,211,18,16,39,85,69,72,14,123
16,213,19,16,39,86,70,73,15,123
16,212,19,15,39,83,69,72,14,123
16,213,19,14,41,85,70,74,14,124
16,213,20,14,40,85,70,73,14,124
16,212,18,14,39,85,69,72,14,122
16,212,18,15,39,86,70,74,14,123
16,213,20,15,41,86,69,74,14,124
16,213,19,15,40,84,70,73,14,123
15,212,19,15,40,84,70,73,14,123
16,213,20,16,40,84,70,74,14,124
15,212,18,15,39,85,69,73,14,123
17,213,18,14,39,85,69,73,14,122
16,211,19,14,39,85,69,72,13,123
16,212,18,14,40,85,70,73,13,121
17,213,20,15,39,87,70,74,15,123
16,212,19,14,39,85,70,73,13,123
16,213,19,15,40,85,70,73,14,124
16,211,18,14,38,85,69,73,14,124
16,212,18,14,39,85,70,73,14,123
16,212,19,15,40,85,70,74,13,123
15,212,18,16,39,85,68,73,13,122
15,212,18,15,39,85,68,73,13,123
16,212,19,15,39,86,69,73,13,124
16,214,19,15,39,86,70,74,14,123
16,213,20,14,40,85,70,73,14,124
16,211,17,15,39,85,68,72,13,124
16,214,19,15,40,85,70,74,14,124
16,212,19,16,40,82,69,73,13,123
16,213,20,15,40,86,69,73,15,123
16,213,18,15,39,85,70,73,15,124
16,212,19,14,39,85,69,73,13,123
15,211,18,14,39,85,68,73,14,123
16,214,19,16,40,85,70,73,13,124
16,212,19,15,40,86,69,74,14,124
16,213,17,14,39,85,71,73,14,123
16,212,19,15,40,85,70,73,14,124
16,213,20,16,40,86,69,73,15,123
15,212,18,14,38,85,69,73,14,123
16,212,19,14,39,85,70,73,14,124
16,212,18,15,39,84,70,73,14,123
16,211,19,15,39,85,70,73,13,124
16,212,19,15,39,85,69,73,14,123
16,212,19,15,40,87,70,74,13,124
15,212,19,15,40,85,69,74,14,123
17,212,18,15,40,86,68,73,13,121
16,211,18,15,39,86,68,72,13,123
16,212,19,14,40,85,70,74,15,123
