MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
16,224,20,14,25,95,57,86,15,140
17,224,20,15,26,96,58,86,16,140
17,225,20,15,26,95,58,87,16,139
16,224,18,14,26,95,57,86,16,140
17,225,20,15,26,95,58,87,16,140
16,225,20,14,26,95,60,86,17,140
17,225,18,15,26,96,59,87,17,140
16,224,21,15,26,95,59,87,16,141
16,224,20,14,25,95,58,86,15,140
17,226,21,15,26,96,59,87,16,140
17,225,21,15,26,94,58,86,16,142
17,225,20,14,26,95,60,86,16,141
17,224,20,14,26,96,60,87,16,140
17,225,19,15,25,95,58,86,16,139
17,224,21,15,25,95,58,86,16,140
20,224,20,13,25,95,58,90,16,140
16,224,21,14,25,95,58,86,16,141
17,225,20,15,26,96,58,87,16,140
17,225,20,15,25,95,57,87,16,140
17,224,20,15,25,96,59,86,16,140
16,225,21,15,26,96,59,86,16,140
17,224,20,13,26,95,58,86,17,140
16,224,20,14,25,95,59,86,16,140
16,224,20,14,26,94,58,86,15,140
17,226,20,16,26,96,59,87,16,141
16,224,19,14,26,95,58,87,16,140
17,225,21,15,26,96,58,86,13,140
17,225,20,14,26,95,58,86,15,140
16,226,21,15,25,96,59,86,16,140
16,224,19,15,25,95,58,86,15,140
17,225,20,15,25,96,59,86,17,140
17,224,20,14,25,95,59,85,16,141
17,226,20,14,26,95,60,87,16,140
16,225,20,14,25,94,59,86,16,140
16,225,19,14,25,96,58,86,16,140
16,224,20,14,25,95,59,85,16,140
17,224,20,15,24,95,58,87,16,141
16,226,21,15,26,96,59,86,16,141
18,226,21,15,26,96,59,87,16,140
17,226,20,14,26,95,59,86,16,140
16,224,20,14,25,96,59,86,16,140
17,224,20,14,25,95,59,86,16,140
17,226,21,14,26,96,58,87,16,140
16,225,20,14,25,95,59,86,17,141
17,225,20,15,26,96,59,86,16,140
17,225,20,14,25,95,59,86,16,140
16,224,21,14,25,95,59,86,16,140
16,224,19,14,23,95,58,85,16,140
17,225,21,16,26,96,60,87,16,141
16,225,21,15,26,95,59,87,16,141
16,224,19,14,25,95,59,87,16,140
17,226,21,15,25,95,59,87,16,140
17,225,20,15,25,95,59,86,15,140
16,224,20,16,25,95,59,85,16,140
17,225,20,15,25,95,59,86,16,140
17,224,20,13,25,95,58,86,16,140
17,225,20,16,26,95,60,87,16,139
17,224,20,15,25,96,58,87,16,140
16,224,19,14,26,95,59,86,16,140
16,225,20,15,26,96,59,87,16,140
18,225,21,15,25,95,58,87,15,140
17,225,20,15,26,95,60,86,16,140
17,225,21,14,25,96,59,87,16,140
16,224,20,14,25,95,59,86,16,140
17,225,18,15,25,95,59,86,16,140
16,224,20,12,26,94,59,86,16,140
17,224,20,14,25,96,59,88,16,141
