MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
46,209,20,15,21,82,67,72,15,136
43,208,19,14,20,81,67,72,16,136
47,209,20,15,21,82,68,72,15,136
45,208,19,14,21,80,68,72,14,136
46,209,20,15,20,82,69,73,15,137
46,209,20,15,22,82,68,72,16,136
46,209,19,15,19,82,68,72,15,136
46,208,20,14,21,82,68,72,15,136
44,209,19,14,20,81,68,71,15,136
46,208,20,15,21,82,69,72,16,136
44,209,19,15,20,81,69,71,15,137
46,209,19,15,21,82,69,73,15,137
46,209,19,14,21,82,69,73,15,137
46,208,20,15,22,82,69,73,15,136
45,208,19,15,22,82,68,71,16,136
46,209,20,15,20,81,68,72,14,136
45,209,19,14,20,81,68,72,15,137
46,209,19,14,22,81,69,73,16,137
45,208,18,13,21,81,69,71,15,137
45,209,20,14,20,81,68,72,15,137
45,209,20,15,21,81,68,72,15,137
45,209,19,14,22,81,68,72,14,136
45,209,19,15,21,82,68,72,15,137
46,209,19,15,21,82,69,73,15,137
44,208,19,14,21,80,68,72,16,137
46,209,20,15,21,82,68,73,15,136
46,209,19,16,22,81,68,73,16,136
46,208,19,15,22,82,69,72,16,137
45,208,20,14,21,81,68,73,15,136
45,209,19,14,20,81,68,72,15,136
45,210,17,14,20,81,68,72,16,136
46,208,20,14,20,81,68,70,15,136
45,209,19,14,21,82,68,73,15,137
46,209,19,14,21,81,68,72,15,137
46,209,19,15,21,81,67,73,15,136
47,209,19,15,21,82,68,73,15,137
46,209,20,15,21,82,69,72,16,138
47,209,20,16,22,82,69,73,15,137
45,209,19,12,21,81,68,72,15,137
46,209,19,15,21,82,69,74,15,137
47,208,19,14,21,81,68,72,14,137
47,210,20,15,21,82,68,73,16,137
46,209,20,15,21,82,69,73,16,136
45,209,20,14,21,81,69,72,15,137
47,210,19,16,21,82,69,74,15,136
45,209,18,14,21,80,68,72,15,137
46,209,19,14,21,82,68,72,15,137
46,209,20,15,21,81,69,73,16,137
47,210,20,15,21,82,69,74,15,138
45,208,19,15,21,81,68,73,15,137
46,209,20,15,22,82,69,74,15,138
47,210,19,15,21,82,69,73,16,138
44,209,19,14,21,81,68,73,15,137
46,209,19,15,21,82,69,73,16,137
46,209,19,13,21,82,68,73,14,137
46,210,20,14,21,82,68,72,14,137
46,209,20,15,21,82,69,72,16,137
45,209,19,14,20,82,68,72,15,136
45,209,19,14,21,82,68,72,16,137
46,208,18,15,21,82,68,72,15,136
46,209,18,14,20,81,68,72,15,137
46,209,19,14,21,82,68,73,15,137
46,210,19,14,21,82,68,72,14,136
46,209,20,15,21,83,70,72,15,138
45,210,19,14,21,82,68,72,16,137
47,209,20,15,21,82,69,73,16,137
45,209,18,14,21,81,68,72,14,137
46,208,19,14,21,81,68,72,16,138
46,209,19,16,22,82,69,73,15,137
46,209,20,15,21,82,69,72,15,136
45,209,19,14,21,80,68,71,16,138
44,209,19,14,21,81,69,73,16,137
44,209,20,15,21,82,68,71,15,137
46,209,21,14,21,82,68,72,16,137
46,210,20,14,21,83,69,72,15,137
47,209,20,15,21,82,69,72,15,137
46,209,20,15,22,82,69,73,16,138
46,209,19,14,22,81,70,72,16,138
47,209,20,15,21,82,69,72,16,137
45,208,20,14,22,82,69,73,16,137
46,209,20,14,20,82,68,73,15,137
46,209,19,15,21,82,68,73,16,137
46,209,19,16,22,82,69,72,15,136
47,209,19,15,21,82,69,72,15,137
46,208,20,15,20,81,69,73,15,138
45,208,19,15,22,82,68,73,16,137
46,209,20,15,21,82,68,73,14,138
45,210,19,16,21,82,69,72,15,137
46,209,19,15,21,81,68,72,15,137
47,209,20,15,21,82,69,72,15,137
46,209,20,15,21,82,68,72,14,137
47,210,20,14,21,82,69,72,15,138
46,209,19,14,21,82,69,73,14,138
47,209,19,15,22,82,69,73,15,138
45,210,18,14,21,82,69,74,16,138
45,210,19,14,21,81,70,73,16,137
44,208,19,15,20,82,69,72,15,137
47,209,20,15,21,82,69,73,16,137
47,210,21,14,22,82,69,73,16,138
45,210,19,15,21,82,69,73,14,135
45,209,20,14,21,82,68,73,15,138
46,210,20,14,21,82,68,72,15,137
47,209,20,15,21,82,69,72,15,138
46,210,20,14,21,82,68,73,16,137
46,208,20,15,21,82,69,72,15,136
46,209,19,15,21,81,69,72,14,137
45,210,18,14,22,82,68,72,15,138
46,210,19,14,20,82,68,72,16,137
44,209,18,14,21,82,69,72,15,138
