MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
11,177,13,11,15,69,38,65,16,109
11,178,14,12,16,70,39,65,15,109
11,178,13,12,16,70,38,66,15,109
11,178,14,11,15,71,40,67,16,110
10,178,14,12,16,70,39,67,16,109
12,175,13,11,16,70,38,66,16,109
11,178,14,11,17,70,40,67,17,108
11,177,14,12,15,70,38,65,16,109
11,177,14,12,16,70,39,66,16,110
13,176,15,12,16,70,39,68,16,109
11,177,14,12,16,70,41,68,16,109
10,178,12,11,16,71,38,66,16,111
10,177,12,11,15,71,38,66,15,109
11,177,13,12,15,70,38,66,15,109
11,178,14,12,16,71,38,66,16,109
11,178,14,11,16,71,40,66,16,109
11,178,13,12,16,71,38,66,16,109
11,178,13,13,16,71,38,67,16,110
11,178,13,12,16,70,38,66,16,109
11,177,13,12,17,70,39,66,16,110
11,177,13,12,15,70,38,66,16,109
11,177,13,13,15,70,37,66,15,109
12,178,13,13,16,70,37,67,16,109
12,178,14,12,16,71,39,67,17,109
11,177,13,11,16,70,38,66,16,108
11,177,12,13,16,70,37,66,16,109
11,178,14,13,15,70,38,67,16,111
12,176,12,11,15,70,38,65,16,109
11,178,13,12,16,71,38,66,16,110
10,177,13,12,13,70,38,65,16,109
11,177,13,12,15,70,38,66,16,109
11,177,14,12,15,70,38,66,16,109
12,176,13,12,16,69,38,64,16,109
11,177,13,12,14,68,39,66,16,108
11,178,13,11,15,70,38,66,16,109
10,178,13,12,15,70,38,66,15,109
11,179,14,13,16,71,38,67,16,110
11,178,14,12,16,71,38,67,16,109
11,178,13,12,16,70,39,66,17,109
10,176,13,10,15,71,38,65,17,109
11,178,12,12,15,71,37,66,16,110
11,178,13,12,16,70,38,70,16,110
11,177,13,13,15,71,38,66,15,110
10,177,13,12,16,71,39,67,16,108
11,176,13,12,16,69,38,65,16,109
11,177,14,11,16,70,38,66,16,109
11,178,13,12,16,71,38,67,17,109
11,178,12,12,15,71,38,67,16,110
11,177,14,13,16,71,38,67,16,109
11,178,13,12,16,71,38,66,17,109
11,177,14,12,16,70,38,67,17,109
11,177,14,12,16,70,38,66,15,109
11,178,13,12,16,71,38,67,16,108
11,178,13,12,15,71,38,66,15,109
11,177,13,13,16,71,38,67,16,110
11,177,13,12,15,70,39,66,16,109
11,177,14,11,17,71,38,66,17,110
11,179,13,12,16,71,38,67,16,110
10,177,14,12,15,71,38,65,15,109
12,178,14,12,16,70,38,66,16,109
12,178,14,12,16,70,40,67,17,109
10,176,13,12,15,70,37,66,16,109
12,178,14,13,15,71,39,67,16,110
11,177,13,12,14,71,38,66,16,110
11,177,14,12,16,70,38,66,16,109
11,177,13,12,16,70,38,66,16,109
13,177,12,13,17,71,38,67,16,109
11,178,15,12,17,70,39,66,17,109
11,178,13,12,16,70,39,66,16,109
10,177,13,11,15,70,38,66,15,109
10,177,12,11,16,70,38,66,16,109
10,177,13,11,15,70,38,66,16,108
10,177,13,13,16,70,38,67,16,110
10,178,12,11,15,70,38,67,16,109
11,179,14,13,16,71,38,67,16,110
11,177,13,11,15,70,38,66,16,109
11,178,13,12,16,70,39,66,16,109
11,179,13,12,16,70,39,67,16,110
12,177,12,11,17,70,40,67,16,109
13,177,12,13,15,70,38,67,16,109
12,177,13,12,15,69,38,65,16,109
11,177,14,12,16,70,39,67,17,109
11,179,14,11,17,71,38,67,17,108
12,178,13,13,15,70,38,66,16,110
12,177,12,11,15,70,38,67,15,109
11,178,13,12,16,70,39,67,14,109
12,177,14,12,17,70,39,66,16,109
11,177,13,13,15,69,38,66,15,109
12,178,13,13,16,71,38,66,16,110
12,178,12,11,16,71,38,66,16,110
11,177,13,12,15,70,38,67,16,112
11,177,13,12,16,70,39,66,16,109
12,178,13,12,16,70,39,66,16,109
11,177,13,11,16,70,38,66,15,110
10,177,14,11,15,70,38,67,15,109
11,177,14,13,15,71,39,67,16,109
11,178,13,13,15,71,39,67,16,110
10,177,13,12,16,71,38,66,15,110
11,178,12,12,15,70,38,66,15,109
12,178,14,12,16,71,38,67,16,110
11,177,14,12,17,71,39,66,16,109
12,177,14,13,17,71,39,67,16,109
12,178,15,13,16,70,40,66,17,109
11,178,12,11,15,71,38,67,16,109
12,179,14,13,16,71,38,67,16,110
11,177,13,12,13,70,38,66,16,109
12,176,14,12,17,70,38,66,16,109
12,178,14,12,16,70,39,66,17,109
12,178,14,13,16,70,38,66,16,110
10,178,13,12,16,70,39,67,16,110
11,177,14,11,16,70,39,66,16,109
12,178,15,13,16,70,40,67,16,109
12,178,13,13,17,71,39,66,16,110
11,177,13,12,16,70,39,66,16,109
10,178,13,12,16,70,39,66,16,109
11,178,13,13,16,71,38,67,16,110
10,177,13,12,15,71,38,67,16,109
10,179,14,13,16,72,38,67,16,110
10,177,13,13,15,70,38,66,16,110
10,177,13,11,15,70,38,66,16,109
11,178,13,12,16,70,39,66,17,110
12,178,14,12,16,71,39,66,16,109
10,177,15,10,17,70,38,66,17,108
10,178,13,12,17,70,38,66,17,109
10,176,14,12,16,69,38,66,16,109
10,177,13,12,14,71,39,66,14,109
