MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
11,204,13,11,15,70,39,67,15,110
11,204,13,11,15,71,38,67,14,110
10,203,13,10,15,72,38,67,16,109
12,204,14,11,17,70,38,67,17,111
11,204,13,12,17,71,40,66,14,110
11,205,13,12,16,71,39,68,15,111
11,204,13,11,16,71,39,66,13,109
10,205,15,12,16,72,39,67,15,111
12,204,13,11,16,71,38,67,16,110
11,205,13,12,15,70,40,67,16,110
11,204,13,11,16,70,39,66,15,110
10,205,13,11,16,71,39,67,16,109
11,205,13,11,17,71,39,66,15,110
11,205,14,11,15,72,39,67,14,111
10,206,14,12,15,72,40,68,14,111
11,205,13,12,15,71,38,67,15,110
11,204,15,12,16,72,40,68,16,110
11,205,13,11,16,71,39,67,16,111
11,205,14,13,15,72,40,68,16,111
11,205,14,12,14,70,38,67,15,111
13,204,13,12,16,70,40,66,17,110
10,204,15,12,16,70,39,67,16,109
11,205,13,12,16,71,39,67,16,110
11,204,13,12,15,71,38,67,15,110
10,205,13,11,15,71,38,67,14,110
11,205,14,12,15,71,39,67,15,110
11,204,14,12,16,71,39,68,16,110
11,204,13,11,16,71,39,67,15,110
11,205,13,12,16,71,40,68,15,111
10,204,13,12,16,70,40,68,14,110
11,204,13,12,15,70,39,67,15,110
11,204,13,12,16,70,39,67,15,110
12,204,13,11,15,71,39,67,16,110
10,204,13,12,15,71,38,67,14,110
11,204,14,12,16,70,39,66,15,110
12,204,13,12,16,71,40,68,16,110
11,205,14,13,15,70,39,67,15,110
11,205,14,13,16,72,40,67,15,111
11,204,14,11,15,70,39,67,15,110
11,204,14,12,16,72,39,67,15,110
11,205,13,12,15,71,39,67,15,110
12,204,14,11,17,71,40,67,14,110
11,205,14,12,16,71,39,68,16,110
11,205,14,12,16,72,40,68,16,110
10,205,13,12,15,71,39,67,15,111
11,205,14,12,16,72,39,68,16,111
11,204,13,11,16,71,39,67,15,110
11,204,12,11,15,71,39,67,14,110
12,205,14,13,15,71,39,68,15,111
11,204,14,11,15,71,39,67,15,110
11,206,14,12,16,72,38,69,16,111
10,205,13,12,16,71,38,68,15,111
10,206,13,13,15,71,38,67,16,111
10,206,14,12,15,72,39,67,15,111
12,205,13,12,16,71,39,68,16,111
11,205,13,12,14,72,39,67,14,111
11,205,14,11,15,71,39,67,14,111
11,205,14,12,16,72,39,68,15,110
11,204,12,11,15,71,40,68,15,109
12,205,12,12,15,72,39,67,16,111
11,205,13,12,15,71,39,67,15,111
10,204,14,12,15,70,39,66,16,110
11,205,13,12,16,71,40,68,16,110
12,206,14,13,16,72,39,68,15,111
11,204,12,11,15,71,39,67,15,109
11,203,14,11,16,71,39,67,15,110
9,204,14,10,16,70,39,66,15,110
12,205,13,12,16,72,40,69,15,111
10,204,13,11,16,71,38,67,14,111
11,204,12,11,16,71,38,67,15,111
11,205,14,12,16,71,39,68,16,110
12,205,15,12,17,71,41,68,16,111
11,205,13,12,15,71,40,67,15,111
10,205,13,12,16,71,39,67,14,112
12,205,13,12,16,72,40,68,16,110
11,204,13,11,14,70,38,67,15,111
12,204,14,13,16,72,39,67,16,111
12,205,14,13,16,72,38,68,15,110
11,204,13,12,15,71,39,67,16,110
11,204,13,11,15,71,40,67,15,110
10,205,15,13,16,71,40,66,16,110
12,203,13,11,16,71,40,68,16,108
11,205,14,11,16,72,39,67,16,111
11,204,13,12,15,71,40,68,15,110
12,205,15,12,16,72,40,66,16,111
11,205,14,12,16,72,40,68,16,110
11,205,14,12,17,72,39,68,16,110
10,204,14,12,16,71,39,66,16,109
11,204,13,12,16,71,39,67,15,110
11,204,13,10,16,71,41,66,16,110
13,204,14,12,16,70,41,68,16,110
11,204,13,12,16,71,39,67,15,110
12,205,14,13,15,72,40,68,16,110
12,204,13,13,15,70,40,68,15,110
10,206,13,12,14,71,40,68,14,111
10,205,13,11,16,72,40,66,15,111
11,206,15,12,16,72,40,68,16,110
11,206,14,12,16,72,40,68,15,111
11,204,14,11,15,71,39,67,15,110
11,205,14,13,16,71,40,69,15,111
10,203,12,10,15,71,40,67,14,110
10,205,14,11,17,70,38,69,16,111
11,205,14,11,16,71,40,67,16,111
11,204,14,12,17,71,40,67,16,111
11,206,14,11,17,72,40,68,17,111
11,205,13,11,16,72,39,68,15,110
11,204,14,12,16,71,40,67,16,110
11,205,14,12,16,71,40,68,16,111
11,205,14,11,16,69,40,67,16,111
11,204,15,12,16,72,40,66,16,111
11,206,14,12,16,72,40,68,16,111
11,206,15,12,16,72,40,68,16,111
11,205,14,12,16,72,40,68,15,111
11,204,13,12,16,72,39,67,15,111
12,205,14,12,17,70,40,69,15,110
11,205,14,13,16,72,39,67,15,111
11,206,14,13,16,71,40,68,15,111
11,204,14,12,16,70,39,68,15,110
11,205,15,12,16,72,41,67,16,110
11,204,12,11,15,71,40,68,15,111
11,205,12,11,15,71,39,67,15,111
10,205,13,12,15,72,39,67,15,111
11,204,13,12,16,71,40,67,16,110
11,204,14,11,16,71,40,67,16,110
11,205,14,11,16,71,39,67,16,111
11,205,13,11,17,72,39,67,16,111
11,204,14,12,16,70,39,67,16,110
11,205,14,12,16,71,40,68,16,111
11,205,14,12,16,72,39,68,16,111
10,205,14,12,16,70,40,67,16,109
11,203,15,12,16,72,39,68,16,111
10,204,15,12,16,71,40,67,16,111
10,204,13,12,16,70,40,68,15,110
11,204,14,11,16,70,40,68,15,110
11,204,14,12,16,71,39,66,15,110
11,205,14,12,16,71,40,67,16,110
11,205,14,12,16,71,40,68,15,111
10,205,15,12,16,72,41,68,15,110
11,204,14,12,17,71,39,68,16,110
11,205,14,14,16,71,41,68,16,110
11,204,14,11,16,71,40,67,15,110
11,204,14,11,13,71,38,67,16,110
11,205,14,12,17,72,40,68,16,111
11,205,14,12,16,71,41,68,16,110
11,206,14,13,16,72,40,68,15,111
10,205,14,13,16,71,39,67,15,110
10,205,13,12,12,71,38,68,14,111
12,205,14,13,16,72,40,68,16,111
10,205,13,12,13,70,40,68,14,110
12,204,14,13,17,71,39,66,16,111
11,204,13,11,14,71,39,67,15,110
12,205,14,12,16,71,40,68,15,111
10,205,13,12,15,72,39,67,15,111
11,206,14,12,16,72,40,68,15,111
11,203,12,11,15,71,38,67,15,110
10,205,13,11,15,71,40,67,14,111
10,205,13,12,14,71,39,67,14,111
10,205,13,11,15,72,40,68,15,111
10,205,12,11,16,72,39,67,14,111
12,205,13,13,14,72,40,68,14,111
11,205,13,11,16,70,40,68,16,111
11,204,13,12,16,72,39,68,16,110
11,205,14,13,15,72,39,68,15,111
11,204,13,11,16,71,39,67,15,110
11,204,13,12,16,70,40,68,15,110
12,204,14,12,16,71,41,68,16,110
11,205,15,12,16,72,41,68,16,110
11,204,14,11,15,71,40,67,16,110
11,204,13,10,16,70,39,67,15,110
11,204,13,12,16,70,39,67,16,110
11,205,14,12,16,72,39,68,15,110
11,205,14,12,17,72,40,67,17,110
11,205,14,13,16,71,40,68,16,111
10,204,13,12,16,72,39,67,16,110
10,204,13,11,15,71,39,67,15,110
11,205,14,13,16,72,40,67,15,111
11,204,13,11,16,72,38,67,15,111
12,205,14,13,15,72,40,67,14,111
11,206,14,13,16,72,40,68,15,111
12,206,14,12,16,72,40,68,16,111
11,205,13,12,16,71,40,68,16,111
11,204,13,11,16,70,40,67,15,110
12,204,14,11,15,72,38,68,14,111
11,205,13,12,16,71,41,68,16,111
10,204,13,12,15,72,39,67,14,111
10,205,13,12,15,71,40,67,14,111
12,205,14,12,16,72,39,68,16,111
11,204,14,11,15,72,39,68,15,111
12,205,14,12,16,72,39,67,15,111
11,206,14,12,16,72,40,69,14,111
10,205,12,12,14,75,39,67,14,110
12,205,13,12,15,71,40,67,14,110
11,205,14,12,16,72,40,68,16,111
11,204,14,11,16,71,40,65,16,110
12,205,14,12,16,71,39,67,15,110
10,205,13,11,15,71,39,67,15,111
11,205,14,12,16,72,40,68,15,110
11,206,14,12,16,72,40,68,16,110
11,204,14,11,16,70,40,66,15,110
13,204,13,12,16,71,40,68,15,110
10,204,14,12,15,71,39,67,15,111
10,205,14,13,16,72,40,68,15,111
10,204,13,11,15,71,39,68,15,110
10,205,13,11,16,71,40,67,16,111
11,204,14,11,16,70,39,66,16,111
12,204,14,11,16,70,39,67,15,109
11,204,13,12,15,71,39,67,15,110
11,206,13,13,16,73,40,68,16,111
11,205,14,12,16,71,40,68,15,111
11,205,13,12,16,71,40,67,15,110
10,204,14,13,15,72,38,68,15,111
10,205,13,11,15,72,39,67,14,111
12,204,13,12,15,71,38,67,15,110
10,205,13,10,15,73,40,65,15,110
12,204,13,11,16,71,40,67,15,109
11,206,14,12,16,72,40,69,16,111
11,205,13,11,16,71,40,67,15,111
10,204,14,10,14,70,39,67,15,110
11,205,13,12,16,71,41,68,16,111
11,205,14,12,16,72,40,68,15,111
11,204,14,12,15,71,39,67,15,111
10,204,13,11,15,71,39,67,15,111
11,204,13,11,15,72,40,68,14,109
11,204,13,12,14,72,40,67,15,111
11,206,14,13,16,71,40,68,16,111
11,205,14,12,16,71,40,68,16,110
11,205,14,11,16,70,40,69,16,111
10,205,13,11,15,70,40,67,14,111
10,204,13,12,15,70,40,67,15,110
11,205,14,12,15,71,39,68,16,111
11,205,14,12,16,72,39,68,15,111
10,205,15,11,15,72,40,67,15,111
11,205,14,13,16,72,40,67,15,110
11,205,13,12,15,71,40,67,15,111
11,205,14,12,17,71,40,68,16,110
12,204,13,11,16,71,40,67,16,110
11,205,14,12,18,72,40,68,16,111
11,205,14,12,14,71,40,68,16,111
11,205,15,12,16,72,41,68,16,109
11,204,12,11,16,71,39,67,16,111
11,206,14,12,16,72,40,69,16,111
11,204,14,11,15,70,39,67,15,110
12,205,14,12,16,72,40,68,15,111
12,205,14,12,16,71,40,68,15,111
11,204,14,11,16,72,40,66,14,110
11,205,14,13,16,70,40,68,15,110
11,204,14,12,15,70,40,68,16,112
11,205,14,12,16,71,39,68,15,110
11,204,13,12,15,71,39,67,15,110
11,205,14,12,16,72,40,68,15,111
12,203,13,12,14,70,39,67,15,110
11,206,13,12,16,72,41,66,16,110
11,204,13,12,15,71,40,67,14,111
10,204,13,12,15,71,39,68,14,110
11,205,14,13,15,72,39,68,15,110
11,205,13,12,15,72,40,68,15,111
11,205,14,12,17,71,41,68,14,110
11,205,13,12,15,72,39,68,15,111
11,205,14,12,17,70,40,68,16,110
11,205,14,12,16,72,40,68,16,110
11,204,13,12,15,71,40,67,15,110
12,203,14,11,16,70,40,67,16,108
12,204,14,11,17,70,40,67,16,110
11,204,14,12,16,71,40,67,16,110
11,204,13,12,16,70,40,67,15,110
11,204,14,12,16,71,40,67,16,110
11,204,13,11,16,71,40,67,15,110
12,204,12,11,16,72,40,67,15,110
11,204,14,11,16,70,39,66,16,110
12,205,15,13,16,70,39,67,16,110
10,204,13,11,15,71,39,67,14,110
10,205,13,12,16,72,40,67,15,113
10,205,12,11,15,72,38,67,15,111
11,205,13,12,14,73,40,67,15,111
11,205,14,12,15,72,39,68,16,111
10,203,13,11,15,71,39,67,15,110
10,205,14,11,15,72,40,67,15,111
