MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
42,135,57,30,105,203,340,184,109,175
43,135,57,31,105,202,340,183,109,176
42,136,57,30,106,202,341,183,108,175
42,135,57,30,105,203,340,184,108,175
42,136,57,31,104,202,341,184,108,176
42,136,57,31,106,203,341,184,108,176
43,137,58,30,106,202,342,182,108,176
42,136,57,31,106,202,340,182,108,176
42,136,58,30,105,203,340,184,107,175
42,136,57,31,106,203,341,184,109,176
42,137,57,31,105,202,340,185,108,176
42,137,56,31,105,203,341,184,108,175
42,136,57,30,105,202,341,184,108,175
42,137,58,31,105,202,341,185,108,176
42,136,57,30,105,202,340,184,108,175
42,137,58,31,105,204,341,184,108,176
42,136,57,31,105,204,341,184,108,176
42,136,57,30,105,203,340,184,108,175
42,137,57,31,105,203,340,183,109,175
42,137,56,30,105,203,341,184,108,176
43,138,57,31,106,203,341,185,108,176
42,138,57,31,105,203,341,184,109,175
42,138,58,30,106,203,342,184,108,176
43,138,58,30,105,202,340,184,108,175
42,139,58,31,106,203,342,185,109,176
42,140,57,31,106,203,342,184,108,176
43,140,58,30,106,203,342,184,109,176
42,138,57,31,105,202,340,183,107,175
41,140,57,31,105,202,341,183,109,176
42,143,58,32,106,203,342,185,109,177
42,141,57,30,105,203,341,183,108,176
42,142,57,30,105,202,342,183,108,175
41,142,57,29,105,203,341,183,108,175
43,143,58,31,105,203,341,184,109,176
42,143,57,31,105,202,341,184,108,176
41,143,57,31,106,203,341,183,108,175
42,142,57,30,105,203,341,183,108,176
41,144,58,30,105,203,342,184,109,176
42,143,58,32,106,203,341,185,109,176
43,142,58,31,106,203,342,184,109,176
43,142,58,31,106,203,342,184,108,176
42,142,57,31,105,203,342,184,109,176
42,142,57,30,105,203,341,184,109,175
42,140,57,30,106,202,341,183,108,176
42,141,59,31,105,202,341,184,108,176
43,142,57,30,105,203,341,184,108,175
43,143,58,30,106,203,342,184,109,177
42,143,57,31,105,203,342,184,109,176
42,141,57,30,105,203,341,183,108,176
42,143,58,31,105,203,342,184,109,176
42,142,58,30,106,202,342,184,108,176
42,142,58,30,107,202,341,183,109,176
43,140,57,30,105,203,341,184,108,176
43,142,57,31,105,202,340,183,108,176
42,142,58,30,105,203,342,184,108,177
42,141,58,31,105,203,341,184,108,175
