MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
62,110,85,34,151,150,318,166,120,187
62,109,85,34,152,151,318,166,119,186
62,109,85,34,153,152,318,166,119,186
62,110,87,34,153,152,318,167,120,187
62,110,85,34,153,152,318,167,119,186
62,109,85,34,152,151,318,166,119,187
62,109,85,35,152,152,319,166,119,186
62,108,84,34,152,151,318,166,119,186
62,110,84,35,152,152,318,167,120,186
62,109,85,34,152,151,318,167,120,187
62,110,85,34,151,152,318,167,120,186
61,108,84,34,152,151,318,167,119,186
62,108,87,34,153,151,317,167,120,186
62,109,85,35,153,152,318,167,119,186
61,110,84,34,152,151,318,167,120,186
61,109,86,34,152,152,318,167,120,186
63,108,85,34,152,151,318,166,120,187
61,108,84,34,152,151,318,166,119,185
62,108,84,35,152,151,318,164,118,185
62,109,84,34,152,151,317,166,119,186
62,110,86,33,152,152,318,167,120,187
62,108,85,34,153,151,317,166,120,186
63,109,86,34,153,152,318,166,119,187
62,109,85,35,153,151,318,166,120,187
61,108,84,34,152,152,318,166,119,186
61,110,85,34,152,151,319,167,120,186
62,109,84,34,152,151,317,167,119,186
62,110,85,34,153,152,319,167,119,186
61,109,85,34,152,152,318,165,119,186
63,109,85,34,153,152,319,167,120,187
63,109,84,34,152,152,317,167,119,186
61,109,84,34,152,151,318,166,119,186
62,109,85,33,152,151,318,166,119,186
62,109,85,34,153,152,317,168,120,187
62,108,85,35,153,151,319,167,120,187
62,109,85,34,152,152,318,167,119,186
62,109,85,34,152,152,318,168,119,186
63,107,84,35,152,150,318,167,119,185
62,110,85,35,152,152,319,167,120,187
63,110,85,35,152,152,319,167,120,187
62,109,85,34,152,151,317,166,120,187
62,109,84,35,153,152,318,166,119,186
62,109,85,35,152,151,318,167,120,187
62,109,84,34,153,152,318,167,120,186
62,108,85,35,152,151,318,166,120,186
62,109,85,34,150,151,318,167,119,187
62,110,85,35,152,152,318,167,120,187
61,108,84,34,152,152,317,166,118,185
61,109,84,34,152,152,318,166,119,185
62,109,84,35,153,151,318,166,119,186
61,109,84,34,152,152,318,166,119,187
62,110,85,34,151,151,319,166,119,187
62,109,85,34,153,152,318,167,119,186
62,110,85,35,153,151,318,166,120,186
