MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
58,107,77,31,144,155,311,162,108,183
58,107,76,31,143,154,310,162,107,183
57,107,77,32,143,156,311,164,108,183
57,107,76,31,143,155,310,162,108,182
57,108,77,31,143,155,311,162,108,183
58,107,76,31,142,155,310,162,107,184
57,108,77,31,142,154,311,162,108,183
57,106,76,29,142,153,309,162,108,182
57,107,77,31,142,155,310,162,108,182
57,107,76,32,142,154,310,162,107,183
58,107,76,31,142,154,309,162,107,182
57,107,75,31,142,155,310,161,108,183
58,107,76,31,142,154,310,161,108,183
57,108,77,32,142,154,310,162,107,183
57,107,77,31,143,155,309,162,107,183
58,107,77,32,143,156,311,162,109,184
57,108,77,31,143,155,311,163,108,183
58,106,75,31,142,155,309,162,108,183
57,106,76,30,143,154,310,162,108,183
57,107,76,31,142,154,311,162,108,183
57,107,76,31,143,155,310,161,107,183
57,107,77,30,142,154,311,162,109,183
58,107,77,31,143,155,308,162,108,182
58,106,75,32,143,154,308,162,109,183
58,108,77,32,144,154,309,162,108,183
57,106,76,32,143,154,308,162,108,183
57,108,77,32,144,154,310,163,108,183
57,106,77,31,142,154,308,162,108,183
58,107,77,32,143,155,310,162,109,183
57,107,77,31,143,154,309,161,108,183
57,107,77,31,142,154,309,161,109,183
57,108,77,33,143,155,309,162,109,183
59,107,77,32,143,155,309,162,109,183
57,108,77,32,142,155,308,162,109,183
58,107,77,32,144,155,309,162,109,183
57,108,77,31,143,155,310,161,108,182
57,107,77,32,143,155,309,162,110,183
57,108,77,32,144,154,309,161,109,183
57,106,77,31,143,154,308,162,109,183
57,106,76,32,143,154,308,161,109,181
57,106,76,32,143,154,308,162,109,182
57,107,78,32,144,154,310,162,108,184
57,107,77,31,143,154,310,162,108,182
58,108,77,32,143,155,312,162,109,184
58,106,77,32,143,154,310,162,109,182
57,107,77,32,142,154,311,162,111,183
57,108,77,31,143,155,311,162,109,183
58,107,77,32,143,155,311,162,109,183
57,107,77,32,143,154,312,162,109,183
58,107,78,32,143,155,312,162,109,184
58,106,77,32,143,154,310,162,109,183
57,107,77,32,143,154,311,162,110,183
57,107,77,32,143,154,311,160,109,183
57,108,78,32,143,154,311,162,109,183
57,107,77,31,143,154,311,162,109,183
57,108,78,32,143,154,312,162,110,184
57,106,76,31,143,154,309,161,109,182
58,107,78,32,144,155,312,163,110,183
58,106,78,32,144,155,312,163,110,184
57,106,77,31,143,154,311,161,110,183
57,108,77,31,144,154,312,162,109,183
58,107,78,33,144,155,312,162,110,184
56,107,77,32,143,154,311,161,110,183
58,108,77,33,143,155,312,162,110,184
57,107,77,31,142,154,310,161,109,182
58,107,78,32,144,155,312,162,110,183
57,106,76,30,143,154,311,161,109,182
57,106,77,32,142,153,310,162,109,182
57,106,77,32,142,153,310,161,109,182
58,107,77,32,144,154,311,162,109,182
58,107,76,33,142,154,311,162,109,183
57,106,77,32,143,154,310,161,110,182
57,107,78,32,143,154,311,162,110,183
57,106,77,32,143,154,310,161,109,184
58,106,77,32,144,154,311,162,109,182
58,107,78,32,143,154,311,162,109,183
57,107,77,32,143,153,312,161,110,183
57,106,78,32,142,152,310,161,110,183
58,107,78,32,143,154,310,162,110,183
57,106,77,32,143,154,311,161,110,183
58,106,77,32,143,154,310,162,109,182
57,107,77,32,143,154,310,162,109,182
58,107,78,32,143,153,311,161,109,182
58,106,77,32,143,154,311,162,109,183
58,107,77,33,143,154,310,162,109,182
57,106,78,32,143,154,310,161,110,182
57,106,77,32,143,154,310,161,109,182
58,107,77,33,143,154,310,162,110,183
57,106,77,32,143,153,310,161,109,182
57,106,77,31,142,153,310,161,109,182
57,106,77,32,143,153,310,160,109,182
57,106,77,32,143,153,310,161,109,182
57,106,77,31,144,153,310,162,108,181
58,105,77,33,143,154,310,161,110,182
57,108,78,32,143,153,311,161,109,183
57,106,78,32,142,153,310,161,109,183
58,106,77,32,143,154,310,161,109,182
57,106,77,32,144,154,311,161,110,183
57,105,77,32,143,153,310,161,110,182
57,106,77,32,143,153,310,160,109,182
56,107,77,32,142,152,308,160,109,182
57,106,78,32,143,153,308,161,110,182
57,106,77,31,143,153,309,160,110,182
56,106,77,32,143,152,310,160,109,182
56,106,77,32,143,153,310,161,109,182
57,107,78,33,143,154,311,162,111,182
56,106,78,32,143,154,310,161,109,182
57,106,78,31,142,153,310,161,110,182
58,107,78,32,143,153,310,162,109,183
57,107,78,32,143,153,310,161,110,182
57,106,77,32,143,153,310,161,110,181
58,105,78,31,142,153,308,161,109,182
57,106,76,32,143,153,310,160,110,182
57,107,78,32,143,153,311,161,110,183
59,106,78,32,144,154,311,161,110,182
57,106,77,32,143,153,311,160,110,183
57,106,77,33,144,154,311,162,110,183
57,107,78,33,144,155,311,162,111,183
57,106,77,32,143,154,311,161,110,183
57,106,77,32,143,153,311,161,110,183
57,106,77,32,143,154,311,161,111,181
58,107,78,32,144,154,312,161,110,183
57,106,77,32,143,153,311,162,109,183
58,107,78,33,143,154,312,161,111,183
57,107,77,32,143,153,311,161,112,182
57,107,77,32,144,154,312,162,110,183
57,107,78,33,144,153,311,162,111,183
57,107,78,32,144,154,311,162,110,184
57,107,77,33,144,153,313,161,110,183
58,107,78,32,144,155,312,161,110,183
57,107,78,32,144,154,312,161,110,184
57,108,78,32,143,154,313,161,111,183
58,107,79,33,144,154,312,162,110,184
57,107,78,32,144,154,312,162,110,183
57,107,78,32,144,155,312,161,111,183
57,108,78,33,144,154,312,162,111,184
58,107,78,33,144,154,312,162,111,184
58,107,78,33,144,154,313,162,110,183
56,107,77,32,144,154,312,161,110,183
57,106,77,31,144,154,312,162,109,183
57,107,77,32,144,154,311,162,110,183
57,107,77,32,144,154,312,162,110,183
58,107,77,32,144,154,312,162,110,184
57,108,78,33,143,154,312,162,109,184
