MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
68,170,93,40,151,209,364,187,141,231
68,170,92,40,150,208,364,186,142,230
67,169,92,40,151,208,364,187,142,231
68,170,92,41,151,208,364,186,140,230
69,170,92,40,150,208,364,186,141,232
68,171,93,41,151,209,365,187,142,231
68,170,92,41,151,208,364,187,142,231
68,170,91,39,151,208,364,186,142,231
67,171,93,41,150,209,364,187,142,232
68,170,93,40,151,209,364,187,141,231
68,170,92,40,151,208,364,186,142,231
68,170,92,40,151,208,365,186,142,231
68,171,93,42,151,209,364,187,143,231
67,171,93,41,152,209,365,187,142,231
67,169,92,40,151,208,365,187,142,231
68,169,93,41,151,209,364,187,142,231
68,170,94,42,151,210,364,187,142,232
68,170,93,40,151,209,365,188,141,232
69,170,93,40,151,208,365,187,143,233
68,170,92,41,151,209,365,187,142,231
69,170,92,42,151,209,364,187,142,231
68,170,93,40,151,209,365,186,142,231
68,170,93,41,151,209,365,187,142,231
68,171,92,41,151,208,365,187,142,231
68,169,92,39,151,209,363,186,142,230
69,170,93,41,152,209,365,188,142,231
67,170,93,40,152,209,365,187,142,232
68,169,93,40,151,209,364,188,142,232
68,170,94,41,152,209,365,188,143,232
68,170,93,41,151,209,364,188,142,232
68,170,93,41,152,209,365,187,143,232
69,170,93,41,152,209,365,188,142,232
68,171,93,42,151,209,365,188,143,232
68,170,93,40,151,208,365,187,142,231
69,170,93,41,152,210,365,188,143,232
68,171,93,41,152,209,364,188,142,232
68,170,93,41,152,209,364,187,142,231
68,170,93,41,152,209,364,187,142,232
69,171,93,41,152,210,365,188,142,232
68,170,93,40,151,208,364,187,142,232
69,171,93,41,153,210,365,187,143,233
68,170,93,41,151,208,364,187,142,232
69,169,93,41,152,208,364,188,142,232
68,170,93,41,152,210,365,187,142,233
69,171,93,41,152,210,364,188,142,232
68,171,93,41,152,209,365,187,142,233
69,170,93,41,152,208,364,187,142,232
69,170,93,40,152,209,364,186,142,232
69,171,93,41,152,209,365,187,143,233
68,170,92,41,151,208,364,187,142,232
68,170,92,41,152,208,365,187,142,232
69,170,94,42,153,210,365,188,142,233
70,171,93,42,152,209,365,188,143,233
68,170,93,41,151,209,365,187,142,235
69,170,93,41,152,210,364,187,142,232
69,170,94,41,152,209,365,188,142,232
69,170,92,41,152,208,364,187,143,232
68,171,93,41,153,209,365,188,142,232
68,170,93,41,153,209,365,188,142,233
69,171,94,42,153,209,365,187,142,233
69,170,94,40,153,208,365,187,142,233
68,170,93,40,152,209,365,187,142,232
68,170,94,41,153,209,366,187,142,233
69,171,93,42,151,209,364,187,142,231
69,170,92,40,152,209,364,187,141,232
69,170,94,41,153,209,365,188,142,233
69,170,94,41,152,208,364,187,142,231
69,170,94,41,152,209,364,187,142,232
70,170,93,40,152,209,364,187,142,232
69,171,93,42,152,209,365,188,142,232
69,170,93,42,152,210,364,188,142,232
69,170,94,41,152,209,364,188,143,233
68,170,92,41,152,209,364,187,142,231
68,170,93,42,152,209,364,187,142,232
69,171,93,42,153,209,365,188,143,232
69,171,93,42,153,209,365,187,143,233
69,170,93,41,152,209,364,186,142,232
69,171,93,41,152,208,364,187,143,232
70,170,95,42,152,209,364,187,142,231
69,170,94,41,152,209,364,187,142,232
68,170,93,42,152,209,364,187,142,232
69,170,93,41,152,209,364,188,143,232
70,170,94,41,152,210,364,188,142,232
69,170,93,42,152,209,365,186,142,232
69,170,93,42,153,209,364,187,142,232
70,170,94,42,153,210,365,188,142,232
69,169,93,42,152,209,365,188,142,233
69,171,93,42,152,210,364,187,143,232
69,169,93,41,152,209,364,188,143,232
69,170,93,41,152,209,364,187,142,232
69,170,93,42,153,209,364,187,143,232
69,170,93,41,153,209,364,188,142,231
69,170,94,39,152,209,364,187,142,232
69,169,92,40,152,209,364,188,142,232
69,170,94,41,153,209,365,187,142,233
69,170,93,40,153,208,365,187,142,232
69,170,93,41,152,209,364,187,142,232
69,170,94,41,153,209,364,188,142,232
70,171,93,41,152,210,364,188,143,232
69,170,94,41,152,209,365,188,142,232
70,171,94,41,153,209,365,188,141,232
69,170,93,41,153,209,365,187,141,232
68,171,93,41,153,209,364,187,143,232
70,170,94,42,153,210,365,188,143,232
70,170,94,41,153,209,365,187,142,232
69,170,93,41,153,210,364,187,142,233
69,170,92,42,153,209,364,187,142,231
70,171,93,41,154,209,364,188,141,231
69,171,94,42,152,210,365,187,143,232
70,170,93,40,152,209,364,187,142,232
68,170,94,41,152,209,365,187,142,231
69,170,94,41,153,209,364,187,142,232
69,170,93,41,153,208,364,187,143,232
68,170,93,41,153,209,365,187,143,232
70,170,94,41,153,209,365,188,142,230
70,170,93,41,152,209,365,188,142,232
70,170,93,41,153,209,364,187,142,232
69,170,93,41,152,209,364,188,142,232
70,170,93,41,152,209,363,187,143,232
69,169,94,41,154,210,365,188,142,232
69,170,94,41,153,209,365,187,142,231
69,170,94,41,153,209,364,187,142,232
70,170,94,42,153,209,364,187,142,231
70,171,95,41,154,209,366,188,143,233
70,170,94,41,152,209,364,188,143,232
70,170,94,41,153,210,364,188,143,232
69,170,94,41,154,209,365,188,142,232
70,172,93,42,153,210,365,187,142,232
70,171,94,42,153,209,365,188,143,232
70,170,94,42,153,209,365,188,143,232
70,170,93,41,153,209,363,188,142,232
70,171,94,42,154,209,365,191,142,232
70,169,93,41,153,208,364,187,142,231
70,169,93,42,153,209,364,187,142,231
71,170,94,42,154,209,364,188,143,232
69,170,93,41,153,209,364,187,146,232
69,170,93,42,153,209,364,188,143,231
70,170,94,41,154,210,365,188,143,232
70,170,93,41,153,208,365,187,142,231
68,170,93,41,153,209,364,188,142,232
69,170,94,41,153,209,364,187,143,231
69,170,94,41,153,210,365,188,143,232
70,170,94,41,153,209,364,188,143,232
70,171,94,41,153,209,365,188,143,233
70,171,95,42,153,210,365,187,143,232
70,170,94,41,153,208,365,187,143,232
70,170,94,42,153,209,364,188,143,232
70,170,94,42,153,209,364,188,142,232
70,170,95,42,154,209,365,188,143,232
70,170,94,41,153,209,365,188,143,233
69,170,94,41,154,209,365,187,143,232
69,169,94,41,153,209,365,188,142,232
69,170,94,40,153,209,364,187,142,232
69,170,94,41,154,209,365,187,143,231
