MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
45,144,62,29,110,200,334,178,106,186
46,143,62,29,111,200,334,177,107,186
45,144,62,30,111,200,335,177,106,186
46,143,61,29,110,199,334,176,106,185
45,144,62,29,110,199,333,177,106,185
46,144,63,30,111,200,335,177,106,186
45,143,62,30,110,200,334,177,107,186
46,144,63,30,111,200,335,178,106,186
46,144,61,30,110,200,334,178,105,185
46,143,62,29,110,199,333,177,105,186
45,143,62,29,111,200,335,177,106,187
46,144,63,29,111,200,334,177,106,186
46,144,63,30,111,200,336,177,107,186
46,143,62,29,111,200,334,177,106,186
45,144,62,29,111,200,335,177,106,186
45,142,61,29,110,200,334,177,107,186
46,144,62,30,111,200,335,177,107,186
45,144,62,30,111,200,334,177,105,187
46,143,62,29,111,200,335,177,106,187
45,143,61,29,111,200,334,176,106,186
46,144,63,30,112,200,334,178,107,186
46,143,63,30,111,200,333,178,106,186
47,143,62,29,111,200,334,177,105,187
46,144,62,30,110,200,334,178,106,186
45,143,62,29,111,199,334,176,106,186
45,143,62,26,110,200,334,176,106,186
46,143,62,29,111,199,334,177,106,186
46,142,62,29,111,199,334,177,106,186
45,143,62,29,110,199,333,177,106,186
46,144,63,30,111,200,333,178,106,186
45,143,63,30,110,200,336,177,106,186
46,143,62,29,111,200,334,175,105,185
46,143,61,29,110,199,333,177,106,186
45,143,62,29,110,200,334,177,106,186
46,144,63,30,111,200,334,177,107,187
45,142,63,30,111,200,334,177,106,186
45,143,62,30,110,200,334,176,106,186
46,143,61,29,111,200,334,177,106,186
46,143,62,30,111,199,333,177,106,186
46,143,63,28,111,199,334,176,105,186
46,143,61,29,110,200,334,177,106,186
45,143,62,29,110,200,334,176,106,185
46,143,62,30,111,200,334,177,106,186
46,143,62,29,111,199,333,177,106,185
45,142,62,29,110,199,335,177,106,187
46,143,62,29,111,200,335,177,106,186
45,143,61,29,111,199,334,176,106,186
46,143,62,30,111,200,335,177,106,186
46,143,61,29,111,200,335,177,106,186
46,143,62,29,111,200,334,177,106,186
45,143,63,29,111,200,334,177,107,186
46,143,62,29,111,199,334,177,106,186
47,144,62,29,110,199,334,177,106,186
45,144,63,30,111,199,334,177,106,186
45,143,62,29,110,200,334,178,106,186
45,143,63,29,110,199,334,177,106,186
45,143,63,29,111,199,334,177,106,185
47,144,62,30,111,199,333,177,106,186
45,144,64,30,111,200,334,177,107,186
46,143,62,29,110,200,333,176,105,186
46,142,62,29,111,199,334,176,105,185
46,144,62,29,111,200,334,177,107,186
45,143,63,28,110,200,334,176,107,186
45,143,62,30,111,200,333,177,107,185
45,143,62,29,110,200,334,176,106,185
46,143,63,30,110,201,334,177,107,186
46,143,61,29,110,199,334,177,106,186
46,144,63,30,111,200,334,177,106,186
46,143,62,29,111,200,333,176,106,185
45,144,61,29,111,200,334,176,106,186
45,143,62,29,111,199,334,177,106,187
46,144,62,29,111,200,334,177,106,186
46,143,62,29,111,200,335,177,106,186
46,144,62,30,111,200,334,177,107,186
45,143,61,30,110,200,334,177,106,186
