MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
57,106,74,29,141,155,310,162,108,181
56,107,74,31,141,156,311,163,109,181
56,106,74,30,141,155,311,161,108,181
57,106,74,30,141,156,310,163,109,181
56,106,74,29,141,155,311,162,108,181
57,106,74,31,140,156,310,162,107,181
56,107,74,30,142,155,310,161,109,181
57,107,74,32,141,156,311,163,107,181
56,107,74,30,141,155,311,162,108,180
56,107,75,31,141,156,311,163,108,181
57,106,74,30,141,154,310,162,108,180
57,107,74,31,142,156,311,162,108,181
57,107,75,30,141,156,311,163,107,181
57,107,73,30,141,155,311,162,108,180
57,107,74,30,141,156,311,163,109,181
58,106,74,30,140,155,311,162,107,181
56,107,74,31,141,154,311,162,108,181
57,106,74,30,141,156,311,162,108,181
56,107,74,30,141,155,311,163,108,181
56,107,74,30,140,156,311,162,108,180
57,106,74,30,141,155,310,163,108,181
57,107,74,30,141,155,312,162,107,181
57,106,74,31,141,155,310,162,108,182
57,106,74,29,141,155,311,163,108,181
56,107,73,30,141,156,311,162,108,180
57,106,74,30,140,153,311,162,107,181
57,107,75,31,141,156,311,162,108,181
56,107,73,30,141,155,311,162,107,181
56,106,72,30,140,155,311,162,108,181
57,106,74,31,141,155,310,162,107,181
57,108,74,30,141,155,311,162,108,182
56,106,74,30,140,156,311,162,108,180
56,106,74,29,140,155,311,163,108,181
57,106,74,30,140,154,310,162,108,181
56,107,74,29,141,155,312,162,108,181
56,106,73,30,141,156,310,162,107,181
57,105,74,29,140,155,311,163,108,181
57,106,74,30,141,155,311,162,108,181
57,106,74,29,140,155,312,162,107,181
56,106,74,30,141,155,311,163,107,181
56,107,74,30,141,154,311,162,108,181
58,107,74,31,140,155,311,162,109,181
57,107,74,29,142,155,311,162,108,181
57,106,73,30,140,155,311,162,108,180
56,105,74,29,140,154,311,162,107,181
56,107,74,30,141,155,311,162,108,181
56,106,73,30,141,155,311,162,108,181
