MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
61,108,82,35,150,152,317,166,118,198
61,108,83,36,150,152,318,167,119,199
61,109,82,36,150,152,318,166,118,199
61,108,83,36,149,152,318,166,118,198
61,109,83,36,150,152,318,167,118,199
62,108,83,36,150,151,318,167,119,199
61,108,83,35,150,153,317,167,118,199
61,108,82,36,149,152,318,166,118,198
61,109,83,35,150,152,318,166,118,199
61,107,83,36,150,152,318,166,118,198
61,108,82,36,151,152,317,166,118,198
61,109,83,36,150,152,318,167,119,200
61,107,83,35,150,151,318,167,118,199
61,108,83,36,150,152,317,166,117,199
61,108,83,36,150,152,318,167,119,199
61,108,82,36,150,152,317,166,119,198
61,108,83,35,150,152,317,166,118,199
62,108,84,36,150,152,318,167,118,200
62,109,84,36,150,153,318,166,118,199
61,108,83,35,150,151,317,166,118,199
59,107,82,36,150,152,317,166,118,198
61,107,82,36,149,152,317,166,117,199
62,108,84,36,150,152,318,167,118,200
61,108,83,36,151,152,317,166,118,198
62,109,82,36,150,152,317,167,119,199
61,109,83,36,149,151,317,165,118,199
61,109,84,36,151,153,318,167,118,200
60,108,83,35,150,151,318,166,118,200
61,108,83,36,150,152,317,167,117,199
60,109,83,36,150,153,318,166,118,200
61,109,83,36,151,152,318,166,119,200
61,108,82,36,150,152,317,166,118,199
61,108,82,35,150,151,317,166,117,199
60,109,83,36,150,152,318,166,118,201
61,108,83,36,150,152,317,168,118,199
60,108,82,36,149,152,317,166,118,199
60,109,83,36,150,152,317,166,118,199
61,108,83,36,149,152,317,166,118,200
60,108,82,37,150,152,317,165,118,199
61,108,83,35,149,152,317,166,118,200
61,108,84,35,150,152,318,166,118,200
61,108,83,35,150,151,318,166,117,200
61,109,84,36,150,153,317,167,117,201
63,106,84,35,150,151,317,166,117,199
62,109,83,36,150,152,318,166,118,201
60,108,85,33,150,152,317,164,117,200
61,108,83,35,150,152,317,167,118,200
61,109,84,36,150,151,317,167,118,200
61,108,83,36,150,152,317,166,118,198
61,108,83,36,150,152,317,166,119,199
60,108,83,35,149,152,316,166,117,199
61,108,82,36,149,152,317,165,118,199
61,108,84,35,150,151,317,166,117,200
61,108,82,36,149,150,317,166,118,199
61,108,82,36,150,152,317,166,118,199
61,108,82,35,149,150,317,166,117,198
61,109,83,36,150,152,318,166,117,200
60,108,82,36,149,152,317,165,118,199
60,108,82,36,149,152,316,166,118,198
61,107,83,35,148,153,317,167,117,198
61,108,82,35,150,152,316,166,118,198
60,107,82,36,149,152,317,166,117,198
61,107,82,35,150,152,316,166,117,197
61,108,83,36,149,152,318,165,118,199
62,109,84,36,149,152,317,166,118,200
61,108,84,35,149,152,317,166,118,200
61,108,83,36,150,152,317,167,117,199
60,108,83,35,150,151,317,166,117,199
60,108,82,36,150,151,317,165,117,199
61,107,82,35,149,151,316,166,117,198
61,108,82,36,149,152,316,166,118,198
61,108,83,35,149,152,317,166,118,199
61,108,82,36,149,152,317,166,119,198
61,108,83,36,149,152,316,166,118,197
61,108,83,36,149,152,317,165,118,198
61,108,83,36,149,152,317,166,118,199
60,108,83,35,149,151,316,166,117,198
61,108,83,36,150,151,317,166,118,199
61,108,82,35,150,151,316,167,117,197
60,108,82,36,149,152,317,165,118,197
61,108,82,36,149,152,317,165,118,199
61,108,83,34,150,152,316,167,117,197
61,108,83,35,150,151,317,166,117,198
61,108,83,36,149,152,317,165,118,198
61,108,83,37,150,152,316,166,118,198
61,108,82,35,149,151,317,166,117,197
61,108,82,35,149,152,317,166,118,197
61,108,83,36,150,152,317,166,119,198
61,109,83,35,149,152,318,166,117,198
61,108,82,36,149,152,317,166,118,197
61,109,83,36,150,152,317,166,118,198
61,108,83,37,150,152,317,166,118,198
61,108,83,37,149,152,317,166,118,198
61,107,83,35,149,152,316,166,117,197
61,109,83,36,150,152,318,167,118,198
59,108,83,36,150,152,318,166,117,198
60,108,83,36,149,152,318,166,118,199
61,108,83,36,150,151,318,167,117,198
61,108,84,36,150,152,317,166,118,199
62,108,84,36,150,152,318,167,118,199
61,108,83,35,150,151,317,166,118,198
61,108,82,36,150,151,317,166,118,197
62,109,84,36,150,152,318,167,118,198
62,108,83,36,150,152,317,167,118,198
60,109,83,37,150,153,317,167,118,199
62,108,83,36,150,152,319,166,118,199
60,108,82,35,149,152,317,166,118,198
61,108,84,36,150,152,316,166,118,197
62,107,82,36,149,152,317,166,118,198
61,109,82,35,150,152,317,166,118,198
62,108,83,36,150,152,317,167,118,199
61,107,83,36,150,151,316,166,117,198
61,108,83,37,151,152,317,166,118,199
60,109,83,36,150,152,318,166,118,199
61,108,82,34,149,152,318,165,117,198
60,108,82,36,149,152,316,165,117,198
62,107,82,35,150,151,317,166,118,197
61,108,82,36,150,152,318,166,118,198
61,109,84,36,150,152,317,166,118,199
62,108,83,36,150,152,317,166,118,199
61,109,83,36,151,152,318,166,118,198
60,109,83,36,150,152,318,166,118,199
60,107,83,35,149,151,317,166,117,198
61,108,82,36,150,152,318,167,118,198
61,109,83,36,150,152,317,166,118,199
60,108,83,36,150,152,318,166,117,198
61,108,83,36,151,152,318,167,118,199
61,109,82,36,149,152,317,166,118,198
61,108,83,37,151,152,318,167,118,198
61,108,83,36,150,152,318,167,117,199
61,109,83,36,150,152,318,167,118,199
61,109,83,36,150,152,317,166,117,200
61,109,82,36,150,152,317,166,117,199
60,109,83,36,149,152,318,166,118,199
61,108,82,35,149,152,317,166,118,199
61,109,83,35,149,152,318,166,118,200
61,109,83,36,150,152,318,167,119,200
61,109,83,36,150,153,317,167,118,199
61,109,83,36,150,153,319,167,118,199
62,109,83,36,150,152,318,167,119,200
61,109,84,37,150,152,318,167,118,200
61,107,83,36,149,153,317,166,118,198
61,109,83,36,151,152,318,167,117,199
61,108,82,35,150,153,316,166,117,199
60,108,83,35,150,151,318,166,117,200
61,108,82,36,149,152,318,166,117,199
61,108,83,36,149,151,317,166,118,198
61,109,84,35,150,152,318,167,117,199
61,108,82,35,149,152,317,166,117,199
60,108,82,36,150,152,318,166,117,199
61,108,82,36,149,152,317,167,118,199
61,109,83,36,150,152,318,166,118,200
61,108,83,35,150,151,317,166,118,199
61,108,83,36,150,152,317,166,120,199
60,109,82,36,150,152,318,166,118,200
61,109,83,37,150,153,318,166,118,199
61,108,82,36,150,152,317,166,117,199
61,109,83,36,150,152,318,166,118,200
61,109,83,36,150,152,318,168,117,199
62,108,83,37,149,152,316,167,118,198
61,108,82,35,150,152,317,167,118,199
60,109,83,36,149,152,318,166,118,199
61,109,83,36,150,152,317,166,118,199
62,108,84,36,149,153,318,166,117,200
61,108,83,36,150,152,317,166,118,199
61,107,82,35,149,151,317,166,118,199
61,109,83,36,149,152,317,166,118,200
61,108,83,35,150,152,317,165,117,199
60,109,83,36,150,152,318,167,118,199
61,108,82,36,149,152,317,167,118,198
61,109,84,37,150,152,317,167,118,199
61,108,83,36,150,152,317,166,117,198
61,109,83,36,150,153,317,166,118,200
61,109,83,36,151,152,318,166,118,199
61,109,83,36,150,152,318,166,118,199
61,108,83,35,150,152,317,166,117,198
61,109,83,36,149,153,318,166,119,198
62,108,82,37,150,152,317,166,117,198
61,108,83,35,150,151,317,167,117,199
61,108,83,35,150,152,318,167,118,198
61,109,82,36,150,152,317,166,118,198
61,109,84,36,150,153,318,167,118,199
62,109,83,37,150,153,319,167,118,199
60,109,83,36,150,151,318,166,118,198
61,109,83,36,150,152,317,167,117,198
61,108,82,35,148,152,317,167,118,197
60,109,84,36,150,153,318,167,118,199
61,108,82,36,150,153,317,168,118,198
62,109,84,36,150,152,318,167,118,199
60,108,82,35,150,151,318,166,118,197
61,110,83,36,150,152,318,167,119,197
61,108,82,35,149,151,317,166,118,196
61,108,83,36,150,151,318,166,117,197
61,109,83,35,150,152,317,166,118,196
61,108,84,35,150,153,318,167,118,197
61,109,83,36,150,152,318,167,118,196
62,108,83,36,151,152,317,167,118,196
59,108,83,36,150,151,318,166,117,196
60,109,82,36,150,153,319,166,118,196
61,107,82,35,149,152,317,166,117,195
60,108,83,36,149,152,317,166,117,196
61,108,82,36,149,152,318,166,117,196
60,108,83,36,150,152,317,167,117,196
62,109,84,36,150,152,318,167,118,195
60,109,82,36,149,150,317,166,118,195
61,107,82,36,150,152,317,166,117,195
60,108,82,35,150,151,317,166,117,195
61,108,83,36,150,152,318,167,118,195
61,108,83,35,149,151,317,167,117,196
61,108,82,36,149,152,318,166,117,196
61,108,83,35,150,152,317,167,118,196
61,109,83,36,150,152,318,166,118,196
61,108,82,36,150,152,318,167,118,195
60,110,83,36,150,152,318,166,118,196
62,109,82,35,149,152,317,166,117,196
62,109,83,36,150,152,318,167,118,196
61,108,83,35,150,151,318,166,117,196
61,108,82,36,149,152,318,166,117,195
61,109,83,37,150,153,318,167,118,196
61,108,83,35,150,153,318,166,117,197
62,109,83,36,149,152,318,167,118,196
61,110,82,36,149,152,318,167,118,197
61,108,83,35,149,151,317,167,117,196
62,107,83,36,149,152,317,166,117,195
61,108,83,35,150,151,318,167,118,196
61,109,84,37,149,153,318,166,118,197
61,108,83,35,149,151,318,167,117,196
62,110,84,36,151,152,318,167,119,197
61,108,84,36,150,152,317,167,118,196
62,109,83,36,149,153,318,166,118,197
58,109,83,36,150,153,317,167,118,195
61,108,82,35,149,152,317,167,118,195
61,109,82,35,149,152,317,166,118,196
62,109,83,35,150,152,318,167,118,197
61,109,83,36,150,152,318,167,117,196
61,107,83,35,150,151,317,166,117,196
61,109,83,36,150,152,317,167,118,196
62,108,83,35,149,152,316,167,116,196
61,109,83,35,150,152,318,166,117,197
61,108,83,36,149,152,318,166,117,195
61,108,83,36,150,152,317,167,117,195
61,108,82,36,149,152,317,166,117,196
61,108,82,36,149,152,318,166,118,196
61,109,82,35,149,152,317,167,117,195
61,108,83,35,150,153,318,167,118,196
61,109,82,36,149,152,317,166,117,195
61,109,82,36,149,152,317,167,117,196
60,108,83,34,148,151,318,166,116,196
61,109,83,37,150,152,318,167,118,196
62,109,84,37,149,152,318,167,118,197
61,108,82,36,149,152,317,166,118,196
61,109,83,36,150,152,318,167,118,195
61,108,82,35,149,152,317,167,117,196
61,108,83,35,150,153,318,167,117,197
61,110,83,36,149,152,319,168,118,196
62,109,83,37,151,153,318,167,117,197
62,109,84,36,150,153,318,167,118,197
58,108,83,35,150,152,317,167,116,196
61,108,83,37,150,152,317,167,117,196
61,108,83,35,151,150,318,166,117,196
62,109,83,36,150,152,318,166,117,196
62,108,83,36,150,152,317,167,117,196
61,109,83,36,150,152,318,167,118,196
60,108,83,36,149,152,317,168,117,196
61,108,82,35,149,152,317,166,117,196
60,108,82,34,150,152,317,167,117,196
60,109,83,35,149,152,318,167,117,197
61,109,83,36,150,152,318,167,118,197
61,109,83,36,150,152,318,167,118,197
61,110,83,36,150,152,318,167,118,197
60,109,83,37,150,151,317,167,118,196
61,108,82,35,150,152,318,167,117,197
62,109,83,35,151,152,318,167,117,196
60,109,84,36,150,152,318,166,118,197
61,109,83,35,149,152,317,166,118,197
62,109,82,36,150,152,319,168,117,197
61,109,83,37,149,152,318,166,117,197
62,109,84,36,149,152,317,167,118,197
60,108,82,36,150,151,318,166,117,196
61,109,83,37,150,153,318,167,118,196
60,108,83,36,149,153,317,167,117,197
61,109,82,36,149,152,317,166,118,198
61,110,83,36,150,152,318,166,118,197
61,108,82,36,150,152,318,167,118,197
61,108,82,36,149,152,317,167,117,197
61,108,82,36,149,152,317,166,118,196
61,108,83,36,150,152,317,167,117,197
62,109,83,36,149,152,318,168,117,197
61,109,83,35,149,153,318,167,117,197
61,108,83,35,150,152,317,167,117,196
61,109,84,36,150,153,317,167,118,196
61,108,82,35,150,151,318,166,117,196
61,110,83,36,150,152,318,167,117,196
61,109,82,35,149,152,318,166,118,197
60,108,82,36,150,151,317,167,117,196
61,109,84,37,149,152,318,167,118,196
61,109,83,35,150,152,318,167,117,197
61,108,82,36,150,152,317,166,118,196
61,109,83,36,150,152,317,166,117,196
60,108,82,36,149,152,318,166,117,198
61,109,83,35,150,152,318,166,118,197
61,107,83,36,149,150,316,167,118,196
62,109,83,35,150,152,317,167,117,197
61,109,83,36,150,153,319,167,118,197
61,109,83,36,150,152,317,167,117,196
62,109,83,36,150,153,318,167,118,196
59,109,82,34,149,151,317,167,117,196
61,109,84,37,150,153,318,167,117,198
61,108,82,36,149,152,318,166,117,196
61,108,82,36,149,152,318,167,117,196
61,108,82,36,150,152,318,166,117,196
60,108,82,36,149,152,318,167,117,197
61,108,82,36,150,153,318,167,118,196
61,109,82,36,150,152,318,167,117,196
61,109,83,36,150,152,318,167,118,196
62,108,82,36,149,152,318,167,118,197
61,109,83,36,150,153,318,167,118,197
61,109,83,35,149,152,317,167,117,197
62,109,83,36,149,153,317,167,117,197
61,109,83,36,150,152,318,167,117,197
61,107,83,36,149,152,318,166,117,197
60,108,82,36,149,152,317,166,117,196
61,109,83,36,150,152,318,167,118,197
61,109,84,36,150,152,318,168,118,198
61,108,83,36,150,151,318,167,117,197
61,109,82,36,149,153,318,166,117,196
61,108,82,35,150,153,318,167,116,196
61,109,83,37,150,153,318,167,118,197
61,108,82,35,149,153,319,168,117,197
62,109,82,35,149,153,317,167,117,197
62,109,83,36,151,153,318,167,118,197
61,109,83,35,150,152,318,167,117,198
61,109,83,36,150,152,318,167,118,198
61,109,82,36,150,152,318,166,118,197
62,109,83,36,150,153,318,168,118,197
61,110,83,36,150,153,318,167,118,198
61,109,82,35,150,152,318,167,118,197
61,110,83,36,150,153,319,168,118,197
61,109,84,35,150,153,318,167,118,198
62,108,82,35,150,152,318,167,116,196
61,109,83,35,150,153,318,167,117,198
60,109,83,35,150,152,318,167,117,197
61,109,83,36,150,152,318,167,117,198
61,110,83,37,151,153,318,167,117,198
61,110,83,36,151,152,319,167,118,199
61,109,84,35,150,152,319,167,117,197
61,109,82,36,150,152,318,167,116,196
61,108,83,35,150,152,318,167,117,196
61,109,83,37,150,153,318,167,117,198
62,108,83,36,150,152,318,167,117,197
61,109,83,36,150,152,319,167,117,197
61,109,83,36,151,153,318,167,118,197
61,107,82,36,149,153,318,167,117,197
61,109,82,35,150,152,318,167,117,198
61,109,82,36,149,153,318,167,117,198
61,109,83,36,150,153,318,167,117,198
61,108,83,36,150,152,318,167,117,197
61,110,82,36,150,153,319,167,117,197
61,109,83,37,151,152,319,167,118,198
62,110,84,37,150,153,319,168,118,198
61,108,83,35,150,152,318,167,118,198
61,109,83,36,150,153,319,167,118,198
61,109,83,36,150,153,318,167,118,196
60,108,82,36,149,152,317,167,117,196
61,109,83,35,150,154,318,167,117,198
62,109,83,35,150,153,318,167,117,197
61,108,83,35,150,153,318,167,117,197
61,109,83,37,151,154,318,167,118,197
61,109,84,37,150,153,319,168,118,199
62,110,84,37,150,154,319,168,118,198
62,109,83,36,150,153,318,167,117,197
61,108,83,35,150,153,317,167,117,197
62,110,83,36,151,153,318,168,117,198
61,109,82,35,149,153,317,168,117,197
61,108,81,35,150,152,318,167,117,197
61,109,83,36,151,153,318,168,118,198
62,108,83,36,150,153,318,166,118,198
61,108,83,34,150,152,319,167,117,198
62,110,83,36,150,153,319,167,118,198
61,108,83,36,150,152,318,167,117,197
62,108,82,36,150,153,318,167,118,197
61,109,83,37,150,153,318,168,118,197
61,109,82,36,150,153,319,167,117,198
61,107,82,36,150,153,318,167,119,197
61,109,83,37,150,153,318,168,118,196
61,109,83,36,150,152,319,167,118,197
61,107,82,36,149,153,319,168,117,197
60,108,82,36,150,153,319,167,118,197
61,109,83,36,150,153,318,168,118,198
61,108,83,35,149,153,318,168,117,197
61,109,82,36,150,152,318,167,118,197
62,109,82,36,150,153,318,168,118,197
61,109,83,36,150,153,318,167,117,197
62,109,83,36,150,153,319,167,118,197
62,110,84,36,150,154,318,168,117,197
61,110,82,36,149,153,318,167,118,197
62,109,83,37,150,154,318,168,118,197
61,109,82,36,150,152,319,167,118,197
62,109,83,36,151,152,318,168,117,197
62,109,84,36,151,153,319,168,118,198
62,109,82,36,150,153,318,168,117,197
61,109,84,36,150,154,319,167,118,198
61,108,83,36,150,152,319,167,117,197
61,109,83,35,150,153,318,167,117,197
61,109,83,35,150,153,318,167,117,197
61,109,83,36,150,151,318,167,117,197
61,109,84,36,151,153,318,168,117,197
62,109,83,36,150,153,319,168,118,198
62,110,84,37,150,153,319,168,118,198
62,109,82,37,150,153,318,167,117,197
62,110,83,36,151,153,319,168,118,198
61,109,84,37,151,153,320,167,117,199
61,109,83,36,150,152,319,167,118,198
61,109,84,36,150,155,319,168,117,197
61,108,83,37,151,153,318,167,118,197
61,108,82,35,150,153,318,167,118,195
61,110,82,36,150,153,320,168,118,197
61,109,82,36,150,152,318,167,117,197
61,108,83,35,150,152,318,167,117,197
60,108,83,35,150,152,318,166,118,197
60,109,83,36,150,153,319,167,118,197
61,109,84,37,150,153,319,168,117,197
62,110,84,36,150,153,318,168,118,197
62,109,83,37,150,154,318,168,118,197
61,110,83,36,151,153,318,167,118,198
62,111,83,36,151,153,318,167,117,198
62,110,83,36,149,154,318,168,118,198
62,109,83,35,150,153,316,168,116,197
61,109,83,36,151,153,319,167,118,197
60,109,82,35,150,152,318,167,117,197
61,109,82,35,150,153,319,167,117,198
60,109,83,35,150,153,319,167,118,198
61,109,83,36,150,152,318,167,118,197
61,110,83,36,151,153,319,167,118,197
60,109,83,36,149,153,319,168,117,197
62,109,82,35,150,153,318,167,118,198
61,109,83,35,150,153,319,168,117,199
62,109,82,36,150,153,319,167,118,198
62,109,84,36,150,153,318,168,117,198
61,108,83,36,150,153,319,167,117,198
61,110,83,36,150,153,319,168,118,197
61,109,83,36,150,153,318,168,118,197
61,109,83,36,150,154,319,168,118,198
61,108,83,36,150,153,319,167,117,197
61,109,83,36,150,153,318,168,117,198
61,109,83,36,150,152,318,167,117,197
61,109,82,36,150,153,318,167,117,198
61,109,86,36,151,153,318,168,118,198
62,110,83,36,151,153,318,167,117,197
61,110,83,36,150,153,319,168,118,198
61,110,84,36,151,153,320,168,118,198
61,108,83,36,150,152,318,167,117,197
61,109,83,36,150,153,318,167,117,197
61,110,83,36,150,153,320,168,118,199
60,110,83,37,150,153,319,167,119,198
62,110,83,36,150,153,318,167,117,197
61,109,83,35,150,153,318,167,118,198
61,109,82,35,150,153,318,167,117,198
61,108,83,36,150,152,318,168,118,198
61,109,83,36,150,153,318,167,117,198
61,110,83,36,151,154,319,167,118,198
61,108,83,36,150,153,319,168,117,198
61,109,84,36,151,153,320,168,118,198
61,110,83,36,151,153,319,168,117,198
62,109,84,37,150,154,319,167,118,198
61,108,83,36,150,153,319,167,118,198
62,109,83,36,150,153,319,168,117,198
62,109,83,36,150,153,319,167,117,198
62,110,83,37,150,153,319,168,119,197
62,109,83,36,151,153,318,168,117,197
61,109,82,36,149,153,318,168,117,197
62,110,84,36,150,153,319,168,118,198
62,109,82,35,150,153,319,168,118,197
61,110,83,37,151,153,319,167,119,198
62,110,83,36,150,153,318,168,117,197
61,109,83,37,149,153,318,168,118,198
62,110,83,36,150,153,319,167,117,197
61,109,82,36,150,153,318,167,118,197
60,109,84,35,150,153,319,168,117,197
61,109,83,36,150,153,318,167,117,198
61,109,83,35,149,153,319,167,118,197
61,109,82,36,151,153,318,167,117,198
62,109,83,35,149,153,318,167,117,197
62,110,84,37,150,154,318,168,118,198
62,109,82,36,151,153,318,168,118,197
62,109,84,36,151,154,318,168,117,197
61,109,83,36,151,153,318,167,117,198
62,110,83,36,150,153,319,168,118,199
61,109,82,36,150,153,318,168,118,197
61,110,84,37,150,153,319,167,118,198
61,113,83,36,151,153,319,168,117,199
62,109,83,36,150,154,318,168,118,198
62,109,84,36,150,153,319,167,117,198
61,109,84,36,150,153,319,168,117,197
61,110,84,36,150,153,320,168,118,198
61,110,83,37,151,154,320,168,118,199
61,109,83,35,149,153,318,167,117,197
61,110,83,36,150,153,320,168,118,198
61,109,83,36,149,153,319,167,117,198
62,108,82,36,150,153,318,168,117,197
61,109,83,36,150,153,319,167,117,198
62,110,83,36,150,153,319,167,118,197
61,110,83,36,151,153,318,168,118,198
61,109,83,35,150,153,318,167,118,197
61,110,83,35,150,153,319,167,118,199
62,110,83,37,150,153,320,168,118,199
62,109,84,36,150,153,319,168,117,198
61,108,82,36,150,153,318,168,118,199
60,110,84,36,151,153,319,167,118,199
61,109,83,36,150,153,318,167,118,198
62,110,84,36,150,153,319,168,117,200
62,109,83,35,150,152,319,167,117,197
61,110,83,36,151,153,319,167,117,199
61,109,82,36,150,153,318,168,117,198
62,110,82,36,150,153,318,168,118,198
61,109,83,36,150,153,318,168,118,198
61,109,83,36,151,153,318,167,118,198
61,108,81,36,149,153,318,167,118,197
61,109,83,36,151,153,320,167,117,198
60,109,82,36,149,153,318,168,118,197
61,108,84,36,150,153,319,167,117,198
62,109,84,36,151,154,319,168,117,198
61,109,84,35,151,153,319,168,118,198
62,109,82,35,151,152,319,167,117,197
62,109,83,36,151,154,319,168,117,197
62,109,83,35,150,153,319,168,117,197
61,110,83,37,150,154,320,168,118,198
62,110,83,37,150,153,319,169,118,198
62,109,83,37,150,154,319,168,118,198
62,108,84,37,150,153,320,168,118,198
61,109,83,36,150,153,319,167,117,198
61,109,82,36,149,153,318,167,118,198
61,109,83,36,149,153,318,168,118,197
61,109,84,35,150,153,319,168,117,198
62,109,83,35,150,153,319,167,117,198
62,108,83,35,150,153,318,167,119,197
62,109,83,36,150,153,319,169,118,198
61,109,83,36,150,153,319,168,118,197
61,109,83,35,150,153,318,168,116,198
