MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
43,127,57,28,106,193,330,170,104,176
44,128,58,29,107,193,331,171,104,177
44,128,57,28,107,191,330,170,104,177
43,124,57,28,107,192,330,170,104,176
44,128,58,29,107,193,330,170,104,177
43,127,57,28,107,192,330,170,103,176
43,128,57,28,107,193,330,170,103,177
44,127,58,28,106,192,329,170,103,176
44,127,57,28,107,192,330,170,103,176
43,127,58,28,107,192,330,170,102,177
44,128,57,29,108,193,330,171,104,177
44,127,58,29,107,192,330,170,104,176
44,128,58,29,107,193,331,171,104,176
43,128,57,29,106,192,330,170,104,175
44,129,59,28,108,192,331,171,103,177
45,128,58,28,107,193,330,171,103,176
44,128,58,28,107,192,330,170,103,176
44,127,58,29,106,193,330,170,104,177
45,128,58,28,107,192,330,170,103,176
44,128,58,29,107,193,331,171,104,176
43,128,57,28,107,192,331,170,103,176
44,127,57,29,107,192,330,171,103,176
43,127,58,28,111,193,330,170,104,176
44,128,59,28,107,193,331,170,103,177
45,128,58,29,106,193,330,171,103,176
44,128,58,29,107,192,330,170,103,177
44,129,58,29,107,193,331,171,104,176
45,129,57,29,108,193,332,171,104,177
43,128,58,29,107,192,331,171,104,177
44,128,58,29,108,193,332,171,104,177
44,128,58,28,107,193,331,171,103,176
44,128,58,29,107,192,330,170,103,176
44,128,58,29,107,194,331,171,104,177
44,128,57,28,106,193,330,171,103,177
44,129,57,29,106,193,331,171,104,177
44,128,57,28,106,193,331,170,104,177
44,128,58,29,107,193,331,171,103,178
44,128,58,28,106,192,329,170,103,177
43,128,58,29,107,193,332,171,104,177
44,128,59,29,107,192,331,171,104,177
44,128,57,29,107,193,330,171,103,177
45,128,58,29,108,193,332,171,104,177
42,128,58,29,107,193,331,170,103,177
44,128,58,29,107,193,330,170,104,177
44,128,58,29,106,192,330,171,103,176
44,129,58,29,107,193,331,171,105,177
45,128,59,29,108,193,331,171,104,177
44,128,58,28,107,193,331,171,104,177
44,128,57,28,107,193,331,170,103,177
45,127,58,28,107,193,330,172,103,176
44,128,57,29,106,193,331,170,104,176
44,129,58,30,107,193,331,172,104,177
44,128,57,28,106,193,334,170,103,177
44,128,58,28,107,192,332,170,104,176
43,128,58,29,107,192,331,170,104,176
44,128,58,28,107,193,331,171,104,176
43,128,58,28,107,193,331,171,104,177
44,128,57,29,107,192,330,171,103,177
44,128,57,29,106,193,331,171,104,177
43,128,58,28,107,192,331,171,104,177
44,128,58,28,108,193,332,171,104,177
44,128,58,29,107,194,331,171,104,177
44,128,58,30,107,194,331,171,103,176
44,128,58,28,107,193,331,171,104,177
44,128,58,29,107,193,331,170,103,177
44,128,58,29,108,193,332,171,104,177
43,128,58,28,108,192,330,171,103,178
44,128,58,29,107,193,331,171,103,177
43,128,58,29,107,193,332,171,104,177
44,128,58,29,107,192,331,171,104,176
44,128,58,29,107,193,332,171,105,177
44,128,57,28,107,193,332,171,104,177
44,128,58,30,107,193,331,171,104,177
43,128,58,28,107,193,331,170,103,177
44,129,58,29,107,193,332,170,104,178
