MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
49,128,65,33,120,204,347,186,120,180
49,128,66,32,121,203,347,186,120,180
49,128,64,32,120,203,347,187,120,180
48,127,65,32,121,203,347,185,120,179
49,128,66,33,121,204,348,187,121,180
48,128,64,33,120,204,347,186,120,180
48,126,64,32,120,203,347,185,120,180
49,128,64,33,120,204,348,185,121,180
48,127,64,32,120,204,347,185,121,180
48,127,64,33,120,205,347,186,120,180
48,127,64,32,120,204,345,186,120,179
49,128,64,33,121,204,348,186,120,180
49,128,64,34,120,204,346,185,120,179
49,128,64,34,120,204,347,185,120,180
48,126,64,33,120,204,347,186,120,180
49,128,65,33,121,204,348,186,121,180
48,128,65,33,120,204,347,185,120,179
49,128,64,33,120,203,348,185,120,180
48,128,64,32,120,203,347,186,120,180
49,128,64,33,120,203,347,186,120,180
49,126,65,32,120,204,347,186,120,179
48,128,64,32,120,203,348,186,120,179
49,128,64,32,121,204,348,186,121,180
49,128,65,33,121,204,348,187,120,180
48,130,65,34,121,205,348,186,121,180
49,127,64,31,121,204,347,186,120,180
50,128,65,34,121,204,348,186,121,180
49,128,65,34,121,204,348,185,120,179
49,127,63,33,120,204,347,185,121,180
48,128,65,34,121,204,348,186,120,180
49,126,64,33,121,204,347,186,120,179
49,127,63,33,120,204,347,185,121,180
49,128,64,33,121,204,349,187,121,180
50,128,65,33,121,204,348,186,121,180
49,126,64,32,121,204,347,186,120,180
50,128,65,34,121,204,348,187,121,180
50,128,65,34,121,204,347,187,120,178
49,127,64,33,121,204,347,185,120,179
49,126,64,33,121,204,347,186,120,180
48,122,64,33,121,203,347,186,120,180
49,127,65,34,121,204,348,186,121,179
49,124,64,33,121,203,347,185,120,180
49,126,64,32,120,203,347,186,120,180
49,126,64,33,121,204,347,185,120,180
50,126,65,34,121,205,347,186,121,179
49,126,64,33,121,204,347,186,120,180
50,127,65,34,121,204,347,187,121,179
50,126,65,33,122,203,347,186,120,180
49,125,65,33,122,204,348,186,120,180
50,125,65,34,121,204,347,186,120,180
50,125,65,34,122,204,347,186,122,180
50,125,65,34,122,204,347,186,120,180
50,127,66,34,121,204,348,187,121,181
50,126,65,33,122,204,347,187,119,180
49,126,65,33,121,204,347,185,120,179
50,126,65,33,122,204,346,186,120,180
50,126,65,32,121,203,347,186,120,181
50,128,66,34,122,204,348,187,121,180
49,126,65,34,121,204,347,186,121,180
49,125,65,32,122,204,348,185,121,180
49,126,65,33,121,204,348,185,121,180
50,126,65,34,122,204,347,186,121,179
51,126,65,34,122,204,348,186,122,180
50,126,65,33,122,203,348,186,120,180
50,126,65,33,122,204,348,186,121,180
49,126,66,33,122,204,348,186,121,181
50,126,66,34,123,204,346,186,121,180
50,126,64,33,122,204,348,186,121,179
50,126,66,33,122,204,347,184,121,180
51,128,65,33,122,204,349,187,121,180
51,128,66,34,122,204,348,187,122,181
49,126,65,33,123,203,348,186,120,180
49,126,65,33,123,203,347,186,120,179
50,128,65,34,123,204,348,186,122,180
50,127,65,33,123,203,347,186,121,180
50,128,65,32,122,203,348,186,121,180
50,129,66,34,123,204,348,186,121,180
51,126,66,33,122,204,347,186,121,180
50,127,67,33,123,204,348,186,121,180
49,127,65,34,122,204,348,186,122,180
50,128,67,35,123,204,348,187,121,179
50,126,65,33,122,203,348,186,121,179
50,127,66,33,122,203,348,187,121,180
50,128,66,33,122,204,348,186,121,180
50,128,66,34,123,203,349,186,121,181
49,126,64,33,122,203,347,186,121,180
50,127,66,33,122,204,348,187,121,180
51,127,66,34,123,204,348,187,121,180
50,128,67,34,123,204,348,186,122,180
50,127,66,34,123,204,348,187,122,181
50,125,65,33,123,203,348,186,120,181
50,126,65,33,123,204,348,186,120,180
50,127,65,33,122,204,348,186,121,181
50,126,65,33,122,203,347,186,121,180
50,126,66,33,123,204,348,185,121,180
50,127,66,34,122,204,348,186,121,181
51,127,66,34,123,205,348,186,121,181
49,127,66,34,123,205,348,186,120,181
51,126,66,35,123,204,347,186,120,179
50,126,66,35,123,204,348,187,121,181
52,126,65,34,123,204,347,186,122,180
51,126,66,33,122,204,347,186,121,180
50,126,66,34,124,203,348,186,121,180
50,125,66,33,123,204,348,186,121,180
51,126,66,33,124,205,348,187,121,181
50,126,67,33,124,204,349,187,122,180
51,126,65,33,123,203,347,186,120,180
51,126,67,33,124,204,348,186,121,180
51,126,66,34,123,204,347,186,121,179
50,125,66,33,123,204,348,187,121,180
50,125,66,33,123,203,348,186,121,180
50,126,66,34,124,204,348,187,120,180
50,126,65,33,123,204,348,186,121,180
51,125,65,34,123,204,348,186,121,180
51,127,66,34,124,204,348,187,121,180
50,126,66,33,123,204,348,185,121,181
50,125,66,30,123,204,348,186,121,180
50,126,65,33,124,204,349,187,122,181
51,125,66,33,123,205,347,186,120,180
51,126,67,33,124,203,348,187,121,180
51,125,66,34,123,203,348,186,121,181
51,126,67,33,124,204,348,187,121,181
50,126,66,33,123,203,348,187,121,181
51,126,66,34,124,204,348,187,121,181
52,126,66,34,123,205,348,187,121,180
50,126,66,33,123,204,348,186,121,181
51,126,67,34,124,203,347,186,120,180
50,126,66,34,123,204,348,187,122,181
52,126,68,34,124,204,348,187,121,180
51,126,67,34,124,206,348,187,121,180
51,125,67,33,124,204,347,186,120,180
51,127,67,33,124,204,348,186,121,181
51,125,66,33,124,203,348,186,120,180
51,126,67,35,124,205,348,187,121,181
50,126,67,34,124,204,348,187,121,181
50,125,66,33,124,204,348,186,121,180
51,125,66,33,123,204,347,187,121,180
51,127,67,35,125,205,348,187,122,181
52,126,67,34,124,204,348,187,121,180
52,125,66,35,123,204,347,187,121,180
50,126,66,34,123,204,349,187,121,181
51,125,67,33,124,207,349,187,122,182
51,125,68,34,124,204,349,188,122,181
51,125,66,34,124,204,347,186,121,181
51,127,67,35,124,205,347,187,124,180
51,125,66,34,123,204,347,186,122,180
51,126,66,34,124,205,348,187,121,181
51,126,67,34,124,204,348,187,121,182
52,126,66,34,124,204,347,187,120,181
51,126,66,34,123,204,349,187,122,181
51,125,67,34,124,205,348,187,122,181
52,126,67,34,124,204,348,186,122,180
52,125,66,34,123,204,348,186,121,181
51,126,66,34,124,204,348,186,122,181
51,126,67,35,125,204,348,187,122,181
51,126,67,34,125,204,349,187,121,181
51,126,67,34,126,204,349,187,122,181
51,126,68,34,124,205,348,188,122,182
52,125,67,34,123,204,348,186,122,180
52,125,66,34,123,204,348,186,121,180
52,126,66,34,124,204,345,186,123,179
52,126,67,34,124,204,348,187,122,181
52,125,67,34,124,204,348,186,121,180
52,125,66,35,125,204,347,187,122,180
52,126,67,34,124,204,348,187,122,181
51,126,67,34,124,204,349,187,123,181
51,125,67,34,124,204,348,186,122,181
51,126,67,34,125,204,349,187,120,182
51,125,67,34,124,204,348,187,121,180
51,126,67,34,125,204,349,187,121,182
50,125,67,33,124,203,348,187,121,182
52,125,67,34,123,202,348,186,122,181
52,124,67,34,124,204,348,186,121,181
52,126,67,34,125,205,348,187,122,181
51,125,66,33,123,204,347,186,121,181
52,126,68,34,124,205,348,188,122,181
51,126,67,34,124,204,348,187,120,181
52,126,67,34,125,205,348,186,122,180
51,125,66,34,124,204,348,187,122,181
