MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
51,134,69,34,121,202,339,181,114,191
51,132,68,34,121,201,338,180,113,191
51,134,69,33,122,202,340,181,114,192
51,133,68,34,122,203,337,180,113,190
51,132,68,33,121,202,338,180,113,192
51,133,69,34,122,203,339,181,113,191
51,133,69,33,122,203,340,181,113,191
52,133,69,34,122,202,339,181,114,191
51,133,69,33,122,201,338,182,113,190
50,133,69,34,122,202,339,180,113,191
51,133,70,34,122,203,340,181,114,192
51,132,69,33,120,202,338,181,112,191
52,130,69,34,121,203,339,181,114,192
51,133,70,33,122,203,338,181,114,192
51,134,69,34,122,202,339,181,114,192
52,133,69,34,122,203,339,181,114,192
51,133,69,33,122,203,338,181,113,192
51,133,70,34,122,203,339,181,113,191
52,133,69,34,121,203,339,181,114,191
51,134,69,33,122,203,340,181,113,192
51,134,69,34,122,201,340,181,114,192
51,133,70,34,122,203,339,182,113,192
51,133,68,33,121,202,339,181,113,191
52,133,69,34,121,203,339,181,114,192
51,133,69,33,122,203,338,181,113,191
51,133,69,34,121,202,338,181,113,192
51,133,70,33,122,202,340,181,114,192
51,133,69,34,121,202,338,180,113,191
51,133,70,34,122,202,339,181,112,192
51,133,70,33,121,203,338,181,113,192
52,133,69,34,122,203,339,181,114,192
51,132,68,34,121,201,339,181,114,192
52,134,69,35,121,203,339,181,114,191
51,133,69,34,122,203,338,181,113,191
50,133,69,33,121,202,339,180,114,191
51,134,70,33,122,203,339,181,114,191
52,133,69,34,122,203,339,181,114,191
50,134,69,34,122,203,339,181,114,192
51,134,69,34,122,202,339,181,113,192
50,134,69,34,121,202,339,181,114,191
50,132,69,34,121,202,338,180,113,191
51,133,69,33,122,203,339,180,113,191
51,133,70,33,122,202,338,181,113,192
51,133,69,33,121,202,339,180,113,191
51,134,69,34,122,203,340,181,114,191
51,133,70,34,122,203,339,182,113,192
51,133,69,34,121,203,340,181,114,191
52,133,70,34,121,203,339,181,114,191
51,129,69,34,122,203,339,181,114,191
51,133,70,33,122,203,339,181,113,191
51,132,69,34,121,203,339,181,113,191
51,134,69,34,122,203,340,181,114,192
51,134,69,34,122,204,339,181,114,191
51,133,70,33,121,202,339,181,113,192
51,133,69,34,121,203,340,180,114,190
51,132,69,32,121,202,338,181,113,191
51,133,69,33,122,203,339,181,113,191
51,133,69,33,121,203,340,181,113,192
51,133,70,34,122,203,339,181,113,192
51,133,69,34,122,203,339,181,113,191
51,133,68,33,121,202,339,181,114,191
52,133,69,34,121,203,339,182,114,192
51,135,69,34,122,204,340,182,114,192
50,133,69,33,122,203,338,180,114,191
52,133,69,33,122,202,338,181,113,191
51,133,69,34,121,202,339,181,113,192
51,132,69,34,122,203,340,181,114,193
51,133,70,34,122,204,339,182,113,191
52,134,70,34,122,202,339,181,114,191
51,133,69,33,122,202,339,181,114,191
51,133,70,34,123,203,340,182,114,192
52,134,69,34,122,203,340,182,114,192
51,133,69,34,121,203,339,182,114,193
51,133,68,33,121,203,339,181,113,191
51,134,69,34,122,203,339,181,113,191
51,133,69,34,122,204,340,181,114,192
51,132,69,33,122,203,340,181,113,192
51,133,70,34,122,203,340,182,114,192
51,133,70,34,122,204,340,182,114,192
51,132,69,33,121,202,339,180,113,191
52,133,69,34,121,203,339,182,114,192
51,133,69,34,122,202,340,182,114,192
51,133,69,34,122,202,339,180,113,191
51,133,68,34,121,203,339,181,114,191
51,132,69,34,121,202,339,181,114,191
51,134,69,34,122,203,339,182,114,191
50,133,69,33,121,203,339,181,113,191
52,134,70,33,123,203,339,181,114,192
51,133,69,34,122,203,339,182,113,191
52,134,69,34,122,203,340,181,114,192
51,133,69,34,122,202,339,181,114,191
51,133,69,33,122,203,339,182,113,192
51,133,70,33,122,203,339,182,114,192
50,133,69,34,122,203,339,181,114,192
51,133,70,33,122,203,340,181,111,192
52,134,70,34,122,203,340,182,114,192
51,134,69,34,122,203,339,181,112,191
52,134,70,33,122,203,339,182,114,192
51,133,69,34,120,203,338,181,113,192
51,133,69,33,122,202,339,181,113,191
51,135,70,33,122,203,339,181,113,192
50,133,69,34,121,203,339,182,114,192
51,133,69,34,121,203,339,181,113,191
52,134,70,34,122,203,340,181,114,192
51,133,70,34,122,203,340,181,114,191
51,133,70,34,123,203,340,182,114,192
51,134,69,35,122,203,339,182,114,191
52,133,70,35,122,203,340,181,115,192
51,133,69,34,122,203,338,181,114,191
51,132,70,33,122,202,339,181,113,191
51,133,69,34,121,202,340,181,113,191
50,133,69,34,122,202,339,181,114,191
51,133,70,33,122,203,340,182,114,192
51,133,70,33,122,203,339,182,113,192
51,133,69,33,122,204,340,181,115,192
51,133,69,34,122,202,340,181,114,192
51,133,70,33,121,203,340,181,113,192
52,133,69,34,122,203,339,180,112,191
52,134,70,35,123,204,340,182,113,192
51,133,68,33,122,203,340,181,114,192
51,132,69,33,122,202,340,181,113,191
52,132,69,34,122,203,340,182,114,192
51,134,68,34,122,202,339,181,114,191
51,133,69,34,122,203,339,182,114,192
51,134,70,34,122,203,340,182,113,192
52,133,68,34,121,202,339,181,114,191
51,132,69,34,122,203,339,181,113,192
52,134,69,34,121,204,339,182,114,192
52,134,70,34,122,203,340,182,114,192
51,133,68,33,121,203,338,181,113,191
51,132,70,33,122,203,339,181,113,191
52,133,70,33,122,203,339,182,113,191
51,132,68,34,122,203,339,181,113,191
51,133,69,34,122,202,340,181,114,192
51,134,70,34,122,203,340,182,114,192
51,132,69,33,121,203,339,181,113,192
52,134,70,35,121,203,340,182,114,191
52,134,69,34,122,203,340,182,114,191
51,133,69,33,122,202,339,182,113,191
50,133,69,34,122,203,341,181,114,192
52,133,70,30,122,203,339,182,113,192
51,133,68,34,122,203,339,181,113,191
51,134,69,34,122,203,340,181,114,192
51,133,69,33,122,202,339,181,114,191
51,133,70,34,122,203,340,181,113,193
51,134,70,34,122,203,339,182,115,192
52,133,69,34,121,202,339,181,114,192
51,133,69,34,122,203,340,181,114,192
51,134,69,34,122,203,339,181,114,192
52,134,70,34,122,203,339,182,114,192
51,132,69,34,121,203,339,181,113,192
51,134,70,34,122,203,339,181,113,192
51,133,70,34,122,202,340,181,113,192
52,133,70,34,123,204,339,181,114,192
52,134,69,35,123,204,339,181,114,191
51,134,68,34,123,203,339,181,114,191
51,133,70,33,123,203,339,182,113,192
52,133,70,34,122,203,339,181,114,191
52,133,69,34,122,203,339,181,113,191
52,134,70,34,122,203,340,182,113,192
51,133,69,34,122,203,339,182,114,191
52,133,69,34,122,203,340,181,114,192
51,133,69,33,122,202,339,181,113,191
51,134,70,34,122,203,340,181,113,191
51,133,69,34,121,206,339,181,114,189
51,133,70,33,122,202,340,181,113,191
51,133,70,34,122,203,339,181,114,191
51,133,70,35,122,203,340,182,114,192
52,133,70,34,122,203,340,182,115,192
51,133,69,33,122,204,340,182,114,192
52,133,69,34,121,202,338,181,114,191
50,133,69,33,122,202,339,181,113,191
51,132,70,34,122,203,339,181,114,192
52,133,70,34,122,203,340,182,114,191
