MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
44,139,59,29,107,200,333,176,105,181
44,139,59,29,107,201,333,177,105,181
44,137,60,28,107,201,334,176,105,181
44,139,60,29,108,201,334,176,104,182
44,139,59,29,107,200,334,176,104,182
44,138,60,29,106,200,334,176,105,181
44,139,60,29,108,201,332,176,105,181
44,138,60,28,107,200,334,176,105,182
43,138,59,29,107,200,333,175,105,181
44,139,60,30,107,201,334,176,105,181
44,138,59,29,107,200,334,177,105,181
44,138,60,29,107,201,333,177,105,181
43,138,60,30,107,201,334,177,105,181
44,138,60,30,107,201,333,177,105,181
43,138,60,29,107,200,334,177,104,182
44,137,59,28,106,199,333,175,104,181
44,138,60,28,106,199,333,176,104,181
44,139,60,30,107,200,334,177,105,182
44,138,59,28,106,200,334,176,104,181
44,139,60,29,108,201,333,176,105,181
44,138,60,29,107,200,333,176,105,181
44,138,60,30,108,200,334,177,105,181
44,138,60,29,107,201,334,176,105,182
43,138,59,28,107,200,334,176,104,181
43,137,59,29,107,200,333,176,104,181
43,137,59,28,107,199,333,177,104,181
43,138,59,28,106,200,333,175,105,181
43,138,59,29,107,200,333,176,105,182
44,137,59,29,107,200,333,176,105,181
44,138,60,29,107,200,333,176,104,181
44,138,60,29,106,200,334,176,105,182
43,138,59,29,108,200,333,176,105,182
44,138,60,28,107,200,334,176,105,182
43,138,59,29,107,200,334,176,105,181
43,138,59,29,106,200,333,176,105,181
44,139,60,29,107,201,333,176,103,182
44,138,60,29,108,200,333,176,105,182
44,139,60,29,107,200,332,175,105,181
44,138,59,29,107,200,332,174,104,180
44,139,59,29,108,200,333,176,105,181
44,139,59,29,107,200,333,176,106,181
43,137,58,29,107,200,333,175,105,181
45,138,60,29,107,200,333,176,105,180
44,138,60,29,107,200,333,176,105,181
43,137,59,28,107,200,332,176,105,181
44,138,59,30,107,200,333,176,106,181
43,138,58,29,106,200,333,175,104,181
44,138,59,29,108,200,332,175,105,180
44,138,59,29,109,200,332,176,105,180
43,138,60,29,107,200,333,177,105,181
43,138,59,29,107,200,333,176,105,181
44,138,59,29,107,199,332,176,104,181
43,138,59,28,107,199,333,176,104,180
44,138,60,29,107,201,333,176,105,181
43,138,60,29,107,200,333,176,105,181
45,139,60,28,107,200,333,176,105,181
44,138,60,29,107,200,334,176,105,181
44,139,61,29,108,200,333,176,105,181
44,138,60,30,107,201,333,177,105,181
43,138,59,28,107,200,333,175,105,181
43,138,59,29,106,200,333,176,105,181
44,138,60,29,107,200,333,176,105,180
44,137,60,29,107,200,333,176,105,180
44,138,59,29,107,200,334,176,105,181
43,138,59,29,107,200,333,176,104,180
43,137,59,29,107,200,333,176,105,181
44,137,59,29,106,200,333,175,104,181
44,138,59,28,106,200,332,176,105,181
44,138,59,29,107,200,332,176,105,181
43,138,59,28,107,199,333,176,104,181
44,138,59,29,107,200,333,176,105,182
43,138,59,28,107,200,333,176,105,181
43,138,59,29,106,199,332,175,105,181
44,137,60,28,107,200,334,176,105,182
44,138,59,28,107,200,333,175,106,181
44,139,60,29,107,201,333,176,105,181
44,138,57,29,107,200,333,176,105,181
43,137,59,29,107,200,333,176,105,181
43,138,60,29,107,200,333,175,105,180
44,138,60,29,106,201,333,176,105,181
45,139,60,30,107,201,334,177,105,181
44,138,60,29,106,199,333,176,105,181
43,138,58,29,108,201,334,176,104,181
44,138,58,28,106,200,333,176,105,181
44,138,59,28,107,200,333,177,106,181
45,138,60,29,107,200,333,176,105,180
44,139,60,29,108,201,333,176,105,182
44,138,59,29,107,200,333,176,105,181
44,138,60,28,107,200,333,176,105,183
43,138,59,28,107,200,333,176,104,182
44,137,59,28,107,200,333,176,105,181
43,138,60,28,107,200,333,176,105,181
44,138,60,29,107,200,332,176,104,180
44,138,60,30,107,200,333,177,106,181
43,139,59,30,108,200,334,176,106,182
43,138,60,28,108,201,333,176,105,182
45,139,60,29,107,200,334,177,105,182
44,138,60,29,107,201,333,176,105,181
44,136,59,28,108,200,333,176,105,182
43,139,58,29,107,200,334,175,105,180
44,138,60,30,106,200,333,176,105,180
44,138,60,29,107,200,333,176,106,181
44,138,60,29,107,200,333,176,105,182
43,139,59,28,107,200,333,176,105,181
44,138,59,29,108,200,333,176,104,182
44,138,59,28,107,200,333,176,105,182
44,138,60,29,107,200,334,176,105,181
44,139,60,30,108,200,333,176,105,181
43,138,60,28,108,201,334,177,105,182
44,139,59,29,107,201,333,176,105,181
44,139,60,29,107,201,333,177,105,181
43,138,60,30,108,201,334,177,105,182
44,140,60,30,107,201,334,176,106,181
44,138,60,29,106,200,333,176,104,182
44,138,60,29,108,201,335,177,106,182
44,138,59,29,107,200,333,176,105,181
44,138,60,29,107,200,333,176,105,181
44,139,60,29,108,201,334,177,105,182
43,138,59,29,107,200,334,176,105,180
45,138,60,29,107,200,332,176,105,181
43,138,59,28,107,200,334,176,105,182
44,138,60,29,107,200,333,176,105,181
45,139,60,28,107,201,333,176,105,182
44,138,59,30,107,200,334,176,106,182
44,139,60,29,106,200,334,176,105,182
43,138,60,29,108,201,334,177,106,182
44,138,59,28,107,200,333,176,106,181
44,139,60,28,108,200,334,176,104,181
44,138,59,28,107,200,334,177,105,182
44,138,60,29,107,201,334,177,106,182
44,138,60,28,107,200,333,176,104,182
44,139,60,30,107,202,334,176,105,182
45,138,61,29,108,201,334,177,106,182
