MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
35,149,52,26,86,191,323,164,91,170
34,148,51,26,84,192,322,163,91,169
35,149,52,27,85,192,323,164,91,171
35,148,51,26,86,191,322,164,91,170
34,149,52,27,86,192,323,164,91,169
35,148,52,27,85,192,321,164,90,169
35,148,52,26,86,192,322,165,91,171
34,147,51,26,85,190,321,164,91,169
34,148,51,26,85,191,321,164,91,169
34,147,51,26,85,191,321,163,91,169
35,148,52,27,86,191,322,164,91,170
34,148,52,26,85,191,321,164,90,170
35,148,51,26,85,191,322,163,92,170
35,147,51,26,84,191,321,164,91,170
35,148,54,27,86,192,323,164,91,170
34,148,52,25,86,191,322,164,91,170
34,148,51,26,84,191,323,164,92,171
36,147,52,27,86,192,322,164,91,170
34,148,51,26,86,190,322,163,91,170
34,148,52,26,86,192,322,164,91,170
36,148,51,27,86,192,323,164,91,171
35,148,50,26,86,192,323,164,91,170
35,149,52,26,86,192,323,165,91,171
35,148,52,26,86,192,324,164,92,171
34,148,51,27,86,191,322,163,92,171
35,147,52,26,86,192,322,164,91,171
34,148,52,25,86,191,323,164,92,171
35,149,52,26,86,192,324,165,92,171
36,149,52,27,87,192,323,165,92,171
35,148,52,26,86,192,323,165,91,171
34,148,51,26,86,191,323,164,92,171
35,149,53,27,87,192,324,165,92,172
36,149,53,27,87,192,323,165,93,171
35,149,52,27,86,192,324,165,92,172
35,148,52,26,86,192,323,165,92,171
34,148,51,26,87,191,324,164,92,171
35,149,53,27,86,192,323,165,93,171
35,148,51,26,88,191,323,163,92,171
36,149,53,27,87,193,323,165,93,171
35,148,51,26,86,191,323,164,92,170
36,148,52,27,86,192,323,164,93,171
35,148,52,26,87,192,323,164,93,172
36,149,52,27,87,192,323,165,93,171
36,148,53,27,87,192,323,165,91,172
35,148,52,26,87,192,323,164,92,171
36,148,52,27,87,192,323,164,92,171
36,148,52,26,87,192,322,164,92,171
36,148,53,26,88,193,324,165,93,172
35,148,52,27,87,192,323,164,92,172
36,149,52,26,88,192,324,164,95,171
36,148,52,27,88,192,323,165,93,172
36,148,52,27,88,192,323,164,93,172
35,149,52,27,88,192,323,165,92,172
36,148,53,28,88,192,323,165,93,171
35,148,53,27,88,191,322,165,92,171
36,148,51,26,87,190,321,163,92,171
35,148,52,27,87,191,322,164,93,171
36,148,53,28,87,192,323,164,93,171
35,149,53,28,87,192,324,164,94,171
36,149,53,28,88,192,323,164,93,172
36,149,53,27,88,192,323,164,93,171
36,149,53,27,87,192,324,164,93,172
36,148,53,27,87,192,323,165,93,172
36,148,53,28,88,192,323,164,93,171
36,149,53,28,88,191,323,164,94,172
36,147,52,27,88,192,322,164,92,171
35,148,52,26,88,192,323,165,92,172
36,147,52,26,87,191,320,164,92,170
35,148,52,26,88,191,322,163,92,172
36,148,52,27,87,191,321,164,92,170
36,148,53,27,88,191,322,165,93,172
35,148,52,27,88,190,322,163,92,170
35,148,51,26,86,190,322,164,93,170
36,148,53,27,87,191,322,164,93,171
36,148,53,27,88,192,322,164,93,171
35,147,52,26,87,191,323,163,92,171
36,148,53,27,88,191,322,164,93,170
36,148,53,27,88,192,323,165,93,172
36,148,52,26,87,192,322,163,92,171
36,147,52,26,88,191,323,164,93,172
36,148,54,27,88,191,322,164,93,172
35,148,52,27,88,191,322,164,93,174
37,148,53,27,89,191,322,164,92,172
36,147,53,26,88,191,323,165,93,172
36,148,53,27,88,192,322,164,93,172
36,148,53,27,88,191,323,164,93,172
36,147,52,27,87,191,323,164,94,171
35,148,54,27,88,192,323,165,93,172
37,148,53,26,89,191,323,164,94,172
36,148,52,26,88,191,324,164,94,173
36,148,53,27,88,192,324,165,94,173
36,147,52,26,89,191,323,165,93,172
37,149,54,27,89,192,323,165,94,172
36,148,53,27,89,192,323,165,94,172
37,148,53,27,89,192,324,164,93,172
36,147,52,26,88,192,324,164,93,172
37,148,53,27,89,192,323,165,93,172
35,148,53,26,89,191,324,165,93,173
36,147,53,27,89,192,323,164,94,172
36,148,53,27,89,192,325,165,95,173
37,148,54,27,89,192,324,166,94,173
36,149,54,28,90,192,325,165,94,172
36,147,54,26,90,192,324,165,94,173
37,147,53,27,89,192,323,165,94,172
37,148,52,27,89,192,324,165,94,173
36,147,54,27,89,193,325,166,95,173
36,148,53,28,90,192,324,165,95,172
37,148,54,26,89,192,325,165,93,173
36,148,53,27,90,192,325,165,94,173
37,148,53,27,89,192,324,165,95,172
37,148,53,27,90,192,325,165,94,173
37,148,53,27,90,192,325,165,94,173
37,147,54,26,90,192,324,165,94,174
36,148,53,28,89,192,325,165,94,173
36,147,53,26,90,192,324,165,94,173
36,148,53,28,89,192,324,164,94,173
38,147,54,27,90,192,324,166,95,174
37,148,54,27,90,192,325,165,94,173
37,148,54,28,90,192,325,165,95,174
37,148,55,27,91,193,325,166,95,174
38,148,54,28,90,192,325,165,95,173
38,148,53,27,90,192,324,165,95,173
37,148,54,26,90,192,324,165,94,173
37,147,54,27,90,192,324,165,95,174
37,148,54,27,90,191,325,165,94,173
38,148,54,27,90,193,324,166,94,173
37,148,53,28,90,191,324,164,94,173
36,148,53,29,90,193,325,165,94,173
38,148,54,27,90,192,324,166,95,173
37,148,53,28,90,192,324,165,95,173
37,148,54,27,90,191,324,165,94,173
38,149,53,28,91,192,324,165,95,173
37,147,54,27,91,192,323,165,94,174
38,149,54,27,91,193,324,166,95,174
37,148,54,27,91,192,324,165,94,173
38,147,54,27,90,192,323,164,95,173
38,147,54,27,90,191,323,164,94,173
37,147,54,27,90,191,324,165,95,173
37,147,54,27,90,191,323,164,95,173
37,147,54,28,91,191,324,165,95,173
38,147,55,27,90,191,323,165,95,173
38,147,54,27,91,192,323,165,95,173
37,147,53,27,90,191,324,165,95,173
37,147,54,27,90,191,324,165,95,174
38,147,54,28,90,191,323,164,95,172
38,147,54,27,91,192,323,164,95,174
37,148,54,28,91,192,324,165,95,174
38,147,55,28,90,192,323,165,95,173
37,147,53,28,90,191,323,164,95,173
38,146,54,27,91,192,323,165,95,174
38,148,54,28,91,191,323,165,96,173
38,147,54,26,91,191,324,165,95,174
38,148,55,27,91,192,324,166,93,174
39,148,55,28,91,192,325,166,96,174
38,148,55,28,92,193,325,166,96,175
38,147,53,28,91,192,323,165,95,173
38,148,54,27,92,192,324,165,94,174
38,147,54,27,91,192,323,165,95,174
39,147,55,28,92,193,325,166,96,174
38,148,54,27,91,192,324,165,94,174
37,150,55,26,91,189,324,165,95,174
38,147,54,27,91,192,324,166,96,174
38,148,56,27,91,192,324,165,96,174
38,147,54,27,92,192,324,166,96,175
38,148,54,28,91,193,324,165,95,174
38,146,56,26,91,192,324,166,95,174
38,147,54,28,91,192,324,165,96,174
37,147,55,28,92,192,325,166,95,175
39,147,54,28,91,192,324,164,95,175
38,147,55,27,92,192,325,166,95,175
39,148,55,28,92,192,324,166,96,174
38,147,54,26,91,192,324,165,95,174
38,147,55,27,92,191,324,165,95,174
38,148,55,28,95,192,325,166,96,174
38,148,54,28,91,192,324,165,94,173
39,148,55,27,92,192,324,166,96,176
39,147,55,27,91,192,324,166,95,174
38,147,54,27,92,192,325,165,96,175
39,148,55,27,93,193,325,166,96,175
39,147,54,27,92,192,324,165,95,174
39,147,55,27,92,192,324,166,95,175
37,147,54,26,92,191,325,165,95,175
39,148,56,28,93,192,326,166,96,175
39,147,54,27,92,191,325,166,95,175
38,147,55,28,92,192,324,166,95,175
38,147,55,27,92,193,325,165,96,175
39,149,56,28,92,192,325,166,97,175
40,148,55,28,92,193,325,167,95,175
40,148,55,28,92,193,325,166,95,175
39,147,56,27,92,193,325,166,96,176
39,147,54,27,92,193,325,166,96,175
39,148,55,28,93,193,325,165,96,175
38,147,55,27,92,191,324,166,95,174
38,147,54,27,92,192,323,165,95,175
39,146,54,27,92,192,323,165,96,174
39,147,54,27,93,191,324,165,94,174
39,147,56,27,92,192,323,165,96,175
38,147,54,27,92,191,324,165,95,174
39,146,54,27,92,192,323,165,96,174
38,146,55,27,92,191,322,165,95,174
38,146,54,27,91,191,323,165,93,174
39,147,55,28,97,192,324,165,96,175
38,147,55,27,92,191,323,165,96,174
39,146,55,32,94,191,324,166,96,175
38,147,54,27,92,192,323,165,95,175
38,147,54,27,92,191,323,165,95,175
39,147,55,27,92,192,323,165,97,174
39,147,55,28,93,191,324,165,96,175
39,147,55,28,93,191,324,165,96,174
39,146,55,27,92,191,324,165,96,176
39,147,55,28,92,191,323,165,95,174
39,147,55,28,93,192,324,165,96,175
39,146,55,26,93,192,324,165,96,176
39,148,55,27,93,191,324,165,96,175
39,146,55,27,93,192,324,165,96,175
39,148,55,28,92,193,325,166,97,176
40,147,55,28,93,192,324,165,96,175
39,147,55,27,93,192,324,165,96,175
40,147,54,27,93,192,324,165,96,175
39,147,55,27,94,192,323,166,97,174
39,146,55,27,93,191,323,165,96,174
39,147,55,27,92,192,324,165,96,176
39,148,55,27,93,192,324,165,96,175
39,147,55,28,93,192,324,165,96,175
39,147,56,28,92,192,324,165,97,175
40,146,56,28,93,192,323,165,96,175
40,148,55,28,93,192,324,165,96,176
39,147,56,28,93,192,324,166,97,175
38,148,56,28,93,192,324,165,97,175
39,146,55,27,93,191,324,166,96,175
40,147,54,28,93,191,323,165,96,176
39,146,55,27,93,192,323,165,96,175
39,146,55,27,92,191,322,165,96,174
40,148,56,28,94,192,324,165,96,175
39,146,55,26,93,191,324,165,96,175
39,147,55,27,93,192,323,166,96,175
40,146,55,28,93,191,324,165,96,174
39,146,56,27,93,192,323,165,96,175
40,147,55,28,93,192,324,165,96,176
39,146,55,27,93,192,324,166,96,175
40,147,55,28,94,192,323,166,97,175
39,147,56,28,94,191,325,165,97,176
40,147,56,27,93,191,323,166,96,175
39,148,55,28,94,192,324,166,96,176
39,147,56,27,94,192,324,166,96,175
40,146,55,27,93,192,324,166,97,176
41,148,56,27,94,192,325,166,98,176
40,148,57,27,95,192,324,166,96,176
40,147,56,27,94,193,325,166,97,176
38,147,55,28,94,192,324,168,96,175
40,146,56,27,93,192,324,165,97,177
40,146,56,28,93,192,325,165,96,176
39,147,56,28,94,192,325,166,97,176
40,148,56,28,94,192,325,166,97,176
40,147,55,27,93,192,324,165,97,176
41,147,56,27,94,193,324,166,97,176
40,147,55,28,95,192,326,165,97,176
39,148,56,29,94,192,325,166,97,177
41,147,56,27,94,192,325,166,97,177
40,148,56,27,95,193,326,166,97,176
40,148,55,27,94,192,326,166,96,177
40,147,56,28,95,193,326,167,97,177
40,148,57,28,95,193,326,166,97,177
40,147,56,27,94,192,325,166,97,177
41,148,57,28,95,193,326,167,98,178
41,148,57,28,94,193,325,166,97,177
40,148,56,28,95,192,325,166,98,176
40,148,56,27,94,192,326,166,97,177
40,147,56,27,94,192,325,167,96,176
40,146,56,27,94,192,325,167,97,176
40,148,56,28,95,193,325,167,98,176
41,148,56,27,95,192,326,166,97,177
41,147,56,27,94,193,326,166,96,177
40,147,56,27,94,192,326,168,97,177
41,148,56,28,95,193,327,167,97,178
40,147,56,27,96,192,326,167,97,178
40,148,56,28,95,193,326,166,97,178
40,148,56,28,95,193,326,166,97,177
40,148,56,27,95,193,326,167,97,178
41,148,57,27,95,194,327,167,96,177
41,149,57,30,96,194,328,167,98,178
42,149,57,28,95,194,327,167,98,179
41,149,56,28,95,193,326,168,97,177
40,148,56,28,95,193,327,167,98,179
41,148,56,28,96,192,326,167,98,177
40,147,56,28,95,192,325,166,97,177
41,148,56,28,94,192,326,167,97,177
41,148,56,26,95,193,325,167,97,177
40,147,57,27,95,193,326,166,97,178
41,148,53,28,96,193,326,167,97,179
40,148,56,29,95,193,326,167,98,179
41,147,56,27,95,192,325,166,97,177
41,148,56,28,95,192,325,167,97,177
41,148,57,27,95,192,326,167,98,178
41,148,56,27,95,192,326,166,97,177
40,148,57,28,95,192,327,167,98,178
40,148,55,26,96,192,325,166,97,178
40,148,55,27,95,193,326,166,96,177
41,148,59,27,96,193,327,167,98,178
41,148,57,27,95,192,326,167,98,179
41,148,57,28,94,193,326,166,98,178
41,148,57,27,96,192,325,167,97,178
41,148,57,27,96,192,326,167,97,178
41,146,56,27,95,191,324,166,97,177
41,147,56,28,95,192,325,166,97,177
41,147,56,27,95,191,324,166,96,178
41,148,56,29,95,192,325,166,98,178
42,148,57,28,96,192,325,166,96,177
41,148,57,28,95,193,325,167,97,178
41,149,56,29,97,193,326,167,98,178
41,147,57,28,96,193,326,167,97,178
41,147,56,28,95,192,325,166,97,178
41,147,57,29,96,192,325,166,97,177
41,148,56,27,96,192,325,167,97,177
42,148,57,28,96,193,326,167,97,178
41,148,57,28,96,193,325,167,97,178
40,148,57,28,96,192,326,167,98,179
41,147,57,28,95,192,326,167,96,178
41,148,57,28,96,192,327,167,98,178
42,147,57,29,96,193,326,167,98,178
41,147,57,27,96,192,326,167,99,179
41,147,57,28,95,192,326,167,97,178
41,147,57,28,95,192,325,166,98,178
41,147,57,28,96,193,326,167,98,179
41,147,56,28,96,192,325,166,98,177
41,148,57,28,96,193,327,167,98,178
42,148,57,28,97,193,326,168,97,178
40,148,57,29,97,193,327,168,98,178
41,148,58,28,97,193,327,168,98,179
41,147,57,27,96,192,326,166,98,177
42,148,57,28,96,194,326,168,97,179
43,148,57,28,97,193,326,167,98,178
42,148,58,28,96,193,327,168,98,179
43,148,57,29,96,193,326,167,98,177
41,147,56,27,96,192,327,167,97,178
41,148,57,28,96,192,327,166,98,178
42,147,57,28,96,192,326,167,98,179
42,149,58,28,97,193,326,167,98,178
41,147,57,28,96,193,326,167,97,178
42,148,57,28,96,192,327,167,98,179
41,148,57,28,97,193,327,167,98,179
42,147,57,28,96,192,326,167,98,179
41,148,57,28,98,194,327,167,98,180
41,148,57,27,96,192,327,168,98,179
42,148,57,28,97,193,327,168,98,180
42,148,57,28,96,193,327,168,98,179
42,149,57,28,97,194,327,168,98,179
41,148,57,28,97,193,328,167,98,179
43,148,57,29,97,193,327,168,98,179
41,148,57,28,97,193,326,167,98,179
42,147,57,28,96,193,326,167,97,179
41,149,57,28,97,193,327,167,99,180
42,147,58,27,97,193,327,167,97,179
41,148,57,29,96,192,326,167,98,179
42,148,58,29,97,193,327,167,98,179
42,148,58,29,98,193,327,168,98,179
42,148,56,30,97,190,326,167,98,178
42,148,57,28,97,194,327,168,98,180
41,149,58,28,98,194,329,168,99,180
42,148,58,29,98,195,328,168,98,180
42,150,58,29,98,195,327,168,99,180
42,149,57,29,97,196,330,168,99,181
43,150,58,28,98,197,329,168,99,181
42,149,57,28,98,195,329,167,99,180
43,148,58,28,98,195,329,169,99,181
43,150,59,29,98,195,329,169,99,181
42,149,58,28,98,194,328,168,99,181
43,149,57,28,97,193,329,168,98,181
42,148,55,28,98,194,329,168,99,180
42,149,57,28,98,193,329,168,99,180
43,150,59,29,98,193,329,168,100,181
42,149,58,29,98,194,329,168,99,180
43,149,59,28,99,194,329,169,99,182
42,148,58,27,95,194,328,168,99,180
43,149,58,28,98,193,328,168,100,180
45,149,58,28,99,195,328,168,100,181
44,149,58,29,97,194,328,169,99,180
42,149,58,29,98,195,330,169,100,181
42,148,57,28,98,193,329,168,99,180
43,150,58,28,99,195,330,169,99,181
