MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
11,173,12,11,15,68,35,65,15,111
12,173,12,11,15,69,37,64,16,109
12,172,13,11,15,68,35,64,16,111
10,174,14,13,14,69,36,65,16,110
12,173,14,11,16,69,37,64,15,110
11,173,14,11,16,69,37,64,17,110
11,173,13,10,16,69,37,65,15,110
10,175,13,11,15,69,36,64,16,111
11,174,12,11,15,68,37,65,16,110
11,173,14,11,15,69,36,63,15,111
11,172,12,10,14,69,36,65,14,110
11,173,15,12,15,68,37,64,16,110
10,175,14,11,15,69,36,64,17,111
11,175,12,11,15,69,36,65,17,110
12,172,13,12,14,69,37,63,15,111
11,172,14,11,15,68,35,63,16,111
11,175,14,12,14,70,36,65,16,111
11,173,13,12,15,69,36,64,17,110
10,172,11,11,15,69,36,63,16,109
10,174,13,12,16,70,36,64,16,110
11,175,14,11,14,69,36,64,16,111
11,173,13,12,15,68,37,64,17,111
10,175,13,12,15,69,36,65,17,111
11,173,13,12,15,68,36,64,15,110
11,175,12,13,16,69,36,65,17,111
10,173,12,10,15,69,36,64,16,110
11,173,14,12,15,69,36,64,16,111
10,174,13,11,15,69,36,64,16,110
10,175,13,14,15,70,37,65,16,111
11,173,12,12,15,69,36,63,16,111
11,173,13,12,15,68,35,64,16,110
11,174,12,11,15,69,36,65,17,110
11,175,12,9,15,69,36,64,16,111
11,174,14,12,16,70,37,65,16,111
10,173,12,11,14,69,35,65,16,110
11,172,14,12,15,68,35,64,17,108
10,173,12,11,14,69,36,65,15,114
11,173,13,11,15,69,36,64,16,110
10,174,13,12,14,69,35,64,16,111
11,174,15,10,16,69,37,64,17,111
10,173,13,12,14,68,36,65,15,110
11,173,14,12,15,69,36,64,17,111
10,173,12,13,15,69,36,64,15,111
10,174,13,12,14,69,36,63,16,110
11,174,14,11,16,70,37,65,16,111
10,173,12,11,14,69,36,64,16,111
10,172,13,11,16,69,36,64,17,110
10,173,12,11,15,69,36,64,15,111
11,174,14,12,15,69,36,65,16,111
11,173,13,12,16,69,36,64,16,110
11,175,14,12,15,70,36,65,16,110
11,173,12,11,15,69,37,64,16,110
11,174,14,12,16,69,37,64,16,110
11,175,13,11,15,69,36,65,15,111
11,173,13,11,15,69,36,64,16,110
10,173,13,11,15,69,36,64,15,111
11,174,13,12,15,69,36,64,17,111
10,173,13,12,15,70,36,62,15,110
10,174,13,11,14,69,36,64,15,111
10,173,13,12,15,68,36,64,16,110
10,173,14,11,14,69,36,65,16,111
12,174,13,12,16,69,37,64,16,111
11,174,13,12,15,68,36,64,16,111
10,173,13,12,14,69,36,64,14,111
11,174,14,11,15,69,37,64,17,111
11,173,13,12,15,69,36,65,16,111
11,174,14,12,16,69,37,65,16,111
11,173,13,12,16,69,36,64,16,111
11,175,14,14,15,70,36,64,17,112
11,174,14,12,16,69,37,64,17,111
10,173,13,12,13,69,36,64,16,111
11,173,13,11,15,69,37,65,16,111
11,174,13,11,16,69,36,64,16,110
11,174,13,12,15,70,37,65,16,111
12,173,12,11,15,69,37,65,16,110
11,172,13,12,16,69,36,63,16,111
10,173,13,11,15,69,35,64,16,112
11,174,13,13,15,70,37,65,16,111
11,173,13,11,15,68,36,64,16,110
11,175,14,13,15,70,36,65,16,111
11,172,13,11,15,68,35,64,17,110
11,175,14,13,14,70,37,65,16,111
12,174,13,12,16,70,36,65,16,111
11,174,14,12,15,69,36,65,16,111
11,174,13,12,15,70,37,65,16,110
11,172,12,10,15,68,35,64,15,110
11,175,13,12,14,70,36,64,16,111
11,175,13,12,15,69,36,65,16,111
11,174,13,12,16,69,37,64,17,110
11,174,14,12,15,69,36,65,16,111
11,173,13,12,15,68,36,64,16,110
11,173,13,12,15,68,36,64,16,111
11,172,13,11,15,69,37,63,16,110
10,173,12,12,14,69,36,64,16,110
10,173,12,11,14,69,36,64,15,112
11,173,12,11,15,69,36,64,16,111
11,174,14,12,16,70,37,64,16,111
10,173,13,11,14,69,36,64,14,110
13,173,12,11,16,69,37,62,16,111
10,174,13,11,14,69,36,65,16,111
12,174,13,13,16,69,36,64,17,111
10,173,12,11,14,69,36,65,16,111
12,174,13,12,15,70,37,67,17,111
10,172,13,11,15,68,34,64,16,110
11,175,13,12,14,70,36,65,16,112
11,174,12,11,15,68,35,65,14,110
11,175,13,12,15,70,36,65,16,112
11,174,14,12,15,70,37,65,16,111
11,175,14,12,15,70,36,64,17,109
10,173,13,12,15,69,36,64,15,111
12,174,14,12,16,69,37,65,17,111
11,174,14,12,15,69,36,64,16,110
11,174,13,12,16,69,36,64,16,111
10,174,13,12,16,69,36,64,16,111
11,175,13,12,15,70,36,65,16,111
11,173,13,11,15,69,36,64,15,111
11,174,13,12,15,69,36,64,16,111
10,174,12,12,14,69,36,64,15,111
11,174,13,12,15,69,36,65,17,111
11,173,13,12,15,69,36,65,16,111
10,174,13,11,15,70,36,64,17,115
11,175,14,13,15,69,36,65,16,111
11,174,13,12,15,70,36,65,17,111
11,173,13,11,15,69,36,64,16,111
10,174,13,12,15,70,37,64,16,111
10,172,13,10,14,68,35,65,17,110
12,175,13,11,15,70,36,65,17,111
11,174,12,12,14,69,36,64,16,111
11,175,12,13,14,71,36,65,16,112
11,174,13,12,15,69,37,64,16,111
11,174,13,12,14,69,36,65,16,111
11,172,13,11,15,67,37,64,17,110
12,174,14,12,15,69,37,65,17,111
12,174,13,14,16,68,37,64,16,111
10,174,13,12,14,69,36,64,16,111
10,174,13,11,15,69,36,64,16,110
10,174,13,12,15,69,36,65,16,111
12,172,14,11,15,69,36,64,15,111
10,174,13,12,16,68,37,63,16,110
11,173,13,11,15,69,36,64,16,110
11,174,13,11,15,69,36,65,16,111
11,175,13,12,15,70,36,65,16,111
10,173,13,12,15,69,36,64,16,111
10,173,14,11,15,69,36,64,16,111
11,173,13,11,14,69,36,64,16,111
11,174,14,12,15,69,36,64,16,111
11,174,12,12,14,70,36,64,16,111
10,173,13,11,15,69,35,64,15,111
10,174,13,12,16,69,35,64,16,111
10,173,12,11,14,69,36,63,14,111
11,174,13,12,15,70,36,65,18,111
10,173,13,11,15,69,36,64,16,110
10,173,12,11,14,69,36,64,15,111
11,173,13,11,15,69,36,64,17,110
11,174,13,12,14,69,36,65,16,111
10,172,13,12,14,68,35,63,17,111
11,173,12,11,15,68,35,64,16,110
11,175,13,12,15,70,36,65,16,111
11,173,13,12,15,69,36,64,16,110
11,173,14,12,15,69,36,65,16,111
12,173,14,12,14,69,36,65,16,111
12,174,14,12,14,70,37,65,16,111
11,173,13,12,15,68,35,64,16,110
11,174,14,12,16,69,36,64,16,111
11,174,13,12,16,69,36,64,16,111
10,173,12,11,14,69,35,64,15,111
11,174,13,12,15,68,36,64,17,110
10,173,13,11,15,69,36,64,16,111
11,174,13,13,15,70,36,64,16,111
10,173,14,12,15,69,36,64,15,110
11,173,13,11,15,69,36,64,16,110
10,175,13,12,15,70,36,64,16,111
10,174,13,13,14,70,36,65,16,110
11,173,13,12,15,69,35,64,16,111
11,174,14,12,15,69,37,64,16,111
10,173,13,12,15,69,36,64,16,111
