MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
11,201,14,13,16,73,41,69,15,112
12,200,14,12,17,72,42,68,15,112
11,200,13,12,16,72,41,68,16,112
11,201,14,12,15,72,40,68,15,113
11,199,13,12,16,72,41,68,15,110
12,200,14,11,15,72,39,67,14,111
11,200,12,12,17,72,42,69,16,112
11,199,13,11,16,72,41,68,15,111
11,199,13,12,16,72,41,67,14,111
11,200,13,12,16,71,41,68,15,111
11,198,14,11,16,72,40,66,15,111
11,200,13,11,16,73,40,68,14,112
11,200,14,12,16,72,41,68,14,112
11,199,14,12,16,71,41,68,15,111
10,200,13,12,16,73,40,68,15,112
11,200,14,11,17,72,41,68,16,111
12,200,13,11,17,73,40,68,15,113
11,200,14,12,16,72,40,68,16,112
12,199,13,11,15,72,40,67,15,111
11,197,13,12,16,72,41,68,16,112
11,200,14,12,16,72,41,68,15,112
11,200,15,12,16,72,42,69,16,112
11,198,13,11,15,71,40,67,15,112
12,200,14,12,16,72,41,67,15,112
12,200,13,12,16,72,41,68,15,112
12,200,14,12,17,72,41,68,15,112
10,200,14,13,15,73,41,68,15,112
11,200,13,12,16,72,41,69,15,111
12,200,14,13,16,73,40,68,15,113
13,199,14,12,16,72,41,68,15,112
11,199,13,11,16,72,41,67,15,111
11,200,14,12,16,72,41,68,16,112
12,199,13,12,15,73,41,67,15,112
11,198,15,12,16,71,41,67,15,110
10,200,14,12,16,72,41,68,16,112
11,199,14,12,15,72,41,68,14,112
10,201,14,13,16,73,41,69,16,113
11,199,14,12,17,72,41,68,15,111
12,199,13,13,15,72,42,67,15,113
11,199,14,13,17,73,42,67,16,111
12,199,14,10,15,73,41,67,15,112
12,200,14,12,16,73,41,69,15,113
11,200,14,11,16,72,41,67,15,111
11,199,13,12,15,71,41,68,14,112
11,199,13,12,16,72,40,67,15,111
12,200,14,12,16,73,41,68,16,112
12,199,14,11,16,71,41,67,15,111
11,199,13,11,13,72,40,67,15,111
11,199,13,12,16,72,41,68,15,112
10,199,13,11,16,71,40,67,15,112
10,201,14,13,16,72,41,69,14,113
12,200,14,13,16,73,40,68,14,111
10,199,13,13,15,72,40,68,14,112
11,200,14,12,16,72,41,68,15,112
12,199,14,12,16,72,41,67,15,111
11,199,13,12,16,72,40,68,14,111
10,199,14,11,15,71,40,68,15,112
11,200,14,12,16,72,42,68,16,112
11,198,13,11,16,72,40,68,15,111
11,200,14,13,16,73,41,68,14,112
11,200,14,12,16,72,40,68,16,111
10,199,13,12,14,72,40,68,14,111
11,200,13,11,16,73,41,69,14,112
11,199,14,11,16,71,41,68,16,112
11,200,13,11,15,73,41,67,15,112
11,199,14,12,15,72,41,67,15,112
11,200,14,12,14,72,40,67,15,111
12,199,13,11,15,72,40,68,14,112
12,199,14,12,16,72,40,67,14,111
12,199,13,12,16,72,41,68,16,111
10,200,14,12,15,73,41,68,15,112
11,199,14,12,16,72,41,68,15,110
11,200,15,12,17,73,41,68,16,112
11,200,14,12,16,72,41,68,16,111
11,199,14,11,17,71,41,68,15,111
12,200,14,12,16,72,41,68,16,112
11,200,13,12,16,73,41,68,15,112
12,200,14,13,16,72,40,69,15,112
12,200,15,12,16,73,41,68,16,112
11,200,13,10,17,72,40,67,15,110
11,200,13,11,15,73,40,67,15,112
12,199,14,13,16,72,41,69,15,112
12,199,14,11,16,72,41,68,16,112
11,199,13,12,16,72,41,68,16,112
11,199,14,13,16,72,43,68,14,112
11,198,14,12,16,72,41,67,15,111
12,199,14,12,16,71,41,67,15,110
11,200,14,13,16,73,41,69,15,112
11,200,14,12,16,72,41,68,16,112
11,200,14,12,16,72,41,68,16,111
12,200,14,13,16,72,41,69,15,112
12,200,15,12,16,72,41,68,16,111
10,199,14,11,16,72,40,67,14,111
10,199,14,12,15,71,40,68,14,112
11,200,14,13,16,72,41,68,14,111
11,199,14,11,17,72,41,66,14,111
11,199,14,12,17,72,41,68,14,111
11,199,13,11,15,73,41,68,14,111
11,199,14,13,15,72,40,67,14,112
10,199,13,12,17,72,42,68,15,111
11,199,13,12,15,73,40,68,14,111
12,198,14,11,16,70,40,68,14,111
11,199,14,11,16,71,40,67,14,111
11,199,14,12,15,72,40,68,14,111
12,199,14,12,17,72,41,67,15,111
11,199,14,12,15,71,41,68,15,111
10,199,14,12,15,72,40,68,14,112
11,199,15,10,16,72,40,67,15,112
11,200,13,12,17,72,41,68,16,112
12,201,14,13,16,73,40,68,14,113
11,200,14,12,15,72,40,68,14,111
11,200,15,12,16,72,42,68,16,111
10,199,13,12,15,71,41,68,15,112
11,199,12,11,15,72,39,67,14,112
11,198,13,12,16,72,40,67,14,111
12,198,13,11,17,72,41,67,15,111
11,200,14,12,16,72,40,69,15,112
11,199,14,11,15,72,40,68,14,112
11,200,14,12,15,73,40,68,15,112
12,198,12,11,15,72,40,67,14,112
11,199,13,11,15,72,40,67,14,111
11,199,14,11,16,72,41,68,15,111
11,200,14,12,19,72,41,68,15,111
11,199,13,11,15,71,40,68,15,111
10,198,14,12,16,71,41,68,16,112
11,198,13,12,16,70,41,69,15,110
11,199,12,12,16,72,40,67,14,112
11,200,14,12,16,72,41,68,15,112
11,200,14,12,16,72,41,68,16,112
11,197,12,11,15,72,39,67,15,112
