MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
61,124,80,39,147,169,342,181,124,187
61,124,80,39,147,169,342,182,123,187
61,126,80,40,147,169,344,181,124,187
61,124,80,39,147,169,342,182,124,188
61,125,81,40,147,170,343,182,125,188
61,125,81,40,149,170,344,182,125,188
61,124,81,40,148,169,343,181,124,187
60,125,81,39,147,170,344,182,124,188
62,124,81,40,147,170,342,182,124,188
60,124,80,40,147,170,343,181,123,187
61,125,81,40,148,169,344,182,124,188
61,124,81,40,148,169,343,182,124,188
61,124,80,40,148,168,342,181,124,187
61,124,81,40,148,169,342,182,124,188
60,124,80,38,148,168,342,182,124,188
59,125,82,40,148,169,343,184,124,188
61,125,81,40,147,169,343,182,125,188
60,125,81,40,147,169,343,182,125,188
61,124,81,41,148,169,343,182,124,188
61,124,80,41,147,169,342,182,123,187
61,124,80,39,147,169,343,181,125,187
60,124,81,39,147,168,343,182,124,187
61,125,81,40,148,169,344,182,124,189
61,124,80,40,147,168,342,182,124,187
61,124,81,40,148,170,343,182,124,188
61,124,81,40,147,169,343,182,124,188
61,124,81,39,148,168,343,182,124,188
61,125,82,40,149,170,344,182,125,188
61,125,82,41,148,170,344,182,125,189
60,125,81,40,148,169,344,182,124,189
61,125,82,40,148,170,344,182,124,189
61,125,82,39,148,170,345,182,125,189
61,125,82,41,149,170,344,182,125,188
61,127,81,41,149,170,344,182,125,189
61,126,82,40,149,169,345,183,125,189
61,125,82,40,148,169,345,182,124,189
59,126,81,40,147,170,344,183,125,188
60,126,82,40,149,170,345,183,125,190
61,125,81,39,149,170,344,183,125,189
61,125,79,40,149,168,343,182,124,190
60,125,81,40,148,170,344,182,124,189
61,125,81,40,148,169,344,182,125,189
61,126,82,41,149,171,345,183,126,189
61,125,82,40,148,170,345,182,124,189
61,126,82,41,150,172,345,182,125,190
61,126,82,40,149,170,344,183,125,189
61,126,82,40,149,170,344,182,125,189
61,125,83,40,149,170,346,183,125,190
61,125,82,40,148,170,344,183,124,189
61,124,82,39,148,170,345,183,125,188
61,125,81,40,148,170,345,182,125,189
61,125,82,40,149,170,345,183,125,189
61,125,81,40,149,170,345,183,125,189
61,126,82,40,149,170,343,183,126,189
62,125,82,41,149,171,344,183,126,189
62,126,82,40,151,170,345,183,126,190
61,126,82,41,149,170,346,183,125,189
61,126,81,40,149,170,345,183,126,190
60,125,82,41,149,170,345,182,125,189
60,126,82,40,149,170,345,182,126,189
61,126,82,40,149,170,345,182,125,190
62,126,83,41,149,171,346,184,125,190
60,125,82,41,149,171,345,182,125,190
61,125,82,39,149,170,345,183,125,189
61,127,83,41,149,170,346,183,125,190
61,127,83,40,150,171,346,183,126,190
61,126,81,40,149,170,345,183,126,189
61,127,82,40,149,171,345,184,126,190
60,125,81,40,149,171,345,182,126,190
60,125,82,40,150,170,345,183,125,190
60,126,82,40,149,170,345,183,126,190
61,126,82,41,149,171,346,183,125,190
61,125,82,40,149,171,345,183,126,190
60,126,82,40,149,170,346,182,126,190
61,126,83,41,150,171,346,183,125,190
61,126,82,41,150,170,345,183,126,190
61,126,83,41,150,171,346,183,126,191
61,125,82,41,149,170,346,183,126,190
61,126,83,42,149,171,346,183,126,190
61,126,83,41,149,171,346,183,126,190
61,127,84,40,150,170,346,183,126,190
61,126,82,40,150,171,346,183,125,190
61,126,83,39,150,169,346,183,125,190
61,125,83,40,149,171,346,183,125,190
61,126,82,40,149,171,346,184,126,190
61,127,83,42,150,171,346,184,124,190
62,127,83,41,150,171,347,184,126,190
61,124,81,41,149,171,345,184,125,191
61,126,83,40,149,170,347,183,126,190
61,127,83,41,150,171,346,184,126,191
61,125,82,40,149,171,346,183,125,190
61,126,83,40,149,171,346,183,125,190
61,125,82,40,149,170,345,184,125,191
61,125,84,41,150,170,346,183,126,191
62,126,83,40,151,171,347,183,126,191
61,126,83,41,149,171,345,183,125,190
62,126,83,41,150,171,346,184,126,191
62,127,83,41,149,171,346,184,126,190
61,126,83,41,150,171,346,184,126,191
62,126,83,41,150,171,347,183,126,191
61,126,83,41,150,171,347,183,126,191
61,126,83,41,150,171,346,183,126,191
61,127,84,41,150,172,347,183,126,191
61,126,82,40,149,171,346,184,126,190
62,126,84,41,150,172,346,184,126,191
62,126,84,40,150,171,346,184,126,190
62,126,83,40,150,170,346,183,126,190
62,127,83,41,150,171,347,183,127,191
61,125,83,40,150,170,346,183,126,191
62,126,83,41,150,171,346,184,126,190
62,125,83,40,150,171,346,184,125,190
62,127,84,41,150,171,346,184,127,191
62,126,84,41,150,171,346,184,126,191
61,126,83,41,150,171,346,181,126,190
61,125,84,40,150,170,346,183,125,190
61,126,83,40,150,170,346,183,126,191
62,126,84,41,150,171,346,183,126,190
61,127,84,41,151,171,348,184,125,191
61,126,83,41,151,171,346,185,127,192
62,125,84,40,150,170,345,183,125,190
62,128,84,41,150,171,346,184,126,191
62,125,83,41,149,171,346,183,126,191
62,127,84,41,150,171,347,184,127,191
61,125,83,41,150,171,346,183,125,190
62,126,83,41,150,171,347,183,126,190
62,126,82,41,149,171,346,184,126,191
61,126,83,41,149,171,346,183,126,191
61,126,83,40,151,171,346,183,126,190
61,126,84,41,151,171,347,184,126,191
61,126,83,40,150,171,346,183,126,191
61,127,83,41,150,171,347,184,126,191
61,126,83,41,150,172,347,183,126,191
62,126,83,41,151,171,346,183,126,191
62,126,83,40,150,171,346,183,126,191
62,126,84,41,150,172,346,184,126,191
61,126,83,40,150,171,347,184,126,191
62,127,84,41,151,171,347,185,127,191
62,125,84,41,150,170,346,183,124,191
62,125,83,41,150,170,346,183,125,191
62,127,84,41,151,171,347,184,127,191
60,125,84,41,150,171,346,183,126,191
62,126,83,41,150,171,346,183,126,191
61,127,83,41,150,171,347,184,128,191
62,126,84,41,151,171,347,184,126,191
61,126,83,40,150,171,347,183,126,191
62,126,84,40,150,171,346,183,126,190
62,126,83,41,150,172,346,184,126,191
62,125,84,42,150,171,346,184,126,191
61,125,83,41,150,170,346,183,126,190
61,126,83,41,151,171,347,184,126,191
61,126,83,40,150,171,346,183,125,190
61,127,83,40,150,171,347,183,126,192
62,125,84,41,150,171,345,185,126,191
61,126,83,40,150,170,346,184,126,191
61,126,83,40,150,171,346,183,126,191
