MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
60,110,82,35,148,148,315,169,115,196
59,111,82,36,148,147,315,168,116,197
60,111,82,35,148,148,315,168,116,197
59,112,82,35,148,147,315,169,117,197
59,112,83,36,149,148,316,168,117,198
59,111,82,36,148,148,315,168,115,196
59,112,82,36,148,148,316,169,117,198
59,111,82,35,148,148,315,168,115,197
59,112,83,35,148,148,316,169,116,197
60,111,81,36,148,148,315,168,117,196
59,111,82,35,148,147,314,168,115,197
60,111,81,35,147,148,315,168,116,197
59,111,82,35,148,149,315,169,115,196
60,112,82,36,148,148,315,168,116,198
59,110,81,36,147,148,315,168,116,197
59,112,82,35,148,148,315,169,116,197
60,111,82,35,148,147,315,169,116,197
60,111,81,35,147,148,315,168,116,196
60,112,82,36,149,149,315,169,117,198
59,111,81,34,148,148,315,167,116,197
59,111,81,35,148,148,315,168,116,196
59,111,82,35,149,148,316,169,116,198
60,112,81,35,148,146,315,168,116,197
60,110,80,35,148,148,314,168,115,197
59,111,81,36,147,148,315,168,116,196
59,110,82,36,148,148,315,168,116,197
59,112,83,35,148,148,316,168,116,198
59,111,82,36,148,148,316,168,116,198
59,111,82,35,147,148,315,168,116,197
59,111,82,35,148,148,316,168,116,197
60,113,83,36,148,148,316,169,116,198
59,111,81,35,147,147,315,169,116,197
59,111,81,36,147,148,316,168,116,197
60,110,82,34,148,147,314,169,115,197
59,111,82,36,148,147,315,168,116,196
59,111,82,35,148,147,316,169,116,197
59,111,80,35,147,154,317,169,115,191
59,112,81,36,148,154,316,169,114,191
59,112,81,36,147,154,317,169,115,192
59,111,81,36,147,154,317,168,116,192
59,110,81,35,148,154,317,169,115,192
59,112,81,36,148,154,317,169,115,192
60,111,82,36,147,154,317,169,116,191
59,112,81,36,148,154,317,168,115,193
59,111,81,35,148,155,317,169,115,192
59,111,82,35,147,154,317,169,115,191
60,112,81,36,148,154,318,168,115,191
60,111,81,35,148,154,316,168,115,191
59,111,81,35,147,154,316,168,115,192
60,112,81,35,148,154,317,168,116,191
59,112,82,35,147,154,317,169,115,192
60,110,81,36,147,155,317,169,115,192
59,111,81,36,147,155,318,169,115,192
59,112,81,36,147,155,317,169,115,192
59,112,81,36,147,154,317,169,115,192
59,110,82,35,146,154,317,169,115,192
59,111,81,34,147,154,317,169,114,191
58,111,81,35,148,153,318,168,114,192
59,111,80,36,147,155,318,168,115,191
59,111,81,36,148,154,317,169,115,192
59,112,81,36,148,154,317,169,116,192
59,111,81,35,147,154,317,169,115,192
58,111,80,35,147,154,317,168,114,191
60,111,80,35,147,154,317,170,115,192
59,112,81,36,147,155,317,169,115,193
60,111,80,35,147,154,317,168,115,191
59,112,81,36,147,154,317,168,114,192
59,112,82,35,148,154,316,170,115,192
59,111,80,36,146,154,317,168,115,191
59,111,80,35,146,155,317,168,115,191
59,111,81,35,147,154,317,169,115,192
58,111,80,36,147,154,317,169,114,192
59,112,81,35,147,155,317,169,115,192
59,110,81,35,147,154,317,168,114,192
59,111,81,35,147,154,316,169,115,192
59,111,81,36,147,154,318,169,116,192
59,110,80,35,147,153,317,169,115,191
59,111,80,35,146,154,317,168,115,191
60,112,82,35,147,154,317,169,115,191
59,112,81,35,148,155,318,169,116,193
59,111,80,36,147,154,317,168,115,192
58,111,81,35,148,154,317,169,115,192
59,110,81,35,147,154,317,168,115,191
59,111,80,35,147,154,315,169,116,191
59,111,82,36,147,154,316,170,115,191
59,111,80,36,147,154,317,168,115,191
59,111,80,35,147,154,317,169,115,192
59,111,80,36,147,154,317,168,116,191
58,111,80,35,147,154,317,169,114,191
59,111,82,36,147,155,317,170,115,190
60,111,81,35,147,153,317,169,115,192
59,111,82,35,148,154,318,169,115,192
59,111,81,35,146,154,317,169,114,192
59,111,80,35,147,154,316,168,115,191
59,112,81,35,148,155,318,169,115,192
60,112,81,36,148,154,318,168,116,192
58,111,81,34,148,154,318,168,114,191
59,111,80,35,147,154,317,168,115,191
59,111,81,35,147,154,317,169,115,191
60,111,81,35,147,155,317,168,115,192
59,112,81,35,148,154,317,170,115,192
60,112,81,36,147,155,317,168,116,192
60,112,81,36,147,154,318,169,116,193
59,111,81,35,147,154,317,169,116,191
59,112,81,36,148,155,317,169,115,192
59,112,81,35,147,154,318,169,116,193
59,112,80,36,148,155,317,169,115,192
60,111,81,35,147,154,317,170,115,192
59,111,81,36,148,155,318,169,115,192
58,111,81,36,147,154,317,168,115,191
59,111,81,36,147,154,318,169,114,191
60,112,82,36,148,155,317,169,115,192
60,110,81,36,146,154,317,168,114,191
60,111,81,36,149,155,317,169,115,192
59,111,82,36,147,154,318,168,115,192
60,112,81,36,147,154,318,169,115,192
59,112,81,35,147,154,318,169,115,192
59,111,80,35,147,154,317,169,115,191
59,111,81,36,148,154,317,168,116,192
59,111,81,35,146,154,316,169,114,191
59,112,81,36,148,154,318,169,115,192
59,112,81,35,147,154,317,169,115,192
59,112,81,36,148,155,318,169,115,192
60,111,80,35,147,154,317,169,115,191
59,112,81,36,147,153,318,169,114,192
58,110,81,34,147,153,317,168,115,192
59,111,81,35,146,154,317,169,115,192
59,111,80,35,147,154,316,168,115,191
59,110,81,35,148,153,316,168,115,192
59,111,81,35,147,153,317,169,115,191
60,111,82,35,147,155,318,169,115,192
59,112,81,35,148,154,318,169,114,192
58,111,80,36,147,154,317,168,114,191
59,111,82,35,147,155,317,169,115,192
59,112,81,35,147,154,317,169,116,191
59,111,81,33,148,154,318,169,115,192
