MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
46,115,62,32,113,205,344,187,118,183
45,115,62,32,113,204,344,186,118,184
45,115,61,32,112,204,343,186,117,183
46,115,62,32,113,204,343,186,117,183
46,114,62,31,113,204,344,186,117,183
47,115,62,32,113,205,343,187,117,183
45,114,61,31,113,205,342,186,118,183
46,114,61,32,112,204,344,186,118,183
45,114,62,32,113,205,344,187,117,184
45,113,62,32,112,203,343,187,117,183
45,114,62,32,112,204,343,186,117,184
46,115,62,32,113,205,343,187,117,183
46,114,63,32,113,205,343,186,117,184
46,114,63,32,114,204,344,187,117,184
46,114,62,32,113,204,343,187,118,184
46,114,62,33,114,204,344,186,117,184
46,113,62,32,113,204,343,186,116,183
46,114,62,32,113,204,342,186,117,183
48,114,62,32,114,204,344,187,118,184
45,114,62,32,113,204,344,187,117,184
46,114,63,32,113,204,343,187,117,183
45,113,62,32,113,204,343,186,117,183
45,114,62,33,114,204,344,187,118,184
46,114,62,32,113,205,343,187,118,184
46,114,62,32,113,205,343,187,117,183
46,114,61,31,113,204,344,186,118,183
45,114,61,32,113,204,343,186,117,183
46,114,62,32,113,205,344,187,117,184
46,115,63,32,114,205,344,187,118,184
45,114,62,31,113,204,343,186,118,183
45,114,62,32,113,205,344,187,118,183
45,114,61,32,113,204,343,186,117,184
46,115,62,32,114,204,343,186,118,183
46,115,62,32,114,204,344,187,118,183
47,115,63,32,113,205,343,187,118,183
45,113,61,32,113,204,343,186,117,184
46,114,63,33,114,205,343,188,118,184
46,114,62,32,113,204,343,187,117,183
46,113,62,32,114,205,343,187,117,184
46,114,63,32,114,205,344,188,117,184
45,114,62,32,113,204,343,187,117,184
46,113,63,32,113,204,343,187,117,183
46,114,62,32,113,205,344,187,118,184
46,114,62,32,113,204,343,187,117,184
46,113,62,31,113,205,344,186,118,184
46,114,62,32,114,205,344,187,118,183
46,114,63,32,114,205,344,187,117,184
46,113,62,32,113,204,343,186,117,184
46,114,62,32,113,204,343,186,117,183
46,113,62,32,113,204,343,186,117,183
46,114,62,32,113,205,344,187,118,184
46,113,62,31,113,204,343,187,117,183
45,114,62,33,113,204,344,187,118,183
45,114,61,32,114,204,344,187,118,183
46,114,62,32,113,205,344,188,118,184
46,115,64,33,113,205,343,187,118,184
45,114,62,29,114,204,343,187,118,183
46,114,62,32,113,205,343,188,118,183
46,113,63,32,114,205,343,187,118,183
46,114,62,32,113,204,344,188,118,184
46,114,62,32,114,205,343,187,118,184
46,114,62,32,113,205,343,186,118,183
46,115,62,33,114,204,343,187,118,183
46,114,62,32,113,204,343,187,118,183
45,114,61,32,113,204,343,186,118,183
46,113,62,32,113,204,343,187,118,184
46,114,63,32,115,205,344,187,117,184
46,115,62,32,113,204,344,187,118,183
46,114,62,32,114,203,343,187,118,183
46,114,62,31,114,204,344,187,120,183
45,114,62,32,113,204,343,187,117,183
46,115,62,32,114,204,344,187,118,184
46,115,62,32,114,205,343,187,118,183
45,114,62,32,114,204,344,187,118,184
46,114,62,32,113,204,343,186,118,183
46,114,62,33,114,205,343,188,118,184
46,113,62,32,113,204,343,188,118,183
46,114,63,32,114,205,344,187,118,183
46,114,62,33,114,204,343,187,118,184
46,114,63,33,114,204,344,187,119,184
46,114,62,33,114,204,343,187,118,183
47,114,62,32,113,204,343,187,118,183
46,113,62,33,114,203,343,187,118,183
46,113,62,31,113,204,343,187,117,184
46,113,62,32,115,204,343,188,118,183
47,114,62,32,114,204,343,187,118,182
46,114,62,32,114,204,344,187,118,183
46,114,62,32,114,205,343,187,118,184
46,115,62,32,114,204,344,187,118,183
46,114,62,32,114,204,343,188,118,184
47,113,63,32,114,205,343,187,118,183
46,113,63,32,113,205,343,187,117,184
46,114,62,32,114,204,343,187,118,183
46,114,63,32,114,205,343,187,118,183
47,114,62,32,114,204,343,187,117,183
46,114,62,32,114,205,344,187,118,184
45,113,62,32,114,204,344,188,117,183
46,113,63,33,115,204,344,188,117,183
47,113,62,32,114,204,343,187,117,184
45,114,62,32,114,204,344,187,118,183
47,115,63,32,114,205,344,187,118,184
46,113,63,32,114,204,343,187,118,184
46,113,62,32,114,204,344,186,118,184
46,113,63,32,115,205,344,188,118,185
46,114,62,32,114,204,344,188,118,184
46,114,62,32,114,204,343,187,117,183
46,114,62,32,114,204,343,187,118,184
46,114,63,32,114,204,343,187,118,185
46,114,62,32,115,205,343,187,118,184
46,114,63,33,115,204,344,187,118,184
47,113,62,32,115,204,343,188,118,184
46,114,63,32,115,205,344,187,118,185
45,113,62,33,114,205,344,187,118,184
47,114,63,32,114,204,343,187,118,184
46,113,63,32,114,204,344,187,118,184
46,113,63,32,114,205,344,188,118,184
47,114,62,32,114,204,344,188,117,184
47,113,64,32,115,205,344,188,117,184
47,114,63,32,114,205,343,187,118,184
46,114,61,32,114,204,344,187,118,185
47,113,63,32,114,204,344,188,118,186
47,113,62,32,114,205,344,188,118,184
47,114,64,32,115,205,344,188,117,184
46,113,62,32,114,205,344,188,118,184
46,114,63,32,115,205,345,188,118,185
46,114,63,32,114,206,344,188,118,185
47,113,63,33,115,205,344,188,118,185
46,113,62,32,115,205,343,187,118,184
46,114,64,33,115,205,344,188,118,185
46,114,63,33,114,206,343,188,119,184
47,113,64,32,115,205,344,188,117,184
46,114,62,33,114,205,344,187,119,185
47,114,64,33,115,205,344,188,118,184
47,112,62,32,113,204,344,187,117,184
46,114,62,32,114,205,344,188,119,184
47,114,63,33,115,205,344,188,118,184
46,113,63,32,115,205,344,188,118,184
47,113,63,32,115,204,344,188,118,185
47,114,63,33,114,204,344,187,118,183
47,113,64,33,115,205,344,188,118,184
47,114,64,32,115,204,345,188,118,184
46,113,63,32,115,205,345,188,118,185
46,114,63,33,115,204,344,188,118,184
47,113,62,33,115,205,343,187,118,184
46,113,62,33,114,204,343,187,118,183
47,113,63,33,115,205,344,188,117,184
48,112,62,32,115,204,344,187,118,184
47,113,63,32,115,206,344,188,119,184
46,114,64,33,115,205,344,188,118,184
46,113,63,32,115,204,344,187,118,185
47,114,63,32,115,205,344,187,118,184
47,113,62,32,114,205,344,188,118,185
46,112,63,32,116,204,344,187,118,185
46,113,63,32,114,204,344,187,118,184
47,114,64,33,116,206,344,189,119,185
46,114,63,32,115,205,344,188,118,185
47,114,63,32,115,205,344,188,118,184
46,114,63,32,115,205,344,187,117,184
46,113,63,32,115,205,345,187,118,184
