MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
76,160,99,42,159,203,358,182,140,222
75,160,98,42,158,202,358,182,140,222
75,159,98,42,159,201,359,181,139,222
75,160,99,41,159,202,358,182,139,223
75,159,97,42,159,202,358,182,139,222
76,160,99,42,159,202,359,182,139,223
75,159,98,41,159,202,358,181,138,223
76,160,99,42,158,202,359,182,139,223
76,161,98,41,160,203,359,182,140,223
76,159,98,42,159,202,359,182,139,223
76,161,99,43,160,202,359,182,140,224
76,161,99,43,159,202,359,182,140,223
76,160,99,42,159,202,359,182,140,223
76,158,98,42,158,203,358,182,139,222
75,160,98,42,158,202,359,182,139,222
75,159,98,41,159,202,358,182,139,223
76,159,98,42,159,203,358,183,140,222
76,160,98,42,159,202,359,182,140,223
76,160,99,42,159,202,358,182,139,223
75,159,98,41,160,202,358,182,139,222
76,159,97,42,159,202,358,181,139,222
75,160,99,41,159,202,359,182,139,223
76,159,98,42,159,202,358,182,139,222
76,160,98,42,159,202,357,181,139,222
75,159,99,41,159,202,359,182,139,223
75,159,99,42,159,202,358,182,139,223
76,159,97,41,158,201,358,181,138,222
75,159,99,41,158,201,357,181,138,222
76,159,98,42,159,201,356,180,139,222
76,160,98,42,159,202,357,181,139,222
75,159,98,41,158,201,356,181,138,221
76,159,99,42,158,201,358,181,140,222
75,158,98,42,158,201,356,181,138,222
76,159,97,42,158,201,357,181,138,221
76,158,98,41,158,201,357,182,138,221
76,158,98,42,158,201,356,181,139,221
76,158,97,42,158,201,356,181,139,221
75,159,98,43,159,202,356,181,139,221
76,159,98,42,159,201,357,181,140,221
75,159,98,41,158,201,356,181,138,222
76,159,98,42,159,202,357,181,139,221
75,158,98,41,159,202,357,181,138,222
75,159,98,41,158,201,357,181,138,222
76,159,98,42,159,202,358,181,140,222
76,158,98,41,158,201,357,182,139,222
77,159,98,41,159,202,357,182,139,222
76,158,98,42,158,201,356,181,138,222
75,160,99,42,159,202,358,181,140,222
76,160,99,42,158,201,357,182,139,221
76,158,97,41,159,201,356,181,138,221
75,158,98,41,158,201,357,181,138,222
76,159,99,41,159,201,357,182,139,222
76,158,98,41,159,201,356,181,139,222
77,160,99,43,159,201,356,182,138,223
76,159,98,41,159,202,358,182,139,222
76,159,98,42,158,202,357,181,139,222
76,159,98,42,159,201,358,181,139,222
76,159,98,41,159,202,358,181,139,222
76,159,99,42,159,202,358,182,139,223
76,160,99,43,159,202,358,181,139,222
76,159,99,43,159,202,357,182,139,221
76,159,98,42,159,201,358,181,140,222
76,159,98,42,159,201,358,181,139,222
76,159,99,42,159,202,358,182,139,223
76,156,98,42,159,201,357,181,139,222
77,159,98,41,159,201,360,181,138,221
76,159,99,42,160,202,357,181,139,222
76,160,99,42,159,202,358,182,140,222
76,159,99,41,160,202,358,182,139,222
77,160,99,42,160,203,358,182,139,222
76,160,99,42,160,202,359,182,139,223
76,159,99,42,159,202,358,181,140,223
77,161,99,42,160,202,359,181,140,223
76,160,99,42,160,203,359,182,140,222
76,159,99,42,160,201,359,182,140,223
77,159,100,42,160,202,357,182,139,223
76,159,99,42,159,202,358,182,139,223
76,159,99,41,160,202,358,182,139,223
76,160,99,42,160,202,358,182,140,223
77,160,100,43,160,203,359,182,140,223
76,160,99,42,161,203,359,182,140,223
76,159,99,41,160,202,359,181,140,223
76,159,99,42,159,202,358,182,139,223
76,159,99,42,160,202,358,182,140,223
76,160,99,41,160,202,359,181,140,223
77,160,100,42,161,202,359,182,140,224
76,159,98,42,160,202,359,181,140,223
77,159,100,41,160,202,359,182,140,223
76,160,98,42,160,202,358,182,140,222
76,160,99,44,160,203,359,182,140,223
77,160,99,42,161,203,359,182,141,223
76,160,99,42,160,202,359,182,139,223
77,160,99,43,160,203,359,182,140,223
77,160,99,41,160,202,360,182,140,223
76,160,99,42,161,203,360,182,140,223
76,160,99,41,160,202,359,182,140,224
76,160,100,42,161,203,360,183,140,224
77,161,99,42,160,204,359,184,141,223
77,160,100,42,160,202,359,182,140,223
77,161,99,43,160,203,359,183,140,222
77,159,99,42,160,202,359,182,140,223
77,160,99,43,160,202,360,183,140,224
77,159,100,41,160,202,359,182,139,222
77,160,100,41,160,202,360,182,140,224
77,159,100,42,160,202,359,182,139,223
77,160,100,43,161,203,360,182,140,223
76,160,99,42,161,203,360,183,140,224
76,159,99,42,161,202,360,182,140,223
77,160,98,42,160,203,358,182,140,223
