MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
52,120,75,32,137,153,310,166,109,184
53,120,76,32,138,154,310,167,108,184
52,119,75,32,138,153,310,166,109,184
52,120,75,32,137,153,311,167,108,185
51,120,76,32,137,154,311,166,108,187
52,120,77,32,139,153,311,166,109,185
53,120,76,32,138,154,310,167,108,185
52,120,77,32,138,154,310,166,108,185
53,120,77,32,138,153,311,167,108,185
53,120,76,32,138,154,311,167,109,185
52,120,76,32,138,154,311,167,109,185
52,119,76,32,137,153,310,167,108,183
52,120,75,33,138,154,310,166,109,185
52,120,75,32,138,154,311,166,108,185
52,121,76,32,138,154,311,167,108,185
52,120,78,33,138,155,311,167,109,185
52,120,76,32,138,154,310,167,108,185
52,121,76,32,138,153,311,166,108,185
50,119,75,33,138,154,310,166,108,184
52,119,76,33,137,153,309,166,108,183
52,120,76,33,138,154,310,166,108,185
52,120,76,32,138,154,310,167,109,184
52,120,76,33,137,153,310,166,108,184
51,120,76,32,138,153,310,166,107,184
52,119,75,32,138,153,309,166,108,185
53,119,76,32,137,154,311,167,108,185
53,120,80,33,138,154,310,167,109,186
52,120,76,32,138,154,310,166,107,184
53,120,76,32,138,154,310,167,107,185
52,120,76,32,137,154,311,167,108,184
52,120,76,32,138,153,310,166,108,185
52,120,76,32,138,154,311,167,108,186
52,121,77,32,138,154,311,166,109,185
51,119,75,32,138,153,310,167,108,184
52,121,77,32,139,154,311,167,109,185
52,119,75,32,138,152,310,166,107,184
53,120,76,33,138,153,311,167,109,185
52,121,76,33,138,152,311,166,108,185
51,121,75,32,138,154,311,166,108,185
52,120,77,32,138,152,311,166,108,185
52,120,76,32,138,154,311,166,109,185
51,120,76,31,138,153,310,165,108,184
51,120,76,32,137,152,310,166,107,184
52,121,76,33,139,152,311,166,109,184
52,120,76,32,138,151,311,167,109,185
51,120,75,32,137,151,311,166,108,185
52,121,75,32,137,152,311,166,108,185
52,120,76,32,138,152,310,167,108,184
52,120,76,33,138,152,311,167,109,185
52,120,76,33,138,152,311,167,109,185
53,120,77,32,138,153,311,167,109,184
52,121,76,33,138,154,311,167,108,185
52,120,75,32,138,153,311,167,108,183
52,120,76,32,138,152,311,166,108,185
52,120,76,33,138,153,311,165,108,186
52,121,76,32,139,153,311,167,108,185
52,121,77,33,137,153,311,166,109,185
52,121,76,32,138,153,311,167,110,185
51,120,76,32,138,153,311,166,108,185
52,120,76,31,137,152,311,167,108,186
52,120,75,32,138,153,311,167,109,185
52,120,75,32,138,152,311,167,109,185
53,120,76,33,138,153,312,166,108,185
52,119,75,32,137,153,310,167,108,185
52,121,76,33,137,150,312,167,109,186
51,121,76,32,138,151,312,166,108,186
53,120,76,33,138,151,312,167,109,186
52,120,76,32,139,150,311,167,109,184
51,120,76,32,139,152,311,166,108,185
52,120,76,32,138,150,311,166,109,185
51,120,76,32,138,150,311,168,108,185
52,120,77,32,139,150,311,167,107,186
52,120,76,32,138,151,311,167,108,185
52,120,76,31,138,153,311,166,108,184
51,120,76,33,138,151,311,167,109,185
51,120,76,32,138,153,311,166,108,185
52,121,77,33,139,151,311,167,109,185
51,120,76,32,138,151,311,166,109,185
51,121,77,33,138,154,312,167,109,186
52,121,77,32,138,154,311,166,109,185
52,120,76,32,135,153,311,166,108,184
52,120,76,32,138,153,310,166,108,185
52,120,75,32,138,153,311,166,109,185
51,120,75,32,138,153,311,167,108,185
52,120,76,32,138,153,311,166,109,185
52,120,76,33,137,153,311,167,109,185
53,120,76,33,138,153,311,166,108,185
52,120,76,33,138,153,311,167,109,185
53,121,77,32,138,153,311,167,109,186
53,121,77,32,138,153,311,167,109,185
53,121,77,32,138,154,311,167,108,185
52,121,76,33,138,153,311,166,109,185
52,120,76,32,139,153,311,167,108,186
