MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
50,128,67,34,118,202,336,180,116,184
48,126,68,33,118,201,336,180,115,184
49,128,69,34,119,203,337,181,116,186
49,127,67,33,118,202,336,180,115,185
48,128,68,33,119,202,337,180,117,184
45,128,68,34,118,201,337,180,116,184
49,127,67,33,118,202,337,180,116,184
48,127,67,33,117,201,336,180,115,184
48,128,68,34,118,201,337,180,116,184
49,128,67,33,117,201,336,179,116,183
49,127,68,32,118,201,336,179,116,184
49,127,67,32,117,201,335,179,116,184
48,128,66,33,118,201,335,180,116,184
48,127,67,33,117,201,336,179,115,183
48,128,67,34,118,201,336,179,115,184
49,128,68,33,118,201,336,179,116,184
48,128,67,33,119,201,337,180,116,185
49,128,67,33,119,201,337,181,116,185
49,128,68,33,118,202,337,180,115,184
49,127,67,33,117,201,337,179,116,184
49,128,68,34,118,202,338,181,117,184
49,128,67,33,117,201,336,180,116,184
49,128,67,32,118,201,338,180,116,185
48,127,67,33,117,202,337,180,116,185
48,127,68,34,118,201,334,179,116,183
49,127,68,33,118,201,336,180,116,184
49,126,68,33,118,201,336,180,116,184
48,126,67,32,117,200,336,179,115,184
48,127,67,33,116,201,336,179,115,184
49,127,68,34,117,202,337,180,116,184
46,128,67,34,117,202,336,179,116,184
48,126,66,33,117,201,335,178,115,183
48,126,67,33,117,201,335,180,115,183
48,126,67,32,117,201,335,179,115,183
49,126,67,34,117,200,333,178,114,182
48,128,67,34,117,200,335,179,116,183
47,125,66,32,116,200,334,178,115,183
48,126,66,33,116,200,333,179,115,183
48,125,66,33,116,200,334,179,115,182
49,126,68,33,118,200,335,179,115,182
49,125,66,32,117,200,335,179,115,182
49,126,68,34,117,200,334,179,115,183
48,126,66,32,117,200,333,178,115,182
48,126,66,32,116,200,334,178,114,182
48,126,67,33,117,199,335,179,115,183
48,126,66,32,116,199,333,178,115,183
48,126,66,32,116,199,333,178,114,182
47,126,66,32,117,199,334,178,115,183
48,126,66,33,117,200,333,179,115,181
48,127,66,32,116,199,334,178,114,182
48,126,67,32,117,200,334,179,115,183
49,127,67,33,117,200,333,178,115,183
48,126,67,32,117,200,335,178,115,183
48,128,67,34,117,201,337,180,115,184
48,126,67,32,117,201,335,180,115,183
48,126,67,32,118,200,334,179,115,183
48,126,67,32,117,200,335,179,115,184
48,127,67,32,116,200,335,178,114,183
48,126,67,33,117,200,334,178,115,183
48,125,67,32,117,200,335,179,115,183
48,126,66,32,117,200,335,179,115,183
48,126,67,32,116,200,335,179,115,183
48,127,67,33,117,200,334,178,114,182
49,126,67,33,117,201,336,180,115,184
49,126,66,33,117,201,336,179,115,183
48,126,67,33,118,201,336,179,115,184
48,127,65,33,117,201,336,180,115,184
49,128,67,33,118,201,336,180,116,184
49,128,67,34,117,202,337,181,116,183
50,127,68,33,117,201,336,180,115,184
48,127,66,32,117,202,336,178,116,183
49,127,67,33,117,201,335,180,115,183
48,127,67,33,117,200,336,179,115,183
48,128,67,32,117,201,336,179,114,182
48,128,67,33,118,201,336,179,115,183
48,127,67,32,117,201,335,179,115,184
48,128,67,33,118,202,337,180,116,184
49,127,67,32,117,201,336,180,115,184
45,127,67,33,118,201,336,180,115,183
48,128,68,33,118,202,336,179,115,183
49,127,66,32,116,201,336,179,115,182
48,128,67,33,118,201,337,180,116,183
49,126,67,32,117,201,337,180,115,184
48,127,67,33,117,202,338,180,116,184
49,128,67,34,118,201,337,179,116,184
48,127,67,32,117,201,337,180,116,183
48,128,67,33,117,202,337,179,116,184
48,126,67,33,117,202,337,180,115,184
48,128,67,32,118,202,336,179,116,184
48,127,66,32,117,202,337,180,115,184
49,127,67,33,117,201,336,180,115,183
48,127,67,33,118,201,337,181,116,184
48,128,66,34,118,202,337,179,116,184
48,128,67,32,118,201,337,180,116,184
48,128,66,33,117,201,336,180,115,183
48,127,66,32,117,201,336,179,116,183
49,126,67,34,118,201,337,179,116,184
49,128,67,33,118,202,336,180,115,184
49,127,66,33,117,201,337,180,116,184
48,128,67,33,118,202,337,180,116,184
49,127,67,32,118,202,337,180,116,184
48,127,67,32,117,201,336,179,115,184
49,128,68,33,117,201,337,180,115,184
49,127,68,33,118,202,337,180,115,184
49,128,68,33,117,202,336,180,115,184
49,128,67,32,118,201,338,180,116,184
48,127,67,33,117,202,337,180,115,184
48,127,67,32,117,201,337,179,116,183
48,127,67,30,118,201,336,179,115,184
49,127,68,33,117,202,336,180,115,184
48,126,67,33,117,201,337,179,115,184
49,128,67,33,118,202,337,179,115,184
48,128,66,32,117,201,337,179,115,184
48,127,67,32,117,202,337,179,116,184
49,127,67,33,118,201,337,180,115,183
49,128,67,33,118,201,336,179,116,183
49,128,67,33,118,202,337,180,116,185
47,127,67,33,117,202,338,179,116,184
48,127,66,32,117,201,337,180,116,184
48,127,67,33,117,202,337,179,116,183
49,127,68,32,118,201,336,180,115,184
49,128,67,33,118,202,337,180,115,185
48,126,67,33,118,202,337,180,116,184
49,128,68,33,117,202,335,179,115,184
48,128,66,32,118,201,337,179,116,184
49,128,68,33,118,201,336,180,114,184
48,127,67,32,117,201,337,180,116,185
49,124,67,33,118,201,337,180,115,184
49,127,67,33,117,202,337,180,115,184
47,127,66,32,117,201,337,179,115,184
48,128,67,33,118,201,337,180,116,184
48,127,67,33,116,202,337,180,115,184
49,128,67,34,117,201,336,180,116,183
49,128,67,33,118,202,337,180,116,184
48,128,67,33,117,202,337,180,116,184
49,128,67,33,118,202,337,180,116,185
48,128,67,33,118,201,338,180,116,184
48,127,67,32,117,201,337,180,115,184
48,127,67,33,117,202,338,179,115,184
48,126,67,33,117,202,338,180,116,185
49,128,68,33,118,201,337,180,115,184
49,128,67,33,118,202,337,180,116,184
48,127,67,32,117,201,338,179,116,184
48,128,67,33,117,201,338,179,115,184
48,128,68,33,117,198,337,179,116,185
49,127,67,33,117,202,337,180,115,184
48,128,67,33,118,202,338,180,116,184
49,128,68,33,118,202,338,181,116,185
48,128,67,34,118,202,337,180,116,184
48,128,67,33,118,202,337,180,115,184
49,128,67,33,118,202,337,179,116,183
49,128,67,32,118,201,337,179,116,184
48,127,67,33,117,202,337,179,116,184
49,128,67,32,118,201,337,180,116,184
48,128,66,33,117,202,337,180,115,185
49,128,67,32,117,202,338,180,116,185
48,127,67,32,118,202,337,180,115,184
49,128,68,33,118,202,337,180,115,184
48,127,66,33,117,202,337,180,116,184
48,128,68,33,118,202,338,181,115,185
49,128,67,33,119,201,337,180,116,184
48,128,67,34,118,202,337,180,115,184
48,128,68,32,117,202,338,180,117,184
49,128,68,33,118,203,338,181,116,185
49,128,68,33,118,203,339,181,116,185
48,127,68,33,118,202,337,180,115,184
48,128,67,32,118,203,338,181,116,184
48,128,67,33,117,202,339,181,117,184
48,128,67,33,118,202,338,180,116,184
49,129,67,33,118,203,338,181,116,185
48,128,67,32,118,202,338,180,117,185
50,128,68,34,117,203,338,181,117,185
48,128,67,33,118,202,338,180,115,184
49,127,67,33,117,202,338,181,116,185
49,128,67,33,117,202,338,183,116,184
48,128,68,33,117,202,337,180,115,184
49,128,67,33,117,201,338,181,116,185
48,128,67,33,117,202,337,180,116,184
48,128,68,32,118,202,338,181,116,185
48,128,68,34,117,202,337,180,115,184
48,127,67,32,118,202,338,180,115,185
48,128,67,33,117,201,337,179,115,184
49,128,67,32,117,202,337,180,116,184
48,128,67,34,117,201,338,180,116,184
48,128,68,33,118,202,337,180,115,184
47,128,67,33,117,202,338,179,115,184
48,128,68,33,118,202,338,181,116,185
49,128,67,34,118,202,337,180,115,184
48,128,67,33,118,202,338,180,116,185
48,128,67,32,117,202,338,180,116,185
47,128,67,32,118,202,338,180,116,185
48,127,67,33,117,202,337,180,115,184
48,128,67,33,117,202,337,181,116,184
48,128,67,33,118,202,337,180,115,184
48,128,67,32,118,202,338,180,116,185
49,127,66,32,117,202,337,179,116,184
48,128,68,33,117,202,337,180,115,184
48,128,68,33,117,202,338,180,116,185
48,128,67,33,118,202,337,180,116,184
48,128,67,32,117,202,338,180,115,184
48,128,67,33,118,201,338,179,116,184
48,128,67,34,118,201,336,180,116,184
49,128,68,34,118,202,338,181,116,185
48,128,67,34,118,202,337,180,116,185
48,128,68,33,118,203,338,181,116,185
49,129,67,33,118,203,338,180,116,185
48,128,67,32,117,201,338,180,116,183
48,128,67,33,117,202,338,180,116,183
48,127,67,33,117,202,338,180,116,185
48,128,67,32,118,201,338,180,116,184
49,128,68,33,118,202,336,180,116,184
48,127,68,32,117,202,337,180,115,185
48,128,67,32,118,202,338,179,116,183
48,128,68,33,118,202,338,181,115,185
48,128,66,33,117,202,338,179,116,184
48,128,68,34,118,203,338,181,116,185
49,127,66,33,117,202,337,180,116,184
48,128,67,33,117,202,337,180,116,185
48,128,68,33,118,203,338,179,115,184
48,128,67,33,117,202,337,180,115,184
48,128,66,33,117,202,338,180,115,184
49,128,68,33,118,202,338,181,116,185
49,128,67,33,118,203,338,180,116,185
49,128,68,33,118,203,338,181,116,185
48,127,66,33,117,202,338,181,115,184
48,128,67,33,117,203,338,180,116,184
48,129,67,33,118,203,338,180,116,185
48,128,67,32,117,202,338,180,116,185
49,128,66,32,117,202,337,180,115,184
48,128,67,33,117,202,338,181,116,184
47,128,67,33,118,202,338,180,116,185
48,128,67,34,118,203,339,180,116,185
48,128,67,32,117,202,338,179,116,184
48,128,67,33,118,203,338,181,116,185
48,128,68,33,118,203,338,181,116,185
48,128,68,33,118,203,339,181,116,184
48,128,68,34,118,202,338,181,116,185
48,128,68,33,117,202,337,180,115,185
48,128,67,33,117,203,339,181,117,185
48,129,67,33,118,202,338,180,116,184
49,128,67,34,118,202,338,181,116,185
48,127,68,32,117,202,338,181,115,185
48,130,68,34,118,202,338,180,116,184
48,128,66,32,118,202,338,180,116,184
48,128,67,32,118,203,339,181,116,185
48,128,66,32,117,202,338,180,115,184
48,128,68,33,117,203,338,182,116,185
48,128,66,33,117,202,338,180,115,184
48,128,67,33,117,202,338,180,116,185
48,128,67,34,117,202,337,181,112,184
48,128,67,32,117,202,338,180,117,184
48,128,67,33,118,201,336,179,116,184
49,129,67,33,117,202,336,180,115,184
47,128,67,33,117,202,337,180,115,184
49,128,68,32,117,202,337,181,115,184
49,128,67,32,117,201,337,180,115,184
48,128,66,33,116,202,337,179,116,184
48,128,67,33,120,201,338,181,116,184
47,128,67,32,118,203,338,181,115,185
48,128,67,34,117,202,337,180,116,184
48,128,67,32,118,201,337,180,115,183
48,128,68,33,117,202,337,180,115,184
48,128,67,32,117,202,336,180,115,184
49,127,67,32,117,202,337,180,115,185
48,128,66,33,117,201,337,179,115,183
48,128,67,33,118,203,338,180,116,190
48,128,68,33,117,203,338,181,116,190
48,128,67,32,117,203,338,180,116,191
48,128,67,32,117,201,338,180,116,191
48,128,66,33,117,201,338,180,116,189
49,128,67,33,117,202,337,178,115,189
48,128,67,33,117,202,338,180,115,188
48,128,66,33,117,201,338,181,116,190
48,128,67,33,117,202,337,180,115,189
48,128,67,32,118,202,338,180,116,191
48,128,68,33,117,202,339,181,115,190
48,129,68,34,117,202,338,181,116,189
49,128,67,32,117,202,338,180,115,189
48,128,67,33,117,203,339,180,116,190
48,129,67,33,118,201,338,180,116,189
