MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
64,111,83,30,151,149,312,162,119,181
64,110,83,31,151,149,311,162,119,180
65,110,84,32,152,149,312,163,120,181
63,110,83,31,151,149,311,161,119,180
64,110,83,30,151,149,311,162,119,180
64,110,82,31,151,149,311,161,119,180
64,111,84,31,152,149,312,162,120,180
64,111,84,32,151,149,312,162,120,180
64,109,84,32,152,150,312,162,119,180
62,109,82,31,151,149,311,161,119,179
64,109,84,32,152,149,311,162,119,180
64,109,83,30,151,148,311,162,119,180
64,110,83,32,151,149,312,163,120,181
63,109,83,31,151,149,311,161,120,181
63,110,83,32,151,148,312,161,120,181
64,110,84,31,152,149,312,163,119,181
64,110,83,31,151,149,312,162,120,181
64,111,84,31,152,149,312,161,120,181
64,109,83,32,152,149,311,162,121,180
63,110,83,32,151,149,311,162,120,181
64,111,84,31,152,148,312,162,120,181
63,109,83,32,151,148,312,162,120,181
63,110,83,31,152,148,312,162,120,181
64,109,84,32,152,148,312,162,120,181
64,111,84,32,152,149,312,162,121,181
64,110,84,32,152,149,312,162,120,182
64,111,85,32,152,149,312,162,121,181
64,109,83,31,152,149,312,161,120,181
64,109,83,31,152,148,312,161,120,181
64,110,83,31,152,148,312,162,120,181
64,110,83,31,152,149,312,161,121,181
64,109,84,32,152,149,311,162,121,182
64,111,84,32,152,149,312,162,120,183
64,111,84,32,153,148,312,162,120,182
64,109,84,32,153,150,312,162,120,182
64,110,84,32,152,149,312,162,120,182
64,111,83,32,153,148,313,161,121,182
64,108,84,32,152,149,311,162,120,182
64,109,82,31,151,148,311,161,120,182
64,109,83,31,152,148,312,162,120,181
64,109,84,32,152,150,311,161,121,182
64,110,84,32,153,148,312,162,121,182
63,109,84,32,152,148,312,161,120,182
64,110,84,32,153,148,312,162,121,182
64,109,84,32,153,149,311,162,121,182
64,110,84,33,153,148,313,162,121,182
64,108,84,32,152,148,312,161,120,182
64,110,85,32,153,150,313,161,121,182
63,109,83,31,152,148,310,161,120,181
63,109,84,31,152,148,311,162,120,183
64,109,84,32,152,149,312,162,120,182
64,111,85,32,152,148,312,161,121,182
64,109,84,32,152,149,312,162,121,183
64,108,85,32,152,148,312,162,121,182
64,109,84,32,153,149,311,162,121,182
64,109,84,32,152,148,312,161,121,183
65,109,84,32,153,149,312,162,121,182
64,110,84,32,152,149,312,161,120,183
63,110,85,32,152,147,313,161,120,182
63,111,84,32,152,149,312,161,121,181
64,109,84,31,153,148,312,161,121,182
64,109,84,32,152,148,311,161,120,182
64,109,84,32,153,148,312,162,121,183
63,109,84,32,153,149,311,161,121,183
65,109,85,32,153,148,312,162,122,182
63,109,84,32,152,148,312,161,121,182
64,109,85,33,153,149,312,161,120,183
64,110,84,32,153,149,312,161,121,182
64,109,85,32,153,149,312,162,121,182
64,110,85,32,153,149,313,162,121,183
64,112,85,32,153,149,314,162,121,183
64,109,85,32,152,148,312,162,121,183
64,109,85,32,154,148,312,162,121,182
64,109,85,32,153,148,312,162,121,183
64,110,84,32,152,148,313,162,120,182
63,111,84,32,153,148,313,161,121,182
64,110,86,33,153,149,313,161,121,184
64,110,85,32,153,149,312,162,121,183
64,111,84,34,153,149,313,162,122,183
64,109,85,33,153,148,313,162,120,183
64,109,85,32,153,148,312,162,121,183
64,108,85,32,153,147,312,162,120,183
64,109,85,32,153,149,313,161,121,183
64,109,85,32,153,148,312,163,121,183
64,111,85,32,153,148,313,161,121,183
64,111,85,33,153,149,314,162,121,184
64,110,85,32,153,149,314,162,122,183
64,111,85,33,152,149,314,162,121,184
64,110,85,32,153,149,313,162,122,183
64,110,85,32,153,149,313,162,121,184
64,110,85,32,152,149,313,161,125,184
64,110,85,33,153,148,313,162,121,183
64,109,85,32,153,148,313,161,121,183
64,111,85,32,153,149,313,161,122,183
64,111,86,32,154,149,314,162,122,184
64,110,86,33,154,150,313,162,121,184
