MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
58,110,80,37,151,161,336,166,124,181
58,111,78,36,151,161,335,167,124,181
58,109,79,36,150,161,335,166,124,181
57,109,78,37,149,159,333,166,123,180
58,109,78,37,151,161,335,167,124,181
58,109,79,36,150,161,335,167,124,182
58,109,78,36,150,160,334,166,124,181
58,109,79,36,151,161,334,166,124,181
58,110,80,36,151,161,335,167,124,181
58,110,79,36,151,161,334,167,124,181
58,109,78,36,151,160,334,166,124,179
58,109,79,36,151,161,336,166,124,181
58,110,80,37,151,161,335,167,128,182
58,109,79,37,151,161,334,167,125,181
58,109,79,36,151,160,334,166,124,181
58,109,79,37,151,160,335,167,125,181
58,109,80,37,151,161,335,167,124,181
58,109,81,37,151,161,335,167,125,182
58,110,80,37,151,161,336,167,125,182
59,110,80,37,152,161,336,167,125,181
58,109,80,37,151,161,336,167,125,182
58,109,80,37,151,161,335,166,125,181
58,110,80,37,151,161,336,167,125,181
58,110,80,37,152,161,337,167,126,182
58,109,80,37,152,161,335,167,126,182
58,109,80,36,151,161,335,166,125,181
58,109,80,36,151,161,335,166,125,181
58,109,80,37,151,161,335,166,126,181
58,109,80,36,151,160,335,166,125,181
58,108,80,36,151,160,334,167,125,182
58,109,80,36,152,159,335,166,125,181
58,109,81,37,151,161,336,166,126,182
58,109,80,37,152,161,335,166,125,181
58,109,80,36,152,161,335,166,126,182
59,110,81,37,152,161,337,167,126,182
58,109,80,36,152,161,335,167,126,182
58,109,80,36,152,161,335,167,126,182
58,110,81,37,151,161,335,168,127,182
58,109,81,37,152,161,337,166,126,183
58,109,80,37,152,160,336,166,126,182
59,110,81,37,152,161,336,167,126,183
58,110,81,37,152,161,336,167,127,183
58,109,81,36,152,161,336,167,126,183
58,110,81,37,152,161,337,167,126,183
59,110,82,37,152,161,337,167,127,183
58,109,81,37,152,161,336,167,126,187
58,109,81,37,151,161,336,166,127,183
58,110,81,37,152,161,336,167,128,194
58,110,81,37,152,161,336,167,127,191
58,110,81,37,153,161,336,167,126,187
58,110,81,37,152,161,336,167,125,186
58,110,82,37,152,161,336,167,130,184
58,109,81,37,153,160,335,166,128,183
57,108,81,37,152,160,335,166,127,182
