MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
17,215,17,17,17,89,61,79,14,121
19,214,18,17,17,89,61,78,14,122
18,215,18,17,17,90,61,79,14,121
18,215,19,17,17,90,62,80,15,122
17,215,18,17,17,89,61,79,14,122
19,215,19,16,18,89,61,78,14,122
20,214,17,16,17,89,62,79,14,122
17,215,18,17,17,89,61,80,14,123
19,216,19,17,18,89,62,80,14,122
18,215,19,17,18,89,61,79,14,123
18,214,18,16,18,89,61,79,14,122
18,214,18,16,18,89,61,79,13,122
18,216,19,17,17,90,62,80,16,122
19,215,18,17,18,89,62,80,12,122
19,216,19,17,18,90,61,79,14,122
18,215,18,16,17,89,61,80,14,122
18,215,18,16,18,89,61,78,14,122
19,216,18,16,17,89,62,80,14,121
18,215,17,16,17,89,61,79,14,122
19,215,18,16,18,89,62,80,14,123
19,216,19,17,19,88,61,79,14,121
18,215,18,17,17,90,61,78,14,122
19,215,18,17,17,89,61,80,14,122
19,215,18,17,17,90,61,80,14,122
18,215,18,17,18,90,61,79,12,122
18,216,18,16,18,89,62,79,14,122
18,216,18,16,18,89,61,78,14,122
19,215,18,16,18,89,61,81,13,122
19,216,18,17,18,89,62,79,14,122
19,215,18,17,17,89,62,80,14,121
18,215,18,16,17,90,61,80,14,122
20,216,19,17,18,90,61,79,14,122
18,213,18,16,17,88,61,79,14,121
19,214,18,17,17,89,61,79,14,122
18,216,19,17,18,90,62,79,14,122
18,214,18,15,18,89,61,79,13,122
19,214,18,16,18,89,61,80,14,123
18,215,18,16,17,89,61,80,14,122
17,215,18,16,17,89,61,79,14,122
19,215,18,17,18,90,61,79,14,122
18,215,18,17,17,90,62,80,15,121
17,214,18,16,17,89,61,79,14,122
16,214,18,16,18,88,61,79,13,122
17,215,19,16,18,89,62,78,13,121
18,216,18,17,18,89,61,79,14,122
19,215,18,16,17,90,61,79,14,123
19,216,18,17,18,90,61,79,14,121
18,215,18,17,17,89,60,78,14,122
18,215,18,17,17,90,61,79,15,122
18,215,18,17,18,90,61,79,15,122
18,215,19,18,18,89,62,80,14,121
18,216,18,16,18,89,62,80,14,122
18,215,18,16,18,89,61,79,14,122
18,216,18,17,18,90,61,78,15,122
19,216,19,16,18,90,62,79,14,121
18,216,18,17,17,89,61,79,14,122
19,216,18,16,17,90,62,79,14,122
19,215,18,18,17,90,62,80,14,123
18,214,17,17,18,89,61,79,14,123
18,215,18,16,17,89,61,79,14,122
19,216,19,17,17,89,61,79,14,122
18,216,18,16,18,89,61,81,13,122
18,215,18,16,18,89,61,79,14,122
19,216,19,17,18,89,62,80,14,122
19,216,18,17,18,89,62,80,15,122
18,216,19,17,18,89,61,79,14,122
19,215,19,16,18,90,61,79,14,122
19,215,20,17,17,90,62,80,14,122
18,215,19,16,18,89,61,79,15,123
18,214,18,16,17,89,61,78,13,121
19,215,18,17,18,89,62,78,14,121
19,215,17,16,17,89,61,79,14,121
18,216,18,17,18,90,62,79,14,122
18,216,18,16,18,89,61,78,14,123
18,215,18,16,17,89,61,79,14,122
17,215,18,17,18,90,61,79,14,122
18,215,18,16,18,89,61,79,13,122
18,215,18,17,17,90,61,80,14,122
19,216,18,17,18,90,61,78,14,121
18,215,17,16,18,89,61,79,13,123
19,214,19,17,18,88,60,79,15,122
18,216,18,17,18,89,62,79,14,121
18,214,17,16,17,89,61,79,14,121
18,215,18,17,18,89,62,79,14,122
19,216,18,16,18,90,61,79,14,121
18,215,18,16,17,90,61,78,14,121
18,214,18,17,18,90,61,79,14,121
18,214,18,16,17,90,62,79,14,122
19,214,19,16,18,89,61,79,14,123
18,214,18,16,17,89,61,79,14,122
17,216,18,17,18,89,62,80,14,122
18,215,18,16,18,89,61,79,14,122
19,216,19,16,17,90,61,80,15,123
19,215,18,16,18,90,61,79,14,122
18,215,19,17,18,90,61,79,13,122
18,215,18,17,17,90,61,79,14,122
18,215,17,16,18,90,61,79,14,121
19,215,19,17,18,90,62,79,15,121
18,214,17,16,17,89,61,78,15,122
20,215,19,17,17,89,61,80,14,121
18,215,18,16,18,89,61,78,14,121
19,215,18,16,18,89,60,79,14,122
19,215,18,17,18,89,61,80,15,121
19,215,18,17,18,89,61,79,13,122
19,216,18,16,16,89,61,79,14,121
18,215,17,17,17,90,61,80,14,122
20,216,21,18,18,90,61,80,14,130
19,215,21,17,17,90,61,79,14,126
18,214,20,16,17,90,61,80,14,126
19,216,21,16,18,89,60,79,14,127
19,216,21,16,18,89,61,79,14,127
20,216,21,18,18,89,62,79,14,126
19,214,20,16,17,89,62,79,15,129
19,214,19,16,18,90,60,78,14,130
19,215,21,17,18,90,61,79,15,129
19,215,20,16,18,89,61,80,15,130
20,215,20,17,17,88,61,79,14,129
19,215,20,17,17,90,61,79,15,129
20,215,21,17,18,90,62,79,14,129
19,215,19,17,18,89,61,79,15,129
19,214,20,16,17,89,61,80,14,129
20,214,20,17,17,89,62,79,14,128
19,215,20,16,17,90,61,78,15,129
19,214,19,17,18,89,61,79,14,128
19,214,19,16,18,89,61,79,15,129
19,214,19,16,19,89,61,79,14,128
20,215,20,16,16,90,60,79,14,128
