MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,215,14,15,16,88,66,78,14,128
19,215,14,16,17,88,67,78,13,128
19,215,14,16,17,87,68,78,13,128
19,214,12,16,16,88,66,77,13,127
19,217,14,16,12,88,67,78,14,128
19,215,14,15,17,87,67,76,13,128
19,216,15,16,16,88,67,78,13,128
19,215,15,15,16,87,67,78,13,128
19,215,14,16,16,87,67,77,13,128
18,215,14,16,17,88,67,78,13,127
19,216,16,16,17,88,67,78,13,128
19,216,14,16,17,88,67,78,13,128
20,215,14,16,17,87,68,78,12,127
19,215,13,16,16,87,66,75,13,127
20,216,13,16,16,88,67,77,14,127
19,215,15,16,16,87,66,77,14,128
20,216,14,16,16,87,67,78,11,128
19,216,14,16,16,87,67,78,13,127
20,216,15,16,17,88,68,78,14,127
20,216,14,16,17,87,67,78,13,128
20,215,13,16,16,87,66,77,14,128
19,216,14,15,17,88,68,77,13,127
19,215,14,16,17,87,67,78,13,128
19,214,14,16,17,88,67,78,13,127
19,215,14,15,17,89,68,78,14,128
20,215,14,16,16,87,66,78,13,127
19,216,15,16,17,88,67,78,14,127
19,215,14,16,16,87,67,78,14,128
20,214,14,15,16,88,67,77,13,128
20,216,14,16,17,88,67,78,13,127
19,215,13,16,17,88,67,78,13,128
19,216,15,16,16,87,68,77,14,128
19,215,15,16,16,87,68,77,13,128
20,215,14,16,17,88,67,77,13,128
19,214,13,16,18,86,67,78,13,127
20,215,14,15,16,87,67,78,13,128
19,215,14,16,17,87,66,77,13,127
20,215,14,16,15,88,66,78,13,128
19,213,14,15,16,88,67,78,13,127
19,214,16,16,16,87,67,78,13,128
20,215,14,17,17,87,67,77,13,126
18,215,14,15,16,87,68,77,13,128
19,216,14,15,18,88,67,78,14,128
19,215,13,16,16,85,67,78,12,128
18,215,14,16,16,88,67,77,14,127
20,215,14,16,16,87,66,77,13,128
20,216,14,16,17,88,67,77,13,127
19,216,14,16,16,87,68,77,13,128
20,215,14,16,16,88,67,78,13,127
19,215,14,16,16,87,67,77,14,127
19,215,14,16,17,87,67,77,14,128
19,215,14,15,17,87,67,78,13,126
19,215,15,16,16,87,68,78,13,128
19,215,14,16,18,88,67,78,14,128
19,215,14,16,16,87,67,78,13,128
19,215,14,16,16,87,66,77,12,128
20,214,15,16,17,88,67,78,13,128
19,215,14,16,16,88,66,77,12,126
19,215,14,16,16,87,66,77,13,128
20,215,14,16,17,87,67,78,14,129
20,215,14,15,16,88,67,78,13,128
20,215,14,16,16,88,67,77,13,128
19,215,14,16,16,87,66,77,12,127
20,215,14,15,17,87,67,78,13,128
19,214,13,15,16,87,67,77,12,128
20,215,14,16,17,87,69,78,13,127
19,216,15,16,18,87,68,78,13,127
20,215,14,16,16,88,67,78,13,126
19,214,13,16,17,88,67,77,13,127
19,213,14,16,16,88,67,78,13,128
19,215,13,16,16,87,67,77,13,127
19,215,16,18,16,87,67,78,13,128
19,215,13,16,17,88,66,77,13,127
18,215,14,16,17,88,67,77,13,128
19,215,13,15,16,88,67,77,13,127
19,215,14,16,17,88,66,77,14,128
19,214,14,16,16,87,66,77,12,127
19,215,14,16,17,87,68,79,14,128
20,215,14,15,17,87,66,78,12,128
19,216,15,16,17,87,67,78,13,128
20,215,14,16,16,88,67,78,12,127
19,214,14,15,17,87,66,76,14,127
20,214,14,15,16,87,67,78,13,128
19,214,14,17,17,87,67,78,13,128
18,215,14,15,16,87,67,79,12,128
