MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
67,116,94,44,166,168,335,176,139,199
67,116,94,44,166,168,334,176,138,200
67,115,93,44,165,168,334,177,138,199
67,116,94,44,165,168,334,176,138,199
68,115,94,44,165,168,334,176,138,199
68,117,94,45,166,168,334,177,139,199
67,115,94,44,165,167,333,176,138,198
68,116,94,44,166,167,333,176,138,198
68,116,94,44,166,168,335,177,139,200
67,116,94,44,166,167,334,176,138,199
67,116,95,44,166,168,334,177,138,199
68,116,94,43,166,167,335,176,138,199
67,117,95,45,167,168,335,176,138,199
68,116,95,45,166,168,335,177,139,199
67,115,94,44,166,167,333,176,138,199
67,116,93,44,167,167,334,176,138,198
68,116,94,44,166,168,333,176,138,201
67,116,94,43,166,167,334,177,138,201
68,116,95,44,167,168,334,176,139,200
67,117,94,45,165,168,334,176,138,200
67,116,94,44,166,167,334,176,138,201
67,116,94,44,165,168,333,176,139,200
68,117,95,44,166,168,335,178,138,200
67,116,94,43,166,167,334,177,138,200
67,117,94,44,166,167,334,176,138,201
67,116,94,43,166,167,334,177,138,201
67,116,93,43,166,167,334,176,138,201
68,116,95,45,167,168,334,177,139,201
68,116,94,45,166,168,335,178,139,201
68,116,94,44,165,168,333,177,138,200
68,116,95,45,166,167,334,177,139,200
67,116,93,44,165,167,333,176,138,200
67,116,94,44,166,167,333,177,139,200
67,116,94,45,166,168,334,177,138,199
68,116,94,44,166,167,334,178,138,200
67,116,94,43,166,167,333,176,138,200
68,115,94,43,166,167,334,176,138,200
67,117,95,44,166,168,334,175,139,200
67,115,94,43,165,167,334,176,138,200
68,116,94,44,166,168,333,176,138,200
67,117,95,44,166,167,334,177,139,200
67,116,94,43,166,167,334,177,138,200
67,116,93,43,165,167,334,176,138,201
67,117,95,45,166,168,335,176,139,200
67,116,94,44,166,168,334,176,138,199
67,116,94,44,166,168,335,177,139,201
68,116,95,44,166,168,335,176,138,200
67,116,93,44,166,168,334,177,139,200
68,116,94,44,165,168,335,177,139,200
68,115,93,44,165,167,333,176,138,200
68,118,95,44,167,168,335,176,138,200
68,116,95,44,166,167,334,176,138,200
68,116,93,45,165,167,333,176,137,200
68,116,95,43,165,168,334,176,138,200
68,117,94,44,166,168,334,177,139,200
67,116,94,43,166,167,334,177,138,200
68,117,95,45,166,167,334,177,139,199
68,116,94,44,167,167,333,176,138,200
68,116,95,44,166,167,334,176,139,200
68,115,94,43,166,167,334,176,138,200
67,115,94,43,166,167,334,176,138,200
67,116,94,43,166,168,335,176,138,200
68,116,94,44,166,167,334,176,138,200
68,115,94,44,166,168,334,177,139,200
68,116,93,44,165,168,333,176,138,200
67,115,94,43,165,167,333,176,138,200
68,116,94,43,167,167,334,177,139,201
67,116,94,43,166,168,333,176,138,199
67,116,93,44,165,166,334,176,139,200
68,117,95,44,166,168,334,176,139,200
67,116,95,43,166,167,334,177,138,200
67,117,95,43,166,168,335,176,138,201
66,116,94,43,166,166,335,176,138,200
68,115,94,43,166,167,334,177,138,200
68,116,94,44,166,167,335,176,138,200
68,115,94,43,166,168,334,176,138,200
68,116,94,44,166,168,334,176,137,199
67,116,94,44,166,167,334,176,138,200
67,116,94,45,165,168,333,177,139,199
68,116,95,44,166,168,334,176,138,200
67,116,94,44,167,168,334,176,138,201
68,117,96,44,166,168,334,177,139,201
67,116,95,43,166,168,334,177,138,200
67,116,94,42,166,167,333,176,139,199
67,116,94,44,167,168,334,176,138,199
68,117,94,45,166,167,335,177,139,200
68,116,94,44,166,167,334,176,138,200
68,115,94,43,166,166,333,176,138,199
67,116,95,44,166,167,333,177,138,199
68,116,95,44,166,168,334,177,139,201
67,117,95,44,167,167,334,176,138,199
67,116,94,43,165,167,334,179,138,199
67,116,94,43,166,167,334,177,138,200
68,116,94,43,165,167,333,176,138,200
68,116,94,43,166,167,335,177,137,201
67,116,94,45,166,167,335,176,138,201
67,116,94,43,166,167,334,176,138,200
69,115,94,45,166,168,333,177,139,200
68,117,94,44,166,168,335,176,139,201
67,116,95,44,166,168,334,177,138,199
67,116,95,44,166,168,335,176,138,201
67,116,94,44,165,168,334,176,139,201
67,116,93,44,165,168,334,176,138,199
68,115,94,43,165,168,335,176,138,200
67,116,93,44,166,167,334,177,138,199
68,115,94,44,166,167,334,177,139,200
67,116,94,44,166,167,335,176,139,200
68,116,94,44,166,168,334,177,137,200
68,116,94,43,166,167,334,176,138,200
68,116,94,43,166,167,334,177,138,201
68,116,94,44,166,167,334,176,138,200
67,117,95,44,167,168,338,177,139,200
68,117,95,44,167,168,334,176,138,200
67,116,94,44,167,167,334,177,138,200
68,116,94,44,165,167,334,176,138,200
68,117,96,44,166,168,335,177,140,201
68,115,94,45,166,168,335,177,139,200
68,116,93,45,167,168,335,177,139,200
68,117,95,44,166,167,335,177,138,200
68,116,95,44,167,168,335,178,139,200
67,116,94,44,166,168,334,177,139,199
68,117,95,44,167,168,335,177,139,200
68,117,94,44,166,167,334,176,139,199
67,115,94,44,165,167,334,177,138,199
68,116,94,44,167,168,334,177,138,200
