MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
15,240,14,15,18,93,63,73,12,115
15,240,13,14,18,93,62,74,11,114
16,243,14,15,19,94,64,74,13,115
15,240,12,13,17,93,62,73,12,115
15,242,12,15,18,94,63,73,12,115
16,243,14,15,19,93,64,74,13,116
16,243,13,15,19,94,63,74,13,115
16,242,14,15,18,93,63,74,12,115
16,242,13,14,19,93,64,74,12,115
15,243,14,14,19,93,64,74,12,116
16,242,15,14,19,93,64,74,13,116
16,242,13,14,17,92,63,73,12,115
15,242,14,14,19,93,63,73,11,115
14,242,13,14,18,92,63,73,12,115
16,240,13,15,18,93,63,74,13,114
15,242,13,14,18,93,62,74,12,115
16,241,13,14,18,93,64,73,13,114
13,241,13,15,18,93,62,73,12,115
15,242,14,14,18,93,64,73,12,115
16,243,14,15,18,93,64,74,13,116
15,244,14,16,19,93,64,74,12,116
16,243,13,15,18,94,63,75,13,116
16,242,14,14,19,92,63,73,12,116
15,243,13,13,19,92,63,73,12,115
16,241,14,13,19,93,63,74,13,114
15,241,14,15,18,93,63,74,13,114
15,242,14,14,17,91,62,73,12,115
15,242,14,14,17,93,62,74,12,115
15,242,14,15,18,92,63,74,12,115
15,241,14,14,18,92,62,73,13,115
16,243,13,15,19,93,64,74,13,115
16,242,14,15,19,93,64,74,13,115
15,242,13,14,17,90,62,74,12,114
16,242,14,14,19,92,63,74,12,114
15,241,14,14,18,92,62,73,12,115
15,241,14,14,18,93,63,74,12,115
16,242,14,15,18,93,64,73,13,115
16,241,14,14,18,92,63,74,12,114
14,241,13,14,17,92,62,72,12,115
16,241,13,15,18,93,63,73,13,115
15,240,14,14,18,92,62,73,12,114
16,242,14,14,19,92,62,73,13,115
15,240,13,14,18,92,63,73,12,115
15,241,14,15,18,91,62,73,13,114
15,240,13,13,18,93,62,72,11,114
16,241,14,15,18,91,62,74,12,115
15,240,14,14,18,93,62,73,12,114
15,240,13,14,18,92,62,72,12,113
15,241,14,14,18,92,62,73,13,115
15,241,14,14,17,93,61,73,11,114
15,240,14,14,18,92,62,73,11,114
15,241,14,14,18,94,62,73,12,114
15,241,13,14,18,92,62,72,12,115
15,240,14,14,18,93,62,73,11,114
14,241,13,14,18,92,62,73,12,114
16,242,13,15,18,92,63,72,14,115
15,241,14,14,18,93,63,73,12,114
15,242,14,15,18,93,63,74,12,115
15,242,13,14,18,93,64,74,12,115
15,241,13,15,18,92,64,73,12,114
16,242,13,14,18,92,63,72,13,114
15,240,14,14,18,91,62,73,12,114
15,242,13,15,19,92,63,73,12,114
15,241,13,15,17,92,63,73,13,115
15,242,13,15,19,92,63,73,13,114
16,241,13,15,19,93,62,73,13,114
14,241,13,14,18,92,62,72,12,113
15,242,14,14,18,93,63,73,12,115
16,241,16,15,18,92,62,73,12,114
15,241,14,15,19,92,62,73,12,114
15,240,14,14,18,92,63,72,12,115
15,238,13,14,17,92,63,72,12,114
15,240,14,14,18,91,62,73,13,114
15,241,13,15,18,92,63,73,13,114
16,242,13,15,19,92,63,70,13,115
15,241,13,15,18,92,62,72,11,114
16,241,13,14,18,92,62,72,13,114
15,242,14,14,18,92,63,73,12,115
15,242,14,15,18,91,63,74,12,115
16,243,14,15,18,92,64,74,13,115
16,242,13,15,17,92,62,73,12,114
15,242,13,14,18,93,63,74,13,115
15,242,14,14,18,93,63,74,12,115
15,243,14,15,19,93,63,74,12,115
14,243,14,14,19,92,63,73,12,115
16,243,14,15,17,94,63,74,12,115
15,242,14,14,19,91,61,74,12,115
16,243,13,13,18,92,63,73,13,115
15,243,13,14,18,93,64,73,13,115
14,242,13,15,18,92,62,73,12,115
15,241,14,14,19,92,63,73,12,115
15,241,14,13,17,92,61,72,11,114
15,240,14,15,18,92,62,73,13,114
15,241,14,14,18,92,62,73,12,114
15,241,14,15,18,91,63,73,13,114
16,241,13,14,18,92,62,73,13,114
15,239,14,14,18,92,62,73,11,114
16,242,15,15,19,93,63,73,12,115
16,240,13,14,17,92,62,72,12,113
14,240,13,14,17,92,63,73,12,114
15,241,13,14,18,92,63,73,12,114
15,241,13,13,18,91,62,73,11,114
14,241,13,15,17,92,62,73,12,114
16,241,14,15,18,93,62,74,13,115
15,242,14,15,18,92,63,73,13,114
15,242,14,14,18,93,64,74,13,116
15,242,13,15,18,92,63,73,13,115
15,243,13,13,17,93,63,74,12,115
16,242,14,14,18,92,64,72,12,115
16,242,14,14,19,91,63,73,13,114
15,242,14,14,17,92,64,74,13,114
14,241,13,14,18,91,63,73,12,115
14,241,13,14,18,91,64,72,12,115
15,241,14,14,18,91,63,74,13,114
15,241,13,15,16,92,63,72,13,113
15,242,13,14,18,91,62,73,12,114
16,242,14,16,18,91,63,73,12,115
15,242,14,15,18,92,64,74,13,114
15,242,14,14,17,91,63,73,12,115
16,243,14,15,18,92,64,74,13,115
15,242,14,14,18,92,63,73,13,115
15,242,14,15,19,92,63,74,12,115
15,242,14,14,18,92,64,73,13,115
15,242,13,15,17,92,64,73,12,114
16,244,13,14,18,91,64,73,13,115
15,242,13,14,17,92,63,73,12,114
16,243,13,15,18,92,64,73,13,114
15,242,13,14,17,92,62,73,13,114
15,242,14,14,18,92,64,74,12,116
14,242,14,14,17,92,62,73,12,115
