MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
14,208,17,14,17,82,67,72,14,133
14,209,18,15,19,82,67,72,15,133
13,209,17,14,18,82,67,72,15,133
14,209,18,14,20,82,67,72,15,133
13,207,18,14,18,82,66,72,15,133
14,209,17,14,18,82,67,72,14,133
14,209,18,14,18,82,67,72,15,134
14,210,18,15,18,82,66,72,15,134
14,210,18,14,19,82,67,71,16,134
15,209,18,15,19,83,67,72,15,133
14,208,17,16,18,82,66,72,15,134
13,209,18,14,18,82,66,72,15,133
14,210,18,14,19,81,68,72,16,133
15,209,17,15,19,81,68,72,15,134
14,209,18,15,19,82,67,73,15,134
15,210,18,14,19,82,67,72,15,132
14,208,18,13,18,81,66,72,15,133
13,208,17,14,19,81,66,72,14,133
13,208,18,14,18,82,66,72,15,133
14,208,18,13,18,82,66,72,15,133
15,210,18,15,19,82,68,72,15,133
14,210,18,15,18,82,68,73,16,134
15,210,18,15,18,82,65,73,15,133
14,210,18,14,19,82,67,73,14,134
13,208,18,14,19,82,66,72,15,134
15,209,18,15,19,82,67,72,16,133
14,209,18,13,18,82,67,72,16,134
14,210,18,14,18,82,67,72,15,136
14,210,18,14,19,83,66,71,15,133
14,208,18,14,18,82,66,72,15,132
14,209,18,14,19,82,67,72,15,133
14,211,18,14,19,83,68,73,16,134
13,209,18,15,18,82,67,71,14,134
15,209,18,14,19,83,67,73,15,134
14,209,18,15,17,82,66,72,15,133
14,210,18,14,19,82,67,73,15,134
14,208,17,13,19,81,66,71,15,134
14,211,19,15,19,83,68,73,16,134
14,209,18,14,18,82,66,72,14,133
14,209,18,14,18,82,66,72,14,133
15,210,18,15,19,83,67,73,16,134
15,210,18,15,18,83,67,73,15,133
13,209,18,14,18,82,67,72,15,133
14,210,18,16,18,83,67,73,15,134
14,210,18,14,18,83,68,73,16,134
14,210,17,15,19,82,68,72,15,134
14,209,18,14,18,82,69,72,15,133
14,209,18,14,17,83,66,72,15,133
13,208,17,15,19,81,67,72,15,133
14,209,18,15,17,82,67,72,16,133
13,209,18,14,18,83,67,73,15,134
13,210,20,14,18,82,67,73,15,135
14,209,18,15,18,82,66,73,15,133
13,209,17,14,19,83,68,72,15,134
15,210,19,14,19,83,67,72,15,134
14,208,18,14,18,82,66,72,15,134
14,208,17,14,17,81,67,72,17,133
13,208,18,14,18,81,66,72,15,132
14,209,17,15,18,82,67,72,15,133
15,207,17,15,18,82,66,71,15,131
14,207,17,14,18,82,66,71,16,133
14,209,18,14,19,82,67,72,16,134
13,209,18,14,19,81,67,72,15,133
14,208,18,14,18,82,67,72,14,133
14,207,18,14,17,82,66,72,15,132
13,207,17,14,17,81,66,72,15,133
13,208,17,14,18,80,66,71,15,134
15,208,18,14,18,82,67,72,15,133
13,207,17,14,17,82,67,72,15,132
13,207,17,14,18,81,66,71,15,132
15,207,18,14,18,81,66,71,14,134
13,207,17,14,18,82,65,71,15,132
15,207,17,15,18,82,67,72,14,133
14,206,17,14,18,82,65,71,14,133
14,208,18,14,18,81,66,71,14,133
14,208,17,14,17,82,66,72,15,134
14,208,17,15,18,82,66,71,15,133
13,207,17,14,18,81,66,71,14,133
15,208,18,15,19,82,67,72,15,133
14,207,18,15,19,82,67,72,14,134
14,207,18,14,18,81,65,72,15,134
13,209,17,15,18,82,67,72,14,134
14,208,18,14,17,81,66,72,15,134
13,209,17,14,18,82,66,71,14,134
14,210,18,14,19,82,66,73,16,134
13,209,17,15,18,82,67,72,16,134
14,209,18,14,18,82,67,72,16,135
14,209,18,14,18,82,67,72,15,133
14,210,18,15,18,82,67,73,15,133
