MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
18,231,21,16,22,94,59,83,13,140
18,231,21,15,22,95,58,84,12,140
16,230,20,14,22,93,58,83,12,139
17,231,20,15,22,94,58,82,13,139
18,230,20,15,22,94,58,83,12,140
18,231,20,15,22,94,58,83,13,140
18,231,20,15,22,94,58,82,13,140
18,231,20,15,22,95,57,82,12,140
17,231,20,15,22,94,59,83,12,140
18,231,20,16,22,94,58,83,13,140
17,230,19,15,22,93,58,82,12,140
17,231,20,15,22,94,58,83,13,140
18,230,20,14,22,93,58,82,12,139
17,230,20,14,21,93,58,82,13,140
18,230,20,15,22,94,58,82,13,141
18,230,20,16,23,94,58,82,13,140
17,230,20,15,22,93,58,82,12,140
17,231,19,16,23,93,58,82,13,141
18,230,20,16,22,94,58,82,13,140
17,231,20,15,22,94,58,82,12,140
18,231,21,16,22,94,58,83,13,141
18,230,19,15,21,94,57,83,12,140
18,231,21,15,23,93,58,83,13,140
18,230,20,16,22,93,58,83,12,140
16,230,19,15,21,93,58,82,13,139
18,231,20,15,22,95,59,83,12,140
17,231,20,15,23,94,58,83,13,140
18,230,20,15,22,94,59,83,12,140
17,230,19,15,22,93,58,82,13,140
17,231,20,15,22,93,58,82,13,140
18,231,20,15,21,93,58,81,12,139
17,230,20,15,21,94,58,82,11,140
17,230,20,15,22,93,58,82,12,140
17,231,21,16,23,93,58,83,13,140
17,230,19,14,21,94,58,82,13,139
17,229,19,15,22,94,58,83,13,140
18,232,21,16,22,94,58,83,13,141
18,230,20,15,21,93,57,83,12,139
18,230,20,15,21,94,58,83,11,140
18,232,20,16,23,94,59,83,13,140
17,230,20,13,22,94,58,83,12,140
17,230,20,16,22,94,58,82,13,140
17,230,20,15,23,94,56,84,13,141
17,229,20,14,22,93,58,82,12,140
18,229,20,15,21,93,58,82,12,140
17,230,19,14,22,91,58,83,12,140
17,233,19,15,21,94,57,82,13,140
17,231,20,15,22,94,58,82,12,141
18,231,20,15,22,94,58,83,13,140
17,230,20,15,21,93,58,82,13,139
18,231,19,15,22,94,60,83,13,140
18,230,20,15,21,94,57,83,12,140
18,231,20,15,22,94,58,83,13,140
17,231,21,15,22,94,59,83,14,140
17,230,19,15,22,93,58,82,12,139
18,231,19,15,22,94,58,82,13,140
18,231,20,15,22,94,58,83,12,140
18,230,20,16,22,93,57,83,12,140
18,231,20,15,22,94,58,83,14,140
18,230,20,16,22,94,58,83,13,139
17,230,21,15,24,94,58,83,12,140
18,231,21,15,21,95,58,83,14,140
17,231,20,15,22,94,58,82,13,141
18,231,20,14,21,94,57,83,12,140
18,230,20,15,22,93,57,82,12,140
17,230,20,14,21,93,57,83,13,140
18,230,19,14,21,93,58,82,13,140
18,230,20,14,22,93,59,82,12,140
18,231,20,14,22,94,59,82,12,140
18,230,20,15,21,94,57,82,12,140
17,231,19,14,22,94,58,82,12,140
17,230,19,15,21,93,58,82,12,139
17,231,20,16,22,93,58,83,13,140
18,231,20,16,22,94,58,84,13,140
17,230,19,15,22,93,58,82,12,140
18,231,21,16,22,94,58,83,13,140
18,230,19,15,23,93,58,83,12,140
18,230,20,15,22,94,58,83,13,140
17,231,20,14,22,94,58,82,13,141
18,230,19,15,22,92,58,82,12,140
18,229,20,14,23,93,58,83,13,139
17,230,19,16,21,94,59,82,12,139
18,231,20,15,22,94,58,83,12,140
17,231,20,15,22,94,59,83,12,139
20,230,20,15,22,94,58,84,11,140
17,231,20,16,22,94,58,83,12,139
18,231,21,16,22,94,58,83,13,140
18,230,20,16,22,94,58,83,12,141
17,231,19,15,22,94,58,83,13,141
18,230,20,15,21,94,58,83,11,140
18,230,20,15,21,94,57,82,12,140
17,230,19,15,21,93,58,82,13,140
18,230,20,15,22,94,58,82,13,140
18,231,20,17,21,94,58,83,13,140
17,230,20,15,22,93,58,83,12,140
18,230,20,14,22,94,58,83,13,140
18,231,21,16,22,94,58,84,13,140
18,230,19,15,21,94,58,82,12,139
18,230,20,15,21,94,58,82,12,140
17,230,19,15,18,94,57,82,13,140
17,231,20,16,23,94,58,83,12,140
18,231,20,15,22,94,58,83,13,140
18,230,20,15,22,94,58,83,13,139
17,230,20,14,21,94,57,82,12,140
17,230,21,17,21,93,58,83,12,140
17,230,19,15,18,94,58,83,13,140
18,230,19,14,22,93,58,83,13,140
18,231,20,15,21,94,58,83,13,140
18,231,20,15,22,93,58,83,13,141
18,230,20,15,22,94,58,82,13,140
17,231,19,16,23,93,58,82,12,140
18,231,20,15,22,94,58,83,13,139
17,230,19,15,21,94,58,82,13,139
17,230,20,15,22,94,58,83,12,140
18,230,24,15,21,94,58,82,13,140
17,231,20,15,22,93,58,83,13,140
17,230,19,14,22,93,58,82,12,140
17,230,20,15,22,93,57,82,12,140
18,231,20,15,22,94,58,83,14,140
18,231,20,15,21,94,58,83,13,140
18,230,20,15,21,94,58,83,12,140
18,232,21,15,22,94,59,84,13,141
18,230,20,15,21,94,57,83,13,140
18,231,20,15,26,93,58,83,12,141
18,230,20,15,22,94,58,84,13,140
17,231,20,15,22,94,58,82,12,140
17,231,20,15,22,93,58,83,13,140
18,231,20,15,22,94,58,83,14,140
18,231,19,16,21,95,59,83,13,140
18,230,20,15,22,93,58,82,11,140
17,231,19,15,22,94,59,82,13,140
18,231,21,16,22,94,59,83,13,140
17,231,20,16,21,93,59,83,13,140
17,231,19,16,22,94,58,83,13,141
17,231,20,16,22,94,58,83,13,141
18,232,20,14,21,94,58,84,13,141
18,230,22,15,21,94,57,82,13,140
18,231,19,16,22,94,58,83,12,140
17,232,20,15,22,94,58,83,12,140
18,231,20,15,22,94,58,83,13,140
18,231,20,15,22,94,58,83,13,141
18,231,20,15,22,93,58,83,13,140
18,231,20,15,21,94,58,83,12,140
17,230,19,15,22,94,58,82,12,141
18,231,20,15,23,94,58,83,12,140
18,230,19,15,22,93,58,83,13,140
18,230,20,14,21,94,57,83,12,140
18,230,20,15,22,94,58,83,12,141
18,231,20,15,22,95,59,84,13,140
17,231,20,15,21,94,59,83,13,140
17,230,20,14,22,94,59,83,12,141
17,230,19,14,21,93,58,83,12,140
17,231,19,14,21,94,58,83,12,141
18,230,20,15,21,94,57,82,12,140
18,229,19,15,21,93,58,82,12,140
18,231,19,15,21,93,58,82,13,140
17,230,19,15,22,94,58,83,13,141
