MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
866,141,86,43,153,178,351,192,126,198
67,141,86,43,153,178,351,192,127,199
66,141,85,44,154,178,351,191,128,197
66,141,85,43,153,178,351,191,128,197
65,142,86,44,154,178,352,192,127,198
65,142,85,42,153,178,351,191,127,198
65,142,85,42,153,178,351,191,126,197
65,141,85,43,152,178,350,191,127,198
66,140,86,43,154,179,350,191,126,198
67,142,85,43,153,178,351,191,128,198
67,142,86,44,153,179,351,192,127,197
66,140,85,43,152,178,351,191,127,197
67,142,86,43,153,179,352,192,126,198
67,142,86,43,153,179,351,192,127,198
66,141,85,43,153,179,351,192,126,198
66,140,85,42,153,178,351,191,126,197
66,141,86,43,154,179,351,192,128,198
66,141,86,43,153,178,351,192,127,198
66,141,86,42,153,179,352,191,127,198
66,142,86,44,154,179,351,191,127,197
66,140,85,43,153,179,351,191,126,197
66,140,85,42,154,178,351,191,127,197
67,141,86,44,153,179,350,191,127,198
65,142,85,42,154,178,352,192,127,198
66,142,85,44,153,179,352,192,127,198
66,141,86,42,153,178,351,192,126,197
67,141,85,43,153,178,350,191,126,197
66,139,86,43,153,179,350,192,126,198
67,141,85,42,153,179,351,192,126,198
65,142,86,43,154,179,352,192,126,198
66,141,86,43,153,179,351,192,126,198
66,141,86,43,154,178,351,191,125,198
66,142,85,43,153,179,352,192,126,197
66,141,86,43,153,178,351,191,127,197
67,141,86,43,153,179,352,192,127,198
66,141,86,42,153,178,351,191,126,198
67,141,86,43,154,178,351,192,127,198
67,142,86,44,154,179,351,192,127,198
66,141,85,43,153,179,351,191,126,198
66,141,86,43,153,179,351,191,127,197
66,142,86,43,154,179,352,192,127,199
66,141,85,44,152,179,351,192,126,197
66,141,86,43,153,179,350,192,126,198
65,141,85,42,153,178,351,191,126,198
66,141,85,43,153,179,351,191,127,198
67,141,86,43,153,179,352,192,126,198
66,141,86,43,153,178,351,192,130,198
66,141,86,43,153,178,351,192,127,198
67,142,86,43,153,179,351,192,127,199
67,141,86,43,154,179,351,192,126,198
66,140,86,43,154,179,351,191,126,197
66,140,85,43,154,179,351,191,127,198
66,141,86,43,153,179,351,191,126,198
66,141,87,43,153,178,351,192,126,198
67,141,85,43,153,178,351,191,126,197
66,142,86,43,153,179,351,192,127,198
66,141,85,42,153,178,351,191,126,197
65,142,86,43,153,178,351,192,126,198
66,141,86,44,153,178,350,191,126,197
66,141,85,44,153,178,350,192,126,198
66,141,86,43,153,178,351,192,126,198
66,141,86,42,153,178,351,192,127,198
66,142,87,44,154,178,352,193,127,198
66,141,85,42,153,179,351,191,126,198
66,141,86,43,154,179,351,192,126,198
66,141,85,42,153,179,351,192,126,198
66,141,85,43,153,179,351,191,127,198
66,141,85,43,153,179,350,192,126,197
66,140,86,43,152,179,350,192,127,197
66,142,85,43,153,178,351,191,126,197
66,142,86,44,154,180,351,192,127,198
66,139,86,43,153,178,350,192,126,198
66,141,86,43,154,178,351,191,126,197
66,141,86,43,153,178,351,192,126,198
65,141,86,43,154,179,351,191,126,198
67,141,85,44,153,178,350,191,126,197
66,141,86,44,154,179,351,191,127,197
65,140,85,42,154,178,351,192,126,197
66,141,85,44,153,179,351,191,126,198
67,141,86,43,154,179,351,192,127,198
65,141,86,42,153,178,350,192,126,197
66,141,86,44,154,179,351,192,127,197
66,141,86,43,153,178,350,191,126,198
66,141,86,43,154,178,351,192,127,198
65,142,86,43,154,179,351,192,127,198
