MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
42,146,57,29,104,201,341,182,107,175
42,147,57,30,104,201,341,183,107,175
42,146,57,29,104,201,341,183,106,175
41,146,57,29,105,201,341,183,106,174
42,148,58,30,104,201,342,183,107,175
41,147,56,30,104,200,341,182,106,174
43,146,57,30,105,201,340,183,106,174
41,147,57,30,106,201,341,183,107,174
42,146,57,29,105,201,341,182,106,174
42,147,57,31,105,201,341,183,107,175
41,146,57,29,104,201,341,183,105,175
41,147,57,30,105,201,341,183,106,174
42,148,58,31,106,201,342,183,107,175
42,148,57,30,104,202,342,183,107,176
41,146,56,30,105,200,341,183,107,174
42,148,58,31,104,202,341,183,106,175
41,146,56,30,104,201,341,182,106,174
42,147,57,34,105,202,341,183,107,175
41,144,57,29,104,201,341,182,106,174
41,145,56,29,104,201,341,183,106,174
42,146,57,30,105,201,341,182,106,174
42,147,57,30,105,201,341,183,107,175
42,146,58,30,105,201,340,182,106,174
42,148,58,30,105,201,341,183,107,175
42,145,56,30,104,202,341,182,106,174
41,146,57,31,103,200,341,182,106,174
41,147,57,29,106,201,342,183,107,175
42,145,56,30,104,202,341,182,107,174
42,147,58,30,105,202,342,183,107,175
42,145,57,30,104,201,341,182,106,174
41,146,56,30,104,201,341,182,106,174
41,146,58,30,105,201,341,183,107,175
41,146,57,30,104,201,341,182,107,174
41,146,57,29,105,201,342,183,107,175
42,145,58,30,104,201,341,183,106,174
42,147,58,29,106,201,341,183,107,175
41,147,56,30,104,202,342,183,108,174
42,144,56,30,104,200,341,182,106,175
41,147,57,29,106,201,342,183,107,175
41,145,59,30,105,201,342,183,107,175
42,145,57,30,105,202,341,183,106,175
42,147,58,30,104,202,341,184,106,175
42,147,57,31,105,201,341,183,107,175
41,147,57,30,104,201,342,182,107,175
41,146,57,30,106,201,341,183,107,175
42,145,57,30,104,201,340,182,106,174
41,146,57,29,104,202,341,183,106,175
42,146,56,30,105,200,342,183,106,174
42,144,56,28,104,201,341,182,107,174
42,145,58,30,105,201,341,183,107,174
41,146,56,30,104,201,341,182,107,174
42,144,56,29,104,201,341,182,107,175
42,146,57,30,105,201,342,183,106,174
43,147,58,30,105,202,342,184,107,175
41,146,57,30,104,201,342,183,106,175
42,146,58,30,105,201,341,183,106,175
41,146,57,30,105,201,342,183,106,175
41,147,57,30,105,201,342,183,107,175
42,145,57,29,105,201,340,183,106,175
41,146,57,29,106,202,342,183,106,175
41,145,56,29,104,201,341,182,106,174
41,146,57,29,105,201,341,182,106,175
42,147,57,29,105,201,341,183,107,174
41,146,57,29,105,200,342,182,107,174
42,146,57,30,105,202,341,183,107,174
42,147,57,29,104,202,341,184,107,175
41,146,57,30,104,201,341,182,106,174
42,146,58,30,105,202,342,183,107,175
43,146,58,30,106,201,342,183,107,175
41,145,56,29,105,201,341,182,106,174
41,145,57,30,104,200,341,181,106,174
42,146,58,30,105,201,341,183,107,174
43,146,58,29,105,202,341,183,106,175
41,145,57,30,105,200,341,182,106,174
41,146,57,29,105,201,342,182,108,175
