MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
47,162,64,32,106,198,337,174,107,197
48,162,65,32,106,197,337,174,107,197
48,161,64,32,106,198,338,173,107,197
48,161,64,31,107,197,336,172,106,197
47,160,64,32,106,197,337,173,106,196
48,162,65,32,105,197,336,174,107,196
47,162,64,32,106,197,337,173,106,197
47,162,65,32,107,198,338,173,106,198
48,162,65,32,107,197,338,174,108,198
47,160,65,32,106,196,337,173,106,197
47,161,64,32,106,197,336,173,106,197
47,160,64,31,106,197,336,173,106,196
47,161,64,31,106,197,336,173,107,198
47,161,65,32,106,197,338,174,107,197
48,160,64,32,105,198,336,173,107,196
47,162,64,32,106,197,337,171,107,197
48,162,64,32,107,197,336,173,106,197
47,161,64,31,106,198,336,174,106,197
47,162,64,32,106,198,337,173,107,197
47,161,65,32,106,196,336,173,107,196
48,161,61,33,107,197,337,173,107,197
48,162,64,32,106,197,337,173,107,197
48,161,65,32,106,198,337,174,107,197
48,161,63,32,106,197,336,171,107,196
48,161,64,32,107,197,337,172,107,197
48,161,64,33,107,197,336,174,107,197
47,160,63,32,105,197,336,173,106,196
47,161,65,32,106,198,337,173,107,197
48,161,64,33,106,197,337,173,107,196
48,160,64,31,105,198,336,173,106,196
48,161,65,32,106,197,336,173,106,197
48,161,64,32,106,196,337,173,107,196
48,161,65,32,106,198,336,173,107,197
47,161,65,32,106,198,336,173,107,196
48,161,63,32,105,196,336,173,107,197
48,161,64,32,106,197,336,172,107,195
48,161,64,32,106,197,334,174,106,196
47,161,65,32,106,197,337,174,106,197
49,161,65,32,106,198,337,174,106,197
47,160,64,31,106,197,336,173,106,197
47,161,64,31,105,197,336,172,106,196
48,161,64,32,107,197,337,173,108,196
47,161,64,32,106,197,336,173,106,196
48,158,64,31,106,197,336,172,107,196
47,160,64,32,105,197,336,173,107,196
47,161,65,31,106,197,336,173,105,196
48,160,64,31,105,197,336,172,106,196
47,161,64,31,105,197,336,173,105,196
48,161,64,32,106,198,337,173,107,196
47,160,64,31,106,197,336,173,106,196
47,160,65,31,106,197,336,174,106,197
48,160,64,31,106,197,337,173,107,197
47,161,64,31,105,197,336,173,107,197
48,160,64,31,105,197,336,173,106,197
48,160,65,32,107,197,337,173,106,197
48,162,64,32,106,197,337,174,107,196
47,161,64,32,106,197,336,173,107,196
47,160,64,31,105,197,335,173,106,196
48,162,64,32,106,197,337,173,107,196
