MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
151,132,69,34,121,204,342,184,118,191
50,132,69,33,122,203,341,183,117,191
50,131,68,34,121,203,341,183,116,190
51,131,68,34,121,203,341,183,117,190
51,132,69,35,121,203,340,183,117,190
50,131,69,35,122,204,340,182,118,189
51,131,69,34,122,203,341,182,117,190
51,132,69,35,122,204,341,183,117,191
51,132,69,35,122,204,341,183,117,191
50,132,69,34,121,203,341,182,116,191
52,132,69,35,122,204,340,183,116,191
51,132,69,34,121,203,341,182,116,190
51,132,70,35,122,205,341,183,117,191
50,131,68,34,121,204,341,182,117,190
51,132,69,33,122,204,341,182,117,191
50,131,68,34,122,204,341,182,116,190
51,132,70,35,122,204,342,183,117,191
51,132,69,34,122,204,341,183,117,190
50,131,69,35,122,203,341,182,116,190
50,131,69,35,123,204,341,183,117,191
51,132,70,34,122,204,341,184,117,191
51,130,68,33,122,203,341,182,116,191
51,132,69,35,122,204,341,183,117,191
51,130,69,34,122,203,340,182,116,190
50,131,70,34,121,204,340,182,117,191
50,131,69,35,121,203,341,182,117,189
52,132,69,35,122,204,341,184,117,190
50,131,69,33,121,204,341,183,117,190
51,132,69,35,123,205,342,183,117,191
50,131,68,34,121,204,341,182,117,190
51,131,69,34,121,203,341,183,117,191
51,132,69,33,122,203,341,182,116,191
50,132,69,35,122,204,341,184,117,191
50,131,70,34,121,203,342,183,117,191
51,133,70,34,123,204,341,184,117,191
51,131,69,35,122,204,341,184,118,191
51,131,70,35,122,204,341,183,117,190
51,132,70,35,123,203,342,183,117,192
51,132,70,36,122,204,341,183,118,191
50,131,69,34,122,203,341,183,116,191
51,131,69,34,121,203,341,182,117,190
51,131,70,34,122,203,341,183,117,191
50,131,69,33,122,203,342,183,116,191
51,132,68,35,121,203,341,183,116,191
51,132,70,35,122,204,342,183,117,192
51,132,69,35,122,204,341,183,117,190
52,131,69,34,121,204,340,182,117,190
51,132,68,34,122,204,342,183,117,191
51,131,70,34,122,204,341,183,117,191
51,132,68,33,122,203,340,182,117,190
51,132,70,36,121,204,342,184,118,191
50,132,68,33,122,203,341,183,116,191
51,131,69,34,122,204,341,182,117,191
51,131,69,34,121,204,342,182,117,191
50,130,68,33,122,203,341,183,116,191
51,132,69,34,122,203,341,183,116,191
50,131,69,34,121,203,341,183,117,191
51,131,69,35,122,204,341,183,116,191
51,132,70,35,122,203,342,183,117,192
51,132,69,33,121,203,341,183,116,191
52,131,69,33,121,204,341,183,117,191
51,131,70,34,122,204,342,183,117,192
51,132,68,34,122,203,341,183,117,191
51,131,69,35,122,204,341,182,117,191
51,131,69,34,122,204,341,183,116,191
51,132,70,34,122,204,341,183,117,192
52,131,69,35,121,204,340,183,116,190
51,132,70,34,122,204,341,183,117,191
51,132,69,35,121,204,341,183,117,191
52,132,70,34,122,204,341,184,117,191
50,131,69,34,122,205,340,183,116,191
51,130,68,33,122,204,341,182,117,191
51,131,69,34,122,204,341,183,116,190
50,131,69,34,122,203,342,182,117,191
51,131,70,34,122,204,340,182,116,191
50,131,69,33,122,203,341,182,116,191
51,131,68,34,121,204,341,183,117,191
51,131,69,34,122,203,340,183,117,190
50,130,69,34,122,203,340,182,117,191
51,132,69,34,122,204,340,183,117,190
50,130,69,34,121,203,341,183,117,191
51,132,69,34,122,204,342,183,117,191
52,131,70,34,122,204,340,183,117,191
51,132,70,34,122,204,342,183,117,191
51,131,69,34,122,203,341,182,117,190
52,132,70,35,122,204,341,184,117,191
50,131,68,34,122,204,341,182,117,190
50,131,69,34,122,203,342,182,116,192
50,131,70,34,121,203,342,183,117,191
50,131,70,33,121,204,341,183,117,190
51,132,70,34,122,203,340,183,117,191
50,131,69,35,121,204,341,182,116,190
51,132,69,34,122,203,339,182,117,191
51,132,70,35,122,204,342,183,117,191
51,131,70,34,122,205,342,183,118,191
51,131,69,34,122,203,341,183,117,194
50,132,68,34,122,204,342,183,117,191
50,132,69,34,123,203,341,183,116,191
51,132,69,34,121,204,342,183,117,191
50,131,69,34,122,203,342,182,118,191
51,131,70,35,122,204,342,184,117,191
51,132,70,34,122,203,340,183,117,191
50,131,68,34,122,203,342,182,116,191
51,131,69,34,121,204,341,184,118,191
50,131,69,34,123,204,342,183,118,191
51,131,69,34,122,203,342,183,117,191
51,131,69,34,122,204,341,183,117,191
50,131,69,35,122,204,341,184,117,190
51,131,71,34,122,203,341,183,117,192
51,131,69,34,122,203,341,182,117,191
50,131,69,34,122,204,342,183,118,191
50,131,69,35,122,204,342,184,117,192
51,132,70,35,122,204,341,184,118,192
52,131,69,34,121,204,341,182,117,190
51,132,70,34,123,203,341,183,117,191
51,132,68,35,122,203,340,182,118,190
51,131,69,34,122,203,341,183,117,190
50,131,69,34,121,203,341,183,117,191
51,132,69,35,122,204,341,184,117,191
52,132,69,34,123,204,342,183,117,191
49,131,69,34,122,204,341,182,117,191
50,131,69,33,122,203,341,183,117,191
50,131,68,34,121,204,341,183,117,191
51,131,69,34,122,203,341,183,118,191
50,131,69,34,122,204,341,182,118,191
51,130,69,34,121,204,340,183,117,191
51,132,69,34,122,204,342,184,117,192
51,131,68,34,122,204,341,183,118,191
51,131,69,34,122,204,342,183,117,191
50,131,70,33,122,203,342,183,117,192
51,132,69,35,122,204,342,183,117,191
50,131,69,34,122,203,341,183,117,191
51,132,69,35,122,205,342,184,118,192
51,131,69,34,121,203,340,182,117,190
51,131,69,33,122,203,342,183,117,191
51,132,70,35,122,203,341,183,117,191
50,131,69,34,121,204,342,183,117,191
52,131,69,35,123,204,341,183,117,191
52,131,69,34,122,204,341,184,117,190
51,132,69,34,120,204,341,183,117,191
50,131,69,34,122,203,341,182,116,191
50,131,70,34,122,204,341,183,117,191
51,132,70,35,123,204,341,183,117,191
51,131,69,34,122,204,341,183,117,191
51,131,69,34,122,204,342,183,118,191
50,131,69,34,122,204,341,183,116,191
51,132,70,34,122,204,342,183,117,191
50,131,68,34,122,204,341,183,117,191
51,132,70,35,123,205,342,183,117,191
51,131,69,34,121,203,341,182,116,191
51,132,70,34,123,204,342,183,118,191
52,134,70,35,122,204,341,183,117,191
51,130,69,34,122,207,341,183,117,190
51,131,69,34,122,203,340,183,117,191
51,131,69,34,122,204,341,183,117,191
52,132,72,35,123,204,341,183,118,191
52,131,69,35,122,204,341,185,116,190
51,132,70,34,122,204,341,183,117,192
50,130,69,34,122,203,342,183,118,191
51,131,69,34,123,203,341,182,117,191
50,131,69,34,122,203,341,183,117,191
51,131,69,34,122,203,341,181,117,192
53,132,69,35,122,204,341,183,117,192
51,132,70,35,122,204,341,181,117,191
50,132,70,34,122,205,341,184,118,191
51,132,70,34,123,204,342,183,118,191
51,132,70,35,123,204,341,183,117,190
51,132,69,35,122,204,342,183,117,191
51,131,69,34,122,203,342,183,117,192
50,131,69,34,122,204,342,183,118,192
50,132,69,35,123,204,342,184,118,191
52,132,69,35,121,204,341,183,117,189
51,131,68,34,121,204,341,183,117,191
52,132,70,34,122,204,340,183,117,191
51,131,68,34,121,204,341,183,117,191
51,132,69,35,123,203,341,183,118,191
52,131,70,35,122,205,341,183,117,191
51,132,70,34,122,203,341,183,116,190
51,132,69,35,122,204,342,184,118,191
50,132,69,34,122,204,341,182,116,192
52,131,69,34,121,204,341,183,116,190
51,132,69,34,122,204,342,184,118,191
51,132,70,34,122,204,341,183,117,191
51,131,69,33,122,203,341,182,117,191
51,131,69,34,122,203,341,183,117,192
