MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
39,119,48,27,96,192,325,172,107,171
39,119,48,26,95,191,323,171,106,170
40,120,48,27,96,191,324,172,106,171
39,120,49,27,97,192,325,172,107,171
38,119,48,26,95,192,324,171,107,170
39,119,48,28,96,192,325,172,108,171
39,120,50,28,96,191,325,172,108,171
40,119,48,28,95,192,325,172,107,171
40,119,49,28,96,192,325,172,108,171
40,119,48,27,96,191,324,172,107,170
40,119,49,28,96,193,325,172,107,171
39,120,49,27,96,192,325,172,107,170
39,118,48,26,96,191,324,171,106,170
39,119,49,27,96,192,325,172,107,171
39,119,49,27,98,191,325,172,107,171
40,120,49,28,96,191,325,171,108,171
40,119,49,28,96,193,325,173,107,172
39,119,48,26,96,192,324,172,107,171
39,119,48,27,96,192,324,172,107,170
39,119,48,26,96,191,324,172,109,172
39,119,48,26,95,192,323,172,107,171
39,119,49,27,96,192,325,173,107,171
40,119,50,27,95,192,325,173,107,171
40,119,49,27,96,193,325,172,107,171
39,120,49,27,96,193,326,172,108,172
40,119,50,27,96,193,325,173,107,172
39,120,49,28,97,193,326,173,107,172
41,120,50,27,96,191,325,173,108,172
40,119,49,27,96,192,326,173,108,171
40,119,49,27,97,192,326,173,109,172
40,120,49,26,97,192,326,172,108,171
39,120,49,27,97,192,326,173,108,172
39,119,48,27,96,192,325,172,108,171
39,119,51,27,96,193,326,172,108,172
39,120,50,27,97,193,326,173,109,173
39,119,48,27,96,192,325,173,108,172
40,120,49,26,96,192,324,172,107,171
39,119,48,27,96,193,324,172,107,171
40,119,49,28,96,192,325,172,108,171
40,119,48,27,96,192,325,172,107,172
39,120,50,27,97,193,326,173,109,172
39,120,49,27,96,192,325,172,108,172
39,119,49,27,97,192,326,172,108,172
39,119,48,27,96,192,326,172,108,171
39,120,50,28,97,193,326,173,108,172
40,120,50,27,97,193,326,173,109,173
40,120,50,28,97,192,326,173,109,172
39,119,48,27,96,193,327,173,109,173
39,119,49,26,97,192,326,173,108,172
39,119,49,26,96,193,326,172,108,172
39,120,50,28,97,192,326,173,108,173
40,120,50,28,97,194,325,173,109,172
40,119,50,27,97,192,326,173,109,173
39,120,50,26,97,194,327,173,108,173
40,119,49,27,96,193,326,172,109,172
39,119,49,27,97,193,327,173,110,173
40,120,49,28,97,194,327,173,109,173
39,118,49,27,96,192,326,172,108,172
39,119,49,27,96,193,326,173,108,173
40,120,50,27,97,192,327,174,110,173
39,120,51,28,98,193,328,173,109,173
39,120,50,27,98,192,326,173,107,172
39,119,49,26,98,192,326,172,108,173
39,120,49,28,97,192,327,172,110,173
40,120,50,28,97,193,327,173,110,172
39,119,50,27,97,192,327,173,109,173
40,120,49,28,98,193,327,173,109,173
40,121,50,28,98,194,328,173,110,173
40,121,50,28,98,193,329,174,110,173
